time,alt,atmos_pressure,base_time,lat,lon,qc_atmos_pressure,qc_logger_temp,qc_logger_volt,qc_rh_mean,qc_temp_mean,qc_wdir_vec_mean,qc_wspd_arith_mean,qc_wspd_vec_mean,qc_wxt_cumul_precip,qc_wxt_precip_rate_mean,rh_mean,rh_std,temp_mean,temp_std,time_offset,wdir_vec_mean,wspd_arith_mean,wspd_vec_mean,wxt_precip_rate_mean
2025-05-28 00:01:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.9,0.052,13.13,0.043,2025-05-28 00:01:00,332.0,0.53,0.527,0.0
2025-05-28 00:02:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,98.0,0.013,13.1,0.0,2025-05-28 00:02:00,344.6,0.528,0.52,0.3
2025-05-28 00:03:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,98.1,0.094,13.1,0.0,2025-05-28 00:03:00,9.99,0.325,0.286,0.9
2025-05-28 00:04:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,98.4,0.073,13.1,0.0,2025-05-28 00:04:00,356.6,0.495,0.487,1.9
2025-05-28 00:05:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,98.5,0.048,13.1,0.0,2025-05-28 00:05:00,4.622,0.313,0.308,1.1
2025-05-28 00:06:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,98.6,0.051,13.02,0.04,2025-05-28 00:06:00,350.6,0.155,0.13,2.6
2025-05-28 00:07:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,98.7,0.0,13.0,0.0,2025-05-28 00:07:00,41.92,0.218,0.163,2.7
2025-05-28 00:08:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,98.8,0.066,13.0,0.0,2025-05-28 00:08:00,90.0,0.478,0.474,3.7
2025-05-28 00:09:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.0,0.049,13.0,0.0,2025-05-28 00:09:00,76.93,0.613,0.604,4.9
2025-05-28 00:10:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,98.8,0.207,12.99,0.025,2025-05-28 00:10:00,114.4,0.737,0.719,4.3
