org_precip_rate_mean,rh_mean,temp_mean,base_time,atmos_pressure,time,dew_point,specific_humidity
0.0,91.1,15.0,2025-05-23,100.37,2025-05-23 00:00:00,13.219999999999999,9.457979989983096
0.0,91.1,14.99,2025-05-23,100.37,2025-05-23 00:01:00,13.209999999999999,9.451774831647974
0.0,91.0,14.98,2025-05-23,100.37,2025-05-23 00:02:00,13.18,9.433180962034484
0.0,91.6,14.95,2025-05-23,100.37,2025-05-23 00:03:00,13.269999999999998,9.489059876696452
0.0,92.4,14.88,2025-05-23,100.38,2025-05-23 00:04:00,13.360000000000001,9.544275017764582
0.0,92.6,14.83,2025-05-23,100.37,2025-05-23 00:05:00,13.35,9.538975665513057
0.0,89.0,14.87,2025-05-23,100.37,2025-05-23 00:06:00,12.669999999999998,9.121998153796984
0.0,86.9,14.99,2025-05-23,100.37,2025-05-23 00:07:00,12.370000000000001,8.94322371035946
0.0,86.3,15.05,2025-05-23,100.37,2025-05-23 00:08:00,12.31,8.907843220912424
0.0,86.5,15.01,2025-05-23,100.37,2025-05-23 00:09:00,12.309999999999999,8.907843220912424
0.0,86.3,15.0,2025-05-23,100.37,2025-05-23 00:10:00,12.26,8.87845415511385
0.0,85.7,14.99,2025-05-23,100.38,2025-05-23 00:11:00,12.13,8.80156215282523
0.0,84.5,14.99,2025-05-23,100.38,2025-05-23 00:12:00,11.89,8.662760875748232
0.0,84.3,15.03,2025-05-23,100.38,2025-05-23 00:13:00,11.889999999999999,8.662760875748232
0.0,84.8,14.99,2025-05-23,100.38,2025-05-23 00:14:00,11.95,8.697278328032466
0.0,85.5,14.9,2025-05-23,100.38,2025-05-23 00:15:00,12.0,8.72613579342327
0.0,85.5,14.79,2025-05-23,100.38,2025-05-23 00:16:00,11.889999999999999,8.662760875748232
0.0,84.5,14.87,2025-05-23,100.39,2025-05-23 00:17:00,11.77,8.593228940717196
0.0,84.1,14.89,2025-05-23,100.39,2025-05-23 00:18:00,11.709999999999999,8.559077699782682
0.0,84.7,14.81,2025-05-23,100.39,2025-05-23 00:19:00,11.75,8.581831818157617
0.0,83.4,14.81,2025-05-23,100.39,2025-05-23 00:20:00,11.490000000000002,8.434881875202537
0.0,83.3,14.79,2025-05-23,100.39,2025-05-23 00:21:00,11.45,8.412472996587267
0.0,83.1,14.75,2025-05-23,100.39,2025-05-23 00:22:00,11.37,8.367813259342881
0.0,82.5,14.72,2025-05-23,100.39,2025-05-23 00:23:00,11.22,8.28464153665197
0.0,82.8,14.69,2025-05-23,100.39,2025-05-23 00:24:00,11.25,8.301217095388054
0.0,83.8,14.58,2025-05-23,100.39,2025-05-23 00:25:00,11.34,8.35112003892011
0.0,83.2,14.6,2025-05-23,100.39,2025-05-23 00:26:00,11.24,8.295688650485816
0.0,82.4,14.67,2025-05-23,100.39,2025-05-23 00:27:00,11.150000000000002,8.246079111368786
0.0,81.6,14.7,2025-05-23,100.39,2025-05-23 00:28:00,11.019999999999998,8.174884502783394
0.0,80.8,14.76,2025-05-23,100.39,2025-05-23 00:29:00,10.919999999999998,8.120490228555505
0.0,81.1,14.76,2025-05-23,100.39,2025-05-23 00:30:00,10.979999999999999,8.153088212031856
0.0,82.2,14.64,2025-05-23,100.39,2025-05-23 00:31:00,11.080000000000002,8.207675655088671
0.0,82.0,14.58,2025-05-23,100.39,2025-05-23 00:32:00,10.98,8.153088212031856
0.0,81.0,14.65,2025-05-23,100.39,2025-05-23 00:33:00,10.850000000000001,8.08260511074746
0.0,81.8,14.59,2025-05-23,100.39,2025-05-23 00:34:00,10.95,8.13677476966562
0.0,81.9,14.56,2025-05-23,100.39,2025-05-23 00:35:00,10.940000000000001,8.131343380235968
0.0,81.9,14.54,2025-05-23,100.39,2025-05-23 00:36:00,10.92,8.120490228555505
0.0,82.0,14.5,2025-05-23,100.39,2025-05-23 00:37:00,10.9,8.1096499021676
0.0,81.3,14.54,2025-05-23,100.39,2025-05-23 00:38:00,10.799999999999999,8.055640190636426
0.0,81.0,14.59,2025-05-23,100.39,2025-05-23 00:39:00,10.79,8.050256773182904
0.0,81.7,14.54,2025-05-23,100.39,2025-05-23 00:40:00,10.879999999999999,8.098822387947157
0.0,81.4,14.53,2025-05-23,100.39,2025-05-23 00:41:00,10.81,8.061026794767903
0.0,81.5,14.52,2025-05-23,100.39,2025-05-23 00:42:00,10.82,8.066416587210485
0.0,82.1,14.45,2025-05-23,100.39,2025-05-23 00:43:00,10.869999999999997,8.09341343130127
0.0,82.1,14.43,2025-05-23,100.39,2025-05-23 00:44:00,10.849999999999998,8.08260511074746
0.0,81.8,14.44,2025-05-23,100.39,2025-05-23 00:45:00,10.799999999999999,8.055640190636426
0.0,81.7,14.49,2025-05-23,100.39,2025-05-23 00:46:00,10.830000000000002,8.07180956959808
0.0,82.4,14.42,2025-05-23,100.39,2025-05-23 00:47:00,10.900000000000002,8.1096499021676
0.0,82.9,14.35,2025-05-23,100.39,2025-05-23 00:48:00,10.93,8.1259152004134
0.0,82.7,14.35,2025-05-23,100.39,2025-05-23 00:49:00,10.89,8.104234544356318
0.0,83.1,14.33,2025-05-23,100.39,2025-05-23 00:50:00,10.95,8.13677476966562
0.0,83.0,14.35,2025-05-23,100.39,2025-05-23 00:51:00,10.95,8.13677476966562
0.0,82.6,14.35,2025-05-23,100.39,2025-05-23 00:52:00,10.869999999999997,8.09341343130127
0.0,82.3,14.4,2025-05-23,100.39,2025-05-23 00:53:00,10.86,8.088007672780513
0.0,82.5,14.37,2025-05-23,100.39,2025-05-23 00:54:00,10.87,8.09341343130127
0.0,82.9,14.33,2025-05-23,100.39,2025-05-23 00:55:00,10.91,8.115068463020584
0.0,83.4,14.29,2025-05-23,100.4,2025-05-23 00:56:00,10.97,8.146831646735997
0.0,83.6,14.26,2025-05-23,100.4,2025-05-23 00:57:00,10.979999999999999,8.152272127544402
0.0,83.1,14.3,2025-05-23,100.4,2025-05-23 00:58:00,10.92,8.119677422991908
0.0,83.6,14.25,2025-05-23,100.4,2025-05-23 00:59:00,10.969999999999999,8.146831646735997
0.0,83.8,14.23,2025-05-23,100.4,2025-05-23 01:00:00,10.99,8.157715824209522
0.0,83.8,14.22,2025-05-23,100.4,2025-05-23 01:01:00,10.98,8.152272127544402
0.0,83.9,14.22,2025-05-23,100.4,2025-05-23 01:02:00,11.000000000000002,8.163162738377228
0.0,84.4,14.13,2025-05-23,100.4,2025-05-23 01:03:00,11.010000000000002,8.168612871694
0.0,85.3,14.08,2025-05-23,100.4,2025-05-23 01:04:00,11.14,8.239758297838662
0.0,85.7,14.02,2025-05-23,100.4,2025-05-23 01:05:00,11.16,8.250752291145648
0.0,86.2,13.95,2025-05-23,100.4,2025-05-23 01:06:00,11.19,8.267267627182735
0.0,86.8,13.92,2025-05-23,100.4,2025-05-23 01:07:00,11.28,8.3169893455282
0.0,86.2,14.0,2025-05-23,100.4,2025-05-23 01:08:00,11.24,8.294858220777307
0.0,86.0,14.02,2025-05-23,100.41,2025-05-23 01:09:00,11.219999999999999,8.282983066048903
0.0,86.0,14.01,2025-05-23,100.41,2025-05-23 01:10:00,11.21,8.277465504082533
0.0,85.9,14.03,2025-05-23,100.41,2025-05-23 01:11:00,11.21,8.277465504082533
0.0,86.3,13.98,2025-05-23,100.41,2025-05-23 01:12:00,11.24,8.294027957310444
0.0,86.4,13.97,2025-05-23,100.41,2025-05-23 01:13:00,11.250000000000002,8.299555289932021
0.0,86.0,14.0,2025-05-23,100.41,2025-05-23 01:14:00,11.2,8.271951195676149
0.0,86.3,13.98,2025-05-23,100.41,2025-05-23 01:15:00,11.24,8.294027957310444
0.0,86.6,13.93,2025-05-23,100.41,2025-05-23 01:16:00,11.249999999999998,8.299555289932021
0.0,87.1,13.85,2025-05-23,100.41,2025-05-23 01:17:00,11.27,8.310619737477907
0.0,87.6,13.82,2025-05-23,100.41,2025-05-23 01:18:00,11.34,8.34944819304022
0.0,88.5,13.74,2025-05-23,100.41,2025-05-23 01:19:00,11.440000000000001,8.405195951686897
0.0,89.3,13.66,2025-05-23,100.41,2025-05-23 01:20:00,11.52,8.450031100264027
0.0,89.1,13.68,2025-05-23,100.41,2025-05-23 01:21:00,11.499999999999998,8.438802514251858
0.0,89.7,13.63,2025-05-23,100.41,2025-05-23 01:22:00,11.57,8.478160439636733
0.0,89.5,13.66,2025-05-23,100.42,2025-05-23 01:23:00,11.56,8.47167989705831
0.0,89.1,13.71,2025-05-23,100.42,2025-05-23 01:24:00,11.53,8.454803994799335
0.0,89.4,13.62,2025-05-23,100.42,2025-05-23 01:25:00,11.5,8.437957853456878
0.0,89.8,13.62,2025-05-23,100.42,2025-05-23 01:26:00,11.579999999999998,8.482947054881224
0.0,89.8,13.61,2025-05-23,100.42,2025-05-23 01:27:00,11.569999999999999,8.47731181921349
0.0,90.4,13.49,2025-05-23,100.42,2025-05-23 01:28:00,11.570000000000002,8.47731181921349
0.0,90.4,13.54,2025-05-23,100.42,2025-05-23 01:29:00,11.620000000000001,8.505521166447622
0.0,90.6,13.48,2025-05-23,100.42,2025-05-23 01:30:00,11.6,8.494227473506916
0.0,90.4,13.53,2025-05-23,100.42,2025-05-23 01:31:00,11.610000000000001,8.499872659842886
0.0,90.5,13.47,2025-05-23,100.42,2025-05-23 01:32:00,11.57,8.47731181921349
0.0,90.8,13.51,2025-05-23,100.43,2025-05-23 01:33:00,11.67,8.532959428004448
0.0,90.9,13.5,2025-05-23,100.43,2025-05-23 01:34:00,11.680000000000001,8.538627321479161
0.0,90.5,13.47,2025-05-23,100.43,2025-05-23 01:35:00,11.57,8.476463368658358
0.0,91.1,13.43,2025-05-23,100.43,2025-05-23 01:36:00,11.649999999999999,8.521633629618393
0.0,91.2,13.44,2025-05-23,100.43,2025-05-23 01:37:00,11.68,8.538627321479161
0.0,91.0,13.5,2025-05-23,100.43,2025-05-23 01:38:00,11.7,8.549973105467496
0.0,90.3,13.57,2025-05-23,100.43,2025-05-23 01:39:00,11.629999999999999,8.51032113802509
0.0,89.6,13.66,2025-05-23,100.43,2025-05-23 01:40:00,11.579999999999998,8.482098037431433
0.0,89.4,13.58,2025-05-23,100.43,2025-05-23 01:41:00,11.46,8.41470031093822
0.0,90.0,13.51,2025-05-23,100.43,2025-05-23 01:42:00,11.51,8.442724873681449
0.0,90.1,13.47,2025-05-23,100.43,2025-05-23 01:43:00,11.49,8.431505151166654
0.0,89.9,13.52,2025-05-23,100.43,2025-05-23 01:44:00,11.5,8.437113361733386
0.0,89.3,13.54,2025-05-23,100.43,2025-05-23 01:45:00,11.399999999999999,8.38117954094035
0.0,89.6,13.54,2025-05-23,100.43,2025-05-23 01:46:00,11.459999999999997,8.41470031093822
0.0,89.7,13.5,2025-05-23,100.43,2025-05-23 01:47:00,11.440000000000001,8.403513560209205
0.0,89.7,13.38,2025-05-23,100.43,2025-05-23 01:48:00,11.32,8.336669055861266
0.0,90.8,13.32,2025-05-23,100.44,2025-05-23 01:49:00,11.48,8.425057045438221
0.0,91.0,13.36,2025-05-23,100.44,2025-05-23 01:50:00,11.559999999999999,8.469984298766159
0.0,91.2,13.34,2025-05-23,100.44,2025-05-23 01:51:00,11.58,8.481249189912795
0.0,91.3,13.3,2025-05-23,100.44,2025-05-23 01:52:00,11.56,8.469984298766159
0.0,91.6,13.17,2025-05-23,100.44,2025-05-23 01:53:00,11.489999999999998,8.43066139255261
0.0,92.3,13.24,2025-05-23,100.44,2025-05-23 01:54:00,11.7,8.549117430222914
0.0,91.8,13.29,2025-05-23,100.44,2025-05-23 01:55:00,11.649999999999999,8.52078080518165
0.0,91.1,13.18,2025-05-23,100.44,2025-05-23 01:56:00,11.399999999999999,8.38034084403952
0.0,92.2,13.12,2025-05-23,100.44,2025-05-23 01:57:00,11.56,8.469984298766159
0.0,92.7,13.06,2025-05-23,100.44,2025-05-23 01:58:00,11.600000000000001,8.492527339163681
0.0,93.2,12.99,2025-05-23,100.44,2025-05-23 01:59:00,11.63,8.509469451540605
0.0,93.6,13.02,2025-05-23,100.44,2025-05-23 02:00:00,11.739999999999998,8.571846747108422
0.0,93.5,13.05,2025-05-23,100.44,2025-05-23 02:01:00,11.75,8.577537426149208
0.0,92.5,13.22,2025-05-23,100.44,2025-05-23 02:02:00,11.72,8.560475412207639
0.0,91.8,13.27,2025-05-23,100.44,2025-05-23 02:03:00,11.629999999999999,8.509469451540605
0.0,91.1,13.31,2025-05-23,100.44,2025-05-23 02:04:00,11.53,8.45311179146804
