extended_start,extended_end,extended_duration_min,mean precipitation,P_P_coef,P_T_coef,P_H_coef,T_P_coef,T_T_coef,T_H_coef,H_P_coef,H_T_coef,H_H_coef,P_P_elem,P_T_elem,P_H_elem,T_P_elem,T_T_elem,T_H_elem,H_P_elem,H_T_elem,H_H_elem,cumulative_precipitation,P_aero_coef,T_aero_coef,H_aero_coef,aero_P_coef,aero_T_coef,aero_H_coef,aero_aero_coef,P_aero_elem,T_aero_elem,H_aero_elem,aero_P_elem,aero_T_elem,aero_H_elem,aero_aero_elem
2024-12-09 15:08:30,2024-12-09 16:38:30,90.0,0.3555555555555555,"[0.0, 0.5343017070501004, 0.2799197677052115, 0.15286418917945116, 0.07393896627964068, 0.026099621908374587]","[-0.11337734906103267, -0.09565166040531498, -0.08120060579459125, -0.05978697631336915, -0.05731830738731259, -0.04406436292111996]","[-0.03868621054090744, -0.01992336280610252, -0.00118949510214441, 0.0008866079440638574, 0.0018485959700066407, -0.006044943350482413]","[-0.11337734906103267, -0.08635853456568414, -0.06836694360211439, -0.05076758972310461, -0.04558458739933693, -0.03547844280942291]","[0.0, 0.8169555801283499, 0.7175192821895223, 0.630512943266052, 0.5507400160424644, 0.48301755835663357]","[0.18563362036492695, 0.16207421880543385, 0.14344282558571025, 0.11941248716414571, 0.1086265942578518, 0.10287244475625505]","[-0.03868621054090744, -0.04201020585999224, -0.0480231303705192, -0.058766857722754445, -0.051640591445149424, -0.05087673131641786]","[0.18563362036492695, 0.16671475282284312, 0.1453221627715365, 0.13458894186456186, 0.11802312704376935, 0.10828119504066024]","[0.0, 0.8397281915698359, 0.7534318996807321, 0.6805587752618116, 0.6133239931596962, 0.551134773655611]","[1, 2]",[],[],[],"[1, 2, 3, 4, 5]","[0, 1, 2, 3]",[],"[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",0.2666666666666667,"[0.03688129736880196, 0.033320036574204154, 0.014547043411260759, -0.004542797074455533, -0.019117732845606125, -0.026581958246404594]","[0.0061817984271026385, 0.0037268335913243997, 0.0069477862821206845, 0.010584910394178575, 0.0048142517535146616, -0.000214288645675884]","[-0.031103519380395822, -0.027863788006835196, -0.022002737333045013, -0.01645769159801256, -0.012972475496171705, -0.0058953861689949915]","[0.03688129736880196, 0.022539092389639886, 0.01949013728863855, 0.020128139113226938, 0.007750628573293692, 0.0038778628529658214]","[0.0061817984271026385, 0.011888614687772274, 0.01276862761297364, 0.011012230621237698, 0.009028315603269246, 0.017049958301779283]","[-0.031103519380395822, -0.022390245395968265, -0.013307251245420981, -0.006770256396664014, -0.005331474774950659, -0.0001594238859258168]","[0.0, 0.8352277060549107, 0.734674980107102, 0.6468728391813098, 0.5733204846575173, 0.518210119675522]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]"
2024-12-11 09:48:30,2024-12-11 11:34:30,106.0,0.3113207547169811,"[0.0, 0.5111526525184346, 0.26459247241085804, 0.14061690252631698, 0.061454618820576255, 0.024157064808037428]","[-0.049924666039607005, -0.06092594818007695, -0.06702174040730334, -0.06597840688255753, -0.06571291895810187, -0.06805373977037849]","[-0.05824612649838425, -0.06271279147495423, -0.07303757609759556, -0.06286354116292632, -0.06548216310820106, -0.06062702758661469]","[-0.049924666039607005, -0.0018328244465217946, 0.03247446259946703, 0.04658518476918032, 0.04520659794609633, 0.04778574768049992]","[0.0, 0.8005208249059969, 0.7080456954322436, 0.6295198847490715, 0.5526836654640542, 0.49241096041584437]","[0.9381977263809829, 0.8042781332019371, 0.7012984755341114, 0.6250516948018199, 0.5474269094409427, 0.4847635916902287]","[-0.05824612649838425, -0.004225056009853101, 0.026848364642358288, 0.04454272873008464, 0.04873279657447499, 0.05105667040947535]","[0.9381977263809829, 0.8420516507793522, 0.7382061091785219, 0.6512989589222085, 0.5748084425109657, 0.5093489269939484]","[0.0, 0.8332490555885127, 0.7300321718002553, 0.641722204358838, 0.5653359810401255, 0.5012282102525873]","[1, 2, 3, 4, 5]",[5],"[4, 5]",[],"[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",0.2749999999999999,"[0.007742770009540272, 0.0007388524001206581, -0.011100114588139434, -0.01979564837383456, -0.029053628803008737, -0.029384780299631555]","[-0.0828353738069249, -0.07124369649606659, -0.06310183198059222, -0.06171965210625758, -0.05685535216112931, -0.05542339472917455]","[-0.08941496898507274, -0.07769608837427247, -0.07091988915801868, -0.06162760722272367, -0.05483193251826006, -0.05305755756323761]","[0.007742770009540272, 0.020329143004717724, 0.027114206119160683, 0.03171470012098198, 0.03044302375799462, 0.031710827056036346]","[-0.0828353738069249, -0.08131740240623236, -0.06849360777167926, -0.057940059234222546, -0.04777577260429, -0.03844445966998309]","[-0.08941496898507274, -0.08397181823458495, -0.07501222496514853, -0.0630491130203124, -0.05284302378058859, -0.043813544165469384]","[0.0, 0.8625679324697395, 0.7729697067619619, 0.7005582558929733, 0.6396804363205721, 0.58592889056917]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3]","[1, 2, 3, 4, 5]"
2024-12-11 12:07:00,2024-12-11 14:27:00,140.0,0.4457142857142857,"[0.0, 0.5103900034012177, 0.5143684641037365, 0.35298264952623254, 0.30085154403928094, 0.21499382465667127]","[0.021788920557596222, 0.03223816650795845, 0.04331386362792549, 0.04580695197202043, 0.05289190716936992, 0.04955115668451795]","[0.06405730814854678, 0.06080978163002787, 0.05836142578572866, 0.05508667666591567, 0.053644823476919706, 0.05144502257180183]","[0.021788920557596222, -0.001419393045788181, -0.012525202757342688, -0.022183998283038346, -0.02712648743284935, -0.035820174134305015]","[0.0, 0.9142865719102207, 0.8534013502139469, 0.7973931219163096, 0.7458671369522779, 0.6932142630836653]","[0.9515902197554464, 0.8575082273012414, 0.7894134646037204, 0.7313359469088927, 0.6794013206691097, 0.6315360334317165]","[0.06405730814854678, 0.024792992727317546, 0.012094632159957399, -0.004635313698307997, -0.015771736796551934, -0.028927780401132256]","[0.9515902197554464, 0.9137405977696463, 0.867634330390314, 0.816995723142509, 0.7666096857720867, 0.7176652037791392]","[0.0, 0.8879443822281897, 0.8177952010920623, 0.7557536998409059, 0.7042760836350029, 0.6572320837457775]","[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",0.52,"[-0.00545677755255414, -0.0059063345187910276, -0.0016646817033386147, -0.0040635559363730546, 0.004045003134444985, 0.003674692347642791]","[-0.09472623966342901, -0.08359975617669715, -0.07389274005940848, -0.06615056109302585, -0.06034710544875077, -0.056477537076609866]","[-0.11663576813314118, -0.10335614295009705, -0.09123009161063585, -0.08164511582906159, -0.07475540675390234, -0.06854898635565318]","[-0.00545677755255414, -0.006429643597265353, -0.011027693308806399, -0.008069186253064702, -0.0033724979244410948, -0.0016144674672543308]","[-0.09472623966342901, -0.10185405796207232, -0.10748507694601733, -0.10915649226920426, -0.10882277253211747, -0.11018810267392944]","[-0.11663576813314118, -0.10817869285917844, -0.10524254280805513, -0.1041369340915954, -0.10388288951758184, -0.10292477002348452]","[0.0, 0.8703665123513246, 0.7806444747426383, 0.7051342521972114, 0.6381106884516253, 0.5809371614599306]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2]",[],"[1, 2, 3, 4, 5]"
2024-12-11 13:53:00,2024-12-11 15:21:00,88.0,1.5266666666666668,"[0.0, 0.7146394604504017, 0.5374891332440737, 0.40967318227274524, 0.3052504800453652, 0.22890041775615916]","[-0.08482630841850386, -0.07134776173053575, -0.05548195702539731, -0.05239489556327468, -0.04347385939163924, -0.052786604501676535]","[-0.08389085272347854, -0.06384181706425036, -0.054428002341960005, -0.051413001171933266, -0.0502301054214725, -0.048050758250167434]","[-0.08482630841850386, -0.06820966886100262, -0.05828999971946646, -0.05270217676929672, -0.03886307616780188, -0.02601312359367276]","[0.0, 0.7974458146434706, 0.6882645777898674, 0.6026186232399503, 0.527380105936103, 0.4574504229092558]","[0.919714477194537, 0.7766201656154078, 0.672149153369901, 0.5914076399169739, 0.5095113173475228, 0.4483123447999827]","[-0.08389085272347854, -0.06796479755457321, -0.06295963514144086, -0.05342770775398382, -0.039988193815004756, -0.030776101839020083]","[0.919714477194537, 0.8494717853030481, 0.7225058592061131, 0.6302428108381456, 0.5537249598647039, 0.4849515893540916]","[0.0, 0.8091503902458228, 0.6998434179782217, 0.6144972430724203, 0.5360088785982686, 0.46644624267158613]","[1, 2, 3, 4, 5]",[],[],[],"[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",1.1449999999999998,"[0.012281454921627143, 0.020578680173813958, 0.03689303826156959, 0.03765481473340348, 0.04784552820582453, 0.053837702702257566]","[-0.08081724301672544, -0.07011613221500754, -0.06915966444305041, -0.06849156606071577, -0.06259391606489205, -0.05937708378104936]","[-0.08674416860111592, -0.06978958079978476, -0.06527543372195778, -0.0712538803264194, -0.06376034789006446, -0.06149187106740776]","[0.012281454921627143, 0.009195235985326657, 0.00994693938792779, 0.00419265688370073, 0.0025714720556689018, -0.006012947011962524]","[-0.08081724301672544, -0.06401041447082041, -0.051279704697524166, -0.03611064770669226, -0.030152045940965683, -0.02121759203843781]","[-0.08674416860111592, -0.06517786656009293, -0.04835535030723286, -0.04012278425579243, -0.02947619887360279, -0.01874967892756651]","[0.0, 0.8324908544044566, 0.7380954816315358, 0.6617797148217445, 0.5996449651510711, 0.5442917108263723]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]"
2024-12-11 15:05:30,2024-12-11 16:55:30,110.0,0.98,"[0.0, 0.6511347557336845, 0.4327113673315823, 0.2880385069555844, 0.1840831987344902, 0.11498506572930912]","[-0.030503048759183405, -0.042130566675109275, -0.05200601193318426, -0.05367215916630444, -0.06064081865071535, -0.0567872083156208]","[-0.052019121154288764, -0.05868730432750198, -0.06201853807583293, -0.05495496683952655, -0.05659290396127802, -0.04910085146479162]","[-0.030503048759183405, -0.02043613091441779, -0.006238626400159776, 0.001661695098313749, 0.007892686343065227, 0.008453555644396801]","[0.0, 0.8730187655656846, 0.796125160699938, 0.7284102675275266, 0.6653463181220984, 0.6042968004308975]","[0.9145349467603129, 0.8113284461817419, 0.7342106429619716, 0.6604727332200911, 0.5980308909676465, 0.5410416100556336]","[-0.052019121154288764, -0.039663003074352415, -0.020624492456434728, -0.008057610509759646, -0.001958761152847453, 0.0029558831705666757]","[0.9145349467603129, 0.8606321191068929, 0.8082228547887061, 0.7581052679186062, 0.7030520882452794, 0.6472785138274595]","[0.0, 0.8586436356400894, 0.7764625112480072, 0.7070812486289104, 0.6438773802723748, 0.5864376279512203]","[1, 2, 3, 4, 5]",[],[],[],"[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",0.8983333333333334,"[-0.0009682234890316952, -0.004303571689386468, -0.02060287838298679, -0.02707105843958709, -0.03433058917370873, -0.030525576931345687]","[-0.0625123201742867, -0.0544799398915684, -0.04421644126159637, -0.0440325098634332, -0.044484989676573, -0.04438769980839897]","[-0.0856964127213335, -0.07365176611223125, -0.06442357250266138, -0.055116018852083365, -0.0511628875338144, -0.04994234667760402]","[-0.0009682234890316952, 0.014885531012539482, 0.02735671426357966, 0.031858465022848226, 0.03759887357189171, 0.03208486315712764]","[-0.0625123201742867, -0.0711140346145291, -0.07564854240311442, -0.07942701187549281, -0.0815472721404296, -0.07967844060378151]","[-0.0856964127213335, -0.08492296403166626, -0.08320334507090758, -0.08334344599348242, -0.08072014874754008, -0.07633173878831642]","[0.0, 0.8532184115514183, 0.7585247919281463, 0.6701902366419471, 0.5959304761816289, 0.5375403316264598]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]"
2024-12-11 16:08:00,2024-12-11 18:12:00,124.0,0.9741935483870968,"[0.0, 0.7077508623476036, 0.5106965134873946, 0.372287010069448, 0.27178271048821484, 0.1908262981916722]","[-0.04841087218043967, -0.0346997748011507, -0.02641227936997435, -0.029029369510145037, -0.024956571705513148, -0.0290726395579299]","[-0.0113014640086431, 0.0062758526794668675, 0.015892067599557774, 0.019289918807631024, 0.023296064234731392, 0.011866971440215757]","[-0.04841087218043967, -0.040214546365816825, -0.0332611669517939, -0.02959586602800858, -0.024105854799580943, -0.02021037289098872]","[0.0, 0.9064437400953353, 0.8539779432489623, 0.81185078996235, 0.7744001926911269, 0.7380503283308237]","[0.305002615842065, 0.2560981640327706, 0.21971023348992816, 0.18654910154608104, 0.16126692683276153, 0.14265669442980194]","[-0.0113014640086431, -0.002121998587613767, 0.00026832926100651467, -0.00019995311121065784, 0.0019671446394793524, 0.00539113511180652]","[0.305002615842065, 0.248662635850685, 0.2019734486245881, 0.16428106678834825, 0.13473786364157514, 0.10830899259291642]","[0.0, 0.8637718147960212, 0.7751080177635299, 0.7009061217451499, 0.6323853815519072, 0.5738129853359646]","[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",1.0066666666666666,"[0.058634758816135044, 0.053980953252872846, 0.041726252443533646, 0.03483605404680372, 0.022747803716378568, 0.021724645333961554]","[-0.4950422962195981, -0.4587262635439995, -0.4251151276410317, -0.3950204696023853, -0.36553819418904737, -0.3376737132259409]","[0.0011436747846242435, 0.007696141017189747, 0.011141406557877724, 0.009434266104817549, 0.014253080213368529, 0.0156689536745005]","[0.058634758816135044, 0.056140739789714705, 0.05677881080296251, 0.0525851987372138, 0.043690345019325776, 0.03699221335315114]","[-0.4950422962195981, -0.5172639913222298, -0.541917205774629, -0.5720154082836416, -0.5943876545149155, -0.6132783096840062]","[0.0011436747846242435, 0.0036042194300026464, 0.010499565788619476, 0.019188903858410124, 0.024402082017212227, 0.029032461277702187]","[0.0, 0.8874308477873949, 0.817362906442752, 0.7632254705741828, 0.7179838088403906, 0.6752809421084933]",[],"[0, 1, 2, 3, 4, 5]",[0],"[4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]"
2024-12-11 18:43:30,2024-12-11 19:29:30,46.0,0.1913043478260869,"[0.0, 0.49593757153198514, 0.4780194567394138, 0.4546698484418013, 0.4056823559742728, 0.4072792094895131]","[0.5030117730155736, 0.4964430150320174, 0.46808360803157384, 0.4602635271691312, 0.4672769248499485, 0.43471131995828904]","[-0.15410181174633758, -0.014094555053095481, 0.013706229683065176, -0.0015026052645188196, 0.02111877469733288, -0.0029859954617562382]","[0.5030117730155736, 0.6133818804728896, 0.6196665740771929, 0.6513192844379361, 0.6834795755269163, 0.6375484667348353]","[0.0, 0.8279635211454516, 0.7795739482001225, 0.7420655498321881, 0.6835794636742506, 0.6785578710530943]","[0.019523621728703474, -0.06479524231381278, -0.04227733800465356, -0.01791845003737933, -0.03201815964201447, -0.005052125461145655]","[-0.15410181174633758, -0.007581026369636017, -0.026221997371182956, -0.04352676254812469, -0.011798133518791932, 0.018852413999646198]","[0.019523621728703474, 0.0011296051677770536, 0.0052769303834288486, -0.011829301522722794, -0.02160049580562989, -0.016519889036220634]","[0.0, -0.02363595541700801, 0.009542088080564663, -0.027846375155973865, -0.01789492339382155, -0.04983691051194552]",[1],[],[],"[3, 4]","[1, 2, 3, 4, 5]","[0, 1]",[],"[0, 5]","[1, 2, 3, 4, 5]",0.0733333333333333,"[-0.1931075469423409, -0.007436940724540051, 0.016578664427634178, 0.0007150116929185602, 0.006876612005706932, -0.007273693338961459]","[0.03945215051078205, -0.07252450384689459, -0.05733892229446301, -0.028702628933150655, -0.028938320572412576, -0.015307862381477078]","[0.4209869859941837, -0.025934034753879204, 0.002405596943327707, -0.02788273908450975, 0.0045919858428107195, 0.0067275359871071605]","[-0.1931075469423409, -0.019058655224024605, -0.02213006547852506, -0.011366175875658453, 0.006089621776952789, 0.011576881952674936]","[0.03945215051078205, 0.0012502169588909158, -0.015581539379931907, 0.008733077497903889, -0.019535760178108513, -0.023297323051427007]","[0.4209869859941837, 0.0001638367327663448, 0.004960626810790943, -0.022896066960189226, -0.03957756713607794, -0.06146728284557421]","[0.0, -0.040138735350389865, -0.01279771721072146, -0.05159100714837257, -0.03549065923934192, -0.028428359932352334]",[],[3],[],[],[],[],[1]
2024-12-11 17:35:30,2024-12-12 01:29:30,474.0,2.366239316239316,"[0.0, 0.8079334214987697, 0.6589715385991576, 0.5377290167236629, 0.4386451860977846, 0.35480486176681814]","[0.03976558662596871, 0.036940601923117974, 0.03372595019879095, 0.032022266913498444, 0.03141498013798125, 0.029554208329365048]","[0.015054079756211878, 0.018817794394116585, 0.021422320686895327, 0.0235871537189019, 0.025850474180596893, 0.02715788700688674]","[0.03976558662596871, 0.027501391474136775, 0.01835291659399284, 0.010177680590712617, 0.004172603520282367, -0.0012158255647808252]","[0.0, 0.9689242458218987, 0.9473150961817148, 0.9277612725937949, 0.9100806147286871, 0.8935645082078425]","[0.08186312645069468, 0.07916941247224343, 0.07718437694786025, 0.07554652392224596, 0.07437236704396077, 0.07315152840590089]","[0.015054079756211878, 0.036186572443343626, 0.05153082252771218, 0.06275441350332331, 0.07168511501707668, 0.07902588857881762]","[0.08186312645069468, 0.07905350883490918, 0.07640420980428193, 0.07417710405849265, 0.07205970714369107, 0.07013097412916823]","[0.0, 0.9871952086071667, 0.9801194652688662, 0.9734399319566853, 0.9672592234932036, 0.9628064077242009]","[1, 2, 3, 4, 5]","[0, 1]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",9.228333333333346,"[-0.2682396549635001, -0.3044629643709998, -0.3308158915001684, -0.3514043886665398, -0.3669412484056278, -0.3758061438500746]","[-0.056700635497901074, -0.05577123100950657, -0.05489897938871194, -0.054005106132893534, -0.05270573892619227, -0.05108835675548968]","[-0.06750151540796918, -0.06666403156291546, -0.06683715990004108, -0.0674055397154031, -0.0689962806507782, -0.07173157248305159]","[-0.2682396549635001, -0.19979576448603392, -0.14462365762579613, -0.10150364224406944, -0.06744503810683834, -0.038562308141088894]","[-0.056700635497901074, -0.05462525050574115, -0.05226070771983453, -0.051306828597545595, -0.05018738213224887, -0.048661038919465466]","[-0.06750151540796918, -0.0697892100807193, -0.07132990213508796, -0.07287327835144113, -0.07367351698365936, -0.07487112341426043]","[0.0, 0.9639363909773633, 0.9342654460763536, 0.9080449089854078, 0.8800393700371355, 0.8518081437559326]","[0, 1, 2, 3, 4, 5]",[],[],"[0, 1, 2, 3, 4, 5]",[],[],"[1, 2, 3, 4, 5]"
2024-12-15 22:34:00,2024-12-15 23:34:00,60.0,0.5133333333333333,"[0.0, 0.6662817392916454, 0.4920629223720124, 0.3847289716325749, 0.27204516424932346, 0.1982461086369671]","[-0.10211635192736669, -0.08676317470233619, -0.07618864734964564, -0.055695225572911136, -0.02795579551666518, -0.02931770879816078]","[0.0874470357291419, 0.08608715703057204, 0.08767646589817354, 0.0806670213635699, 0.10778436976038339, 0.10666057130333625]","[-0.10211635192736669, -0.07600187401505418, -0.06783761176958653, -0.05905663598930949, -0.035687657332806565, -0.009535235101141742]","[0.0, 0.7871779627766499, 0.6826343053876228, 0.6042581765742016, 0.524201386494231, 0.46495547132023857]","[0.052250253179298, 0.04136361907379158, 0.02827607028653194, 0.0004943120356810904, -0.01295149946667651, -0.0195547795012541]","[0.0874470357291419, 0.07868311410309808, 0.08202100478112982, 0.0718254588367436, 0.07828031707602819, 0.07593278559527432]","[0.052250253179298, 0.04396660071052955, 0.04660120933369015, 0.04686657106407818, 0.035538023343351044, 0.03718475957315357]","[0.0, 0.7878978303128342, 0.6791783893132984, 0.591672570182984, 0.5265895391034124, 0.4690785083713625]","[1, 2]",[],[],[],"[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",0.2566666666666667,"[0.00882482693707114, 0.003720519030809858, -0.03818788315845472, -0.04270266165819695, -0.051810162876523284, -0.041969749221728775]","[-0.05304206886803604, -0.0497082105235206, -0.047381003240440346, -0.04915036312718211, -0.04829189740976548, -0.04504660257758811]","[0.047919518235038414, 0.022393487930225178, 0.007720401461427151, -0.014148075833894236, -0.010228435838424175, -0.012284463547957647]","[0.00882482693707114, -0.00263361784252778, -0.018060407173817943, -0.03332590765777676, -0.05135941663755603, -0.057301422989630035]","[-0.05304206886803604, -0.04327290532059045, -0.01622028104925945, 0.006110085942277283, 0.012792297970759672, 0.02547483394863043]","[0.047919518235038414, 0.024125420466853672, 0.004053580642637833, -0.002902630375732515, -0.010011562474543148, -0.01855954504977542]","[0.0, 0.7711056230371675, 0.6462498133989055, 0.5639528697510029, 0.48538941147325354, 0.42478079423020376]",[],[],[],[],[],[],"[1, 2, 3, 4, 5]"
2024-12-15 23:18:30,2024-12-16 00:04:30,46.0,0.2625,"[0.0, -0.02818686600912129, -0.034008159273744384, -0.037534868327582314, -0.031062143999204584, -0.013052033078073635]","[-0.1267506230950987, -0.014437692528268401, 0.004897580155918537, 0.03195900620041789, 0.001917701795763759, -0.04706192428818011]","[-0.20588295170941387, -0.02103995030172104, 0.032504288277926015, -0.004822629066943026, 0.06295841876080788, 0.006977356210467616]","[-0.1267506230950987, -0.04055581315616115, -0.0001730451074219652, -0.0036587226630881557, -0.003966264492771083, 0.015058542678224015]","[0.0, -0.017476304924878377, -0.04500188094449733, 0.001240458977806194, -0.027333131523255144, 0.01106255224889231]","[-0.3110299842743609, 0.06964667521070848, -0.014776187446203293, 0.013027265345340535, 0.024874318447423875, 0.00899447660745269]","[-0.20588295170941387, 0.03672172247919903, 0.004916675451032924, -0.02459677474649144, -0.015253929555717867, 0.004115940858495756]","[-0.3110299842743609, -0.029863811854791297, 0.021941688355996622, -0.003449405388560377, 0.018789773149219143, 0.022814109087219068]","[0.0, -0.020743744927669346, -0.00824022398316987, -0.04181995559563166, -0.016685908391958746, -0.043720900290704884]",[],[],[],[],[],[],[],"[1, 2]","[1, 2, 3, 4, 5]",0.1049999999999999,"[0.02119663414979481, -0.010697298416202948, 0.0005093992888637455, 0.0147909116088231, -0.040334803003500314, -0.006846078487794171]","[0.5521450165423673, -0.04376437624499661, -0.011527221321006436, -0.01151743414671904, -0.003119553780055434, 0.0006972826576341373]","[-0.7117825452880523, -0.0050745697267579075, -0.006636476102362179, 0.011273675455191519, 0.016439888931870372, 0.026343387252544145]","[0.02119663414979481, -0.044190696952752725, -0.0012692783555717723, 0.01686588509131182, 0.022329627409911797, -0.004872659223014421]","[0.5521450165423673, 0.0034316932984142833, -0.042945284654206974, -0.011124059195677702, -0.034664447617496055, -0.009990753018716795]","[-0.7117825452880523, 0.02397098223295645, -0.0014148410699918851, 0.04008062016155558, 0.025166452743457208, 0.008591305917986389]","[0.0, -0.022142420939897108, -0.008183889155245925, -0.031684491784687595, -0.039850516627876933, -0.01800987146819904]",[],[],"[0, 1, 2, 3, 4, 5]",[],[],"[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]"
