Relation,Lag,Percentage,Count,Total Samples
P → P,1,84.09,111,132
P → P,2,78.03,103,132
P → P,3,65.15,86,132
P → P,4,56.82,75,132
P → P,5,56.82,75,132
P → T,5,21.97,29,132
P → T,0,25.0,33,132
P → T,1,24.24,32,132
P → T,2,22.73,30,132
P → T,3,22.73,30,132
P → T,4,21.21,28,132
P → H,4,24.24,32,132
P → H,5,25.0,33,132
P → H,0,31.82,42,132
P → H,1,29.55,39,132
P → H,2,29.55,39,132
P → H,3,24.24,32,132
P → aero,0,26.52,35,132
P → aero,1,26.52,35,132
P → aero,2,28.03,37,132
P → aero,3,25.76,34,132
P → aero,4,25.76,34,132
P → aero,5,26.52,35,132
T → P,0,25.0,33,132
T → P,1,23.48,31,132
T → P,2,28.03,37,132
T → P,3,27.27,36,132
T → P,4,27.27,36,132
T → P,5,27.27,36,132
T → T,1,97.73,129,132
T → T,2,96.21,127,132
T → T,3,93.18,123,132
T → T,4,90.15,119,132
T → T,5,89.39,118,132
T → H,0,91.67,121,132
T → H,1,89.39,118,132
T → H,2,84.85,112,132
T → H,3,81.82,108,132
T → H,4,82.58,109,132
T → H,5,82.58,109,132
T → aero,0,69.7,92,132
T → aero,1,68.18,90,132
T → aero,2,68.18,90,132
T → aero,3,68.94,91,132
T → aero,4,68.18,90,132
T → aero,5,66.67,88,132
H → P,0,31.82,42,132
H → P,1,31.82,42,132
H → P,2,33.33,44,132
H → P,3,34.09,45,132
H → P,4,32.58,43,132
H → P,5,31.82,42,132
H → T,0,91.67,121,132
H → T,1,91.67,121,132
H → T,2,90.15,119,132
H → T,3,87.12,115,132
H → T,4,84.85,112,132
H → T,5,81.82,108,132
H → H,1,99.24,131,132
H → H,2,95.45,126,132
H → H,3,89.39,118,132
H → H,4,87.12,115,132
H → H,5,86.36,114,132
H → aero,0,70.45,93,132
H → aero,1,69.7,92,132
H → aero,2,68.18,90,132
H → aero,3,67.42,89,132
H → aero,4,66.67,88,132
H → aero,5,66.67,88,132
aero → P,0,26.52,35,132
aero → P,1,29.55,39,132
aero → P,2,30.3,40,132
aero → P,3,29.55,39,132
aero → P,4,31.06,41,132
aero → P,5,28.03,37,132
aero → T,0,69.7,92,132
aero → T,1,68.94,91,132
aero → T,2,69.7,92,132
aero → T,3,68.18,90,132
aero → T,4,68.18,90,132
aero → T,5,66.67,88,132
aero → H,0,70.45,93,132
aero → H,1,73.48,97,132
aero → H,2,75.0,99,132
aero → H,3,74.24,98,132
aero → H,4,71.97,95,132
aero → H,5,70.45,93,132
aero → aero,1,98.48,130,132
aero → aero,2,96.21,127,132
aero → aero,3,93.18,123,132
aero → aero,4,90.15,119,132
aero → aero,5,88.64,117,132
