variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,56,100.0,0.0,91.07,0.0
P_P,2,56,100.0,0.0,66.07,0.0
P_P,3,55,100.0,0.0,38.18,0.0
P_P,4,54,98.15,1.85,25.93,0.0
P_P,5,54,96.3,3.7,20.37,0.0
T_T,1,57,100.0,0.0,100.0,0.0
T_T,2,57,100.0,0.0,100.0,0.0
T_T,3,57,100.0,0.0,100.0,0.0
T_T,4,57,100.0,0.0,100.0,0.0
T_T,5,57,100.0,0.0,100.0,0.0
T_H,0,54,98.15,1.85,51.85,0.0
T_H,1,54,94.44,5.56,51.85,0.0
T_H,2,54,92.59,7.41,51.85,0.0
T_H,3,54,92.59,7.41,51.85,0.0
T_H,4,54,92.59,7.41,48.15,0.0
T_H,5,54,92.59,7.41,46.3,0.0
H_T,0,54,98.15,1.85,51.85,0.0
H_T,1,55,96.36,3.64,50.91,0.0
H_T,2,55,96.36,3.64,52.73,0.0
H_T,3,55,94.55,5.45,52.73,0.0
H_T,4,55,94.55,5.45,50.91,0.0
H_T,5,55,94.55,5.45,49.09,0.0
H_H,1,57,100.0,0.0,100.0,0.0
H_H,2,57,100.0,0.0,100.0,0.0
H_H,3,57,100.0,0.0,98.25,0.0
H_H,4,57,100.0,0.0,98.25,0.0
H_H,5,57,100.0,0.0,96.49,0.0
T_aero,0,46,63.04,36.96,4.35,0.0
T_aero,1,46,60.87,39.13,4.35,0.0
T_aero,2,45,60.0,40.0,4.44,0.0
T_aero,3,45,57.78,42.22,4.44,0.0
T_aero,4,46,56.52,43.48,4.35,0.0
T_aero,5,45,57.78,42.22,4.44,0.0
H_aero,0,49,65.31,34.69,4.08,0.0
H_aero,1,47,63.83,36.17,6.38,0.0
H_aero,2,47,63.83,36.17,6.38,0.0
H_aero,3,47,63.83,36.17,6.38,0.0
H_aero,4,47,63.83,36.17,6.38,0.0
H_aero,5,46,65.22,34.78,6.52,0.0
aero_T,0,46,63.04,36.96,4.35,0.0
aero_T,1,46,63.04,36.96,4.35,2.17
aero_T,2,45,64.44,35.56,4.44,2.22
aero_T,3,43,69.77,30.23,4.65,2.33
aero_T,4,43,69.77,30.23,4.65,2.33
aero_T,5,43,72.09,27.91,4.65,2.33
aero_H,0,49,65.31,34.69,4.08,0.0
aero_H,1,50,68.0,32.0,4.0,0.0
aero_H,2,50,68.0,32.0,4.0,0.0
aero_H,3,48,72.92,27.08,4.17,0.0
aero_H,4,48,72.92,27.08,4.17,0.0
aero_H,5,48,75.0,25.0,4.17,0.0
aero_aero,1,57,98.25,1.75,98.25,0.0
aero_aero,2,57,98.25,1.75,96.49,0.0
aero_aero,3,57,100.0,0.0,96.49,0.0
aero_aero,4,57,98.25,1.75,89.47,0.0
aero_aero,5,57,98.25,1.75,87.72,0.0
P_T,0,26,50.0,50.0,0.0,0.0
P_T,1,24,41.67,58.33,0.0,0.0
P_T,2,23,34.78,65.22,0.0,0.0
P_T,3,23,30.43,69.57,0.0,0.0
P_T,4,22,31.82,68.18,0.0,0.0
P_T,5,21,33.33,66.67,0.0,0.0
P_H,0,33,39.39,60.61,0.0,0.0
P_H,1,31,45.16,54.84,0.0,0.0
P_H,2,28,42.86,57.14,0.0,0.0
P_H,3,26,38.46,61.54,0.0,0.0
P_H,4,25,40.0,60.0,0.0,0.0
P_H,5,25,36.0,64.0,0.0,0.0
T_P,0,26,50.0,50.0,0.0,0.0
T_P,1,24,41.67,58.33,0.0,0.0
T_P,2,25,44.0,56.0,0.0,0.0
T_P,3,26,34.62,65.38,0.0,0.0
T_P,4,25,44.0,56.0,0.0,0.0
T_P,5,25,40.0,60.0,0.0,0.0
H_P,0,33,39.39,60.61,0.0,0.0
H_P,1,32,46.88,53.12,0.0,0.0
H_P,2,32,50.0,50.0,0.0,0.0
H_P,3,31,41.94,58.06,0.0,0.0
H_P,4,32,43.75,56.25,0.0,0.0
H_P,5,31,38.71,61.29,0.0,0.0
P_aero,0,24,50.0,50.0,0.0,0.0
P_aero,1,24,45.83,54.17,0.0,0.0
P_aero,2,23,47.83,52.17,0.0,0.0
P_aero,3,24,45.83,54.17,0.0,0.0
P_aero,4,23,43.48,56.52,0.0,0.0
P_aero,5,25,44.0,56.0,0.0,0.0
aero_P,0,24,50.0,50.0,0.0,0.0
aero_P,1,25,48.0,52.0,0.0,0.0
aero_P,2,25,44.0,56.0,0.0,0.0
aero_P,3,25,40.0,60.0,0.0,0.0
aero_P,4,27,29.63,70.37,0.0,0.0
aero_P,5,24,33.33,66.67,0.0,0.0
