variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,49,95.92,4.08,93.88,0.0
P_P,2,48,95.83,4.17,70.83,0.0
P_P,3,45,97.78,2.22,37.78,0.0
P_P,4,42,97.62,2.38,28.57,0.0
P_P,5,43,97.67,2.33,18.6,0.0
T_T,1,49,95.92,4.08,95.92,0.0
T_T,2,49,100.0,0.0,97.96,0.0
T_T,3,49,95.92,4.08,95.92,0.0
T_T,4,49,100.0,0.0,97.96,0.0
T_T,5,49,95.92,4.08,91.84,0.0
T_H,0,46,93.48,6.52,54.35,0.0
T_H,1,45,91.11,8.89,51.11,0.0
T_H,2,45,88.89,11.11,48.89,0.0
T_H,3,44,86.36,13.64,50.0,0.0
T_H,4,44,88.64,11.36,47.73,0.0
T_H,5,44,88.64,11.36,45.45,0.0
H_T,0,46,93.48,6.52,54.35,0.0
H_T,1,45,88.89,11.11,51.11,0.0
H_T,2,45,88.89,11.11,51.11,0.0
H_T,3,45,86.67,13.33,51.11,0.0
H_T,4,44,86.36,13.64,52.27,0.0
H_T,5,44,88.64,11.36,47.73,0.0
H_H,1,49,97.96,2.04,95.92,0.0
H_H,2,49,97.96,2.04,93.88,0.0
H_H,3,47,95.74,4.26,93.62,0.0
H_H,4,47,95.74,4.26,87.23,0.0
H_H,5,47,100.0,0.0,85.11,0.0
T_aero,0,39,58.97,41.03,2.56,0.0
T_aero,1,38,60.53,39.47,2.63,0.0
T_aero,2,37,59.46,40.54,2.7,2.7
T_aero,3,38,57.89,42.11,2.63,2.63
T_aero,4,39,56.41,43.59,2.56,2.56
T_aero,5,39,56.41,43.59,2.56,2.56
H_aero,0,40,62.5,37.5,2.5,0.0
H_aero,1,39,58.97,41.03,5.13,0.0
H_aero,2,38,52.63,47.37,5.26,0.0
H_aero,3,37,54.05,45.95,5.41,0.0
H_aero,4,37,54.05,45.95,5.41,0.0
H_aero,5,37,56.76,43.24,5.41,0.0
aero_T,0,39,58.97,41.03,2.56,0.0
aero_T,1,39,61.54,38.46,2.56,2.56
aero_T,2,38,60.53,39.47,2.63,2.63
aero_T,3,37,64.86,35.14,2.7,2.7
aero_T,4,37,67.57,32.43,2.7,2.7
aero_T,5,37,70.27,29.73,2.7,2.7
aero_H,0,40,62.5,37.5,2.5,0.0
aero_H,1,42,61.9,38.1,2.38,0.0
aero_H,2,42,61.9,38.1,2.38,0.0
aero_H,3,40,67.5,32.5,2.5,0.0
aero_H,4,39,66.67,33.33,2.56,0.0
aero_H,5,38,65.79,34.21,2.63,0.0
aero_aero,1,49,100.0,0.0,100.0,0.0
aero_aero,2,49,100.0,0.0,97.96,0.0
aero_aero,3,48,100.0,0.0,93.75,0.0
aero_aero,4,47,100.0,0.0,89.36,0.0
aero_aero,5,47,100.0,0.0,80.85,0.0
P_T,0,19,36.84,63.16,0.0,0.0
P_T,1,18,27.78,72.22,0.0,0.0
P_T,2,16,18.75,81.25,0.0,0.0
P_T,3,17,11.76,88.24,0.0,0.0
P_T,4,16,12.5,87.5,0.0,0.0
P_T,5,16,12.5,87.5,0.0,0.0
P_H,0,24,33.33,66.67,0.0,0.0
P_H,1,23,43.48,56.52,0.0,0.0
P_H,2,21,38.1,61.9,0.0,0.0
P_H,3,19,21.05,78.95,0.0,0.0
P_H,4,18,27.78,72.22,0.0,0.0
P_H,5,17,29.41,70.59,0.0,0.0
T_P,0,19,36.84,63.16,0.0,0.0
T_P,1,17,35.29,64.71,0.0,0.0
T_P,2,19,47.37,52.63,0.0,0.0
T_P,3,20,45.0,55.0,0.0,0.0
T_P,4,20,50.0,50.0,0.0,0.0
T_P,5,20,40.0,60.0,0.0,0.0
H_P,0,24,33.33,66.67,0.0,0.0
H_P,1,24,37.5,62.5,0.0,0.0
H_P,2,28,46.43,53.57,0.0,0.0
H_P,3,28,39.29,60.71,0.0,0.0
H_P,4,27,51.85,48.15,0.0,0.0
H_P,5,25,44.0,56.0,0.0,0.0
P_aero,0,20,55.0,45.0,0.0,0.0
P_aero,1,19,47.37,52.63,0.0,0.0
P_aero,2,19,52.63,47.37,0.0,0.0
P_aero,3,19,47.37,52.63,0.0,0.0
P_aero,4,18,44.44,55.56,0.0,0.0
P_aero,5,20,40.0,60.0,0.0,0.0
aero_P,4,23,30.43,69.57,0.0,0.0
aero_P,5,21,33.33,66.67,0.0,0.0
aero_P,0,20,55.0,45.0,0.0,0.0
aero_P,1,22,45.45,54.55,0.0,0.0
aero_P,2,22,50.0,50.0,0.0,0.0
aero_P,3,22,45.45,54.55,0.0,0.0
