variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,9,77.78,22.22,77.78,0.0
P_P,2,9,77.78,22.22,66.67,0.0
P_P,3,6,100.0,0.0,66.67,0.0
P_P,4,6,100.0,0.0,50.0,0.0
P_P,5,6,100.0,0.0,50.0,0.0
T_T,1,9,100.0,0.0,100.0,0.0
T_T,2,9,100.0,0.0,100.0,0.0
T_T,3,9,100.0,0.0,88.89,0.0
T_T,4,9,100.0,0.0,88.89,0.0
T_T,5,9,100.0,0.0,77.78,0.0
T_H,0,9,88.89,11.11,33.33,0.0
T_H,1,9,77.78,22.22,33.33,0.0
T_H,2,9,66.67,33.33,33.33,0.0
T_H,3,9,66.67,33.33,33.33,0.0
T_H,4,9,66.67,33.33,33.33,0.0
T_H,5,9,66.67,33.33,33.33,0.0
H_T,0,9,88.89,11.11,33.33,0.0
H_T,1,9,88.89,11.11,33.33,0.0
H_T,2,9,88.89,11.11,33.33,0.0
H_T,3,8,87.5,12.5,37.5,0.0
H_T,4,8,87.5,12.5,37.5,0.0
H_T,5,8,87.5,12.5,37.5,0.0
H_H,1,9,88.89,11.11,77.78,0.0
H_H,2,9,88.89,11.11,77.78,0.0
H_H,3,9,88.89,11.11,77.78,0.0
H_H,4,9,88.89,11.11,77.78,0.0
H_H,5,9,88.89,11.11,77.78,0.0
T_aero,0,6,100.0,0.0,16.67,0.0
T_aero,1,6,83.33,16.67,0.0,0.0
T_aero,2,6,83.33,16.67,0.0,0.0
T_aero,3,6,83.33,16.67,0.0,0.0
T_aero,4,6,83.33,16.67,0.0,0.0
T_aero,5,6,83.33,16.67,0.0,0.0
H_aero,0,8,87.5,12.5,12.5,0.0
H_aero,1,8,87.5,12.5,12.5,0.0
H_aero,2,8,87.5,12.5,12.5,0.0
H_aero,3,8,87.5,12.5,0.0,0.0
H_aero,4,7,85.71,14.29,0.0,0.0
H_aero,5,7,85.71,14.29,0.0,0.0
aero_T,0,6,100.0,0.0,16.67,0.0
aero_T,1,6,100.0,0.0,16.67,0.0
aero_T,2,6,100.0,0.0,16.67,0.0
aero_T,3,6,100.0,0.0,16.67,0.0
aero_T,4,6,100.0,0.0,16.67,0.0
aero_T,5,6,100.0,0.0,16.67,0.0
aero_H,0,8,87.5,12.5,12.5,0.0
aero_H,1,8,87.5,12.5,25.0,0.0
aero_H,2,8,87.5,12.5,25.0,0.0
aero_H,3,8,87.5,12.5,12.5,0.0
aero_H,4,8,87.5,12.5,12.5,0.0
aero_H,5,8,87.5,12.5,12.5,0.0
aero_aero,1,9,100.0,0.0,88.89,0.0
aero_aero,2,8,100.0,0.0,100.0,0.0
aero_aero,3,8,100.0,0.0,100.0,0.0
aero_aero,4,8,100.0,0.0,87.5,0.0
aero_aero,5,8,100.0,0.0,87.5,0.0
P_T,0,2,100.0,0.0,0.0,0.0
P_T,1,2,100.0,0.0,0.0,0.0
P_T,2,2,100.0,0.0,0.0,0.0
P_T,3,2,100.0,0.0,0.0,0.0
P_T,4,2,100.0,0.0,0.0,0.0
P_T,5,2,100.0,0.0,0.0,0.0
P_H,0,5,60.0,40.0,0.0,0.0
P_H,1,5,60.0,40.0,0.0,0.0
P_H,2,5,60.0,40.0,0.0,0.0
P_H,3,5,60.0,40.0,0.0,0.0
P_H,4,5,60.0,40.0,0.0,0.0
P_H,5,6,50.0,50.0,0.0,0.0
T_P,0,2,100.0,0.0,0.0,0.0
T_P,1,2,100.0,0.0,0.0,0.0
T_P,2,3,100.0,0.0,0.0,0.0
T_P,3,4,50.0,50.0,0.0,0.0
T_P,4,4,50.0,50.0,0.0,0.0
T_P,5,5,60.0,40.0,0.0,0.0
H_P,0,5,60.0,40.0,0.0,0.0
H_P,1,5,60.0,40.0,0.0,0.0
H_P,2,5,40.0,60.0,0.0,0.0
H_P,3,6,33.33,66.67,0.0,0.0
H_P,4,6,33.33,66.67,0.0,0.0
H_P,5,6,50.0,50.0,0.0,0.0
P_aero,0,4,50.0,50.0,0.0,0.0
P_aero,1,4,50.0,50.0,0.0,0.0
P_aero,2,5,60.0,40.0,0.0,0.0
P_aero,3,4,50.0,50.0,0.0,0.0
P_aero,4,4,50.0,50.0,0.0,0.0
P_aero,5,4,50.0,50.0,0.0,0.0
aero_P,0,4,50.0,50.0,0.0,0.0
aero_P,1,4,50.0,50.0,0.0,0.0
aero_P,2,4,50.0,50.0,0.0,0.0
aero_P,3,4,50.0,50.0,0.0,0.0
aero_P,4,4,50.0,50.0,0.0,0.0
aero_P,5,4,50.0,50.0,0.0,0.0
