variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,49,91.84,8.16,59.18,0.0
P_P,2,46,91.3,8.7,19.57,0.0
P_P,3,35,97.14,2.86,5.71,0.0
P_P,4,27,92.59,7.41,0.0,0.0
P_P,5,26,80.77,19.23,0.0,0.0
T_T,1,57,96.49,3.51,94.74,0.0
T_T,2,55,96.36,3.64,92.73,0.0
T_T,3,54,96.3,3.7,88.89,0.0
T_T,4,52,98.08,1.92,82.69,0.0
T_T,5,50,96.0,4.0,64.0,0.0
T_H,0,54,90.74,9.26,51.85,0.0
T_H,1,52,80.77,19.23,40.38,0.0
T_H,2,50,80.0,20.0,36.0,0.0
T_H,3,47,78.72,21.28,27.66,0.0
T_H,4,48,75.0,25.0,22.92,0.0
T_H,5,48,70.83,29.17,14.58,0.0
H_T,0,54,90.74,9.26,51.85,0.0
H_T,1,55,85.45,14.55,49.09,0.0
H_T,2,53,86.79,13.21,47.17,0.0
H_T,3,52,86.54,13.46,42.31,0.0
H_T,4,50,88.0,12.0,34.0,0.0
H_T,5,46,84.78,15.22,30.43,0.0
H_H,1,58,87.93,12.07,87.93,0.0
H_H,2,54,90.74,9.26,85.19,0.0
H_H,3,51,90.2,9.8,74.51,0.0
H_H,4,50,92.0,8.0,64.0,0.0
H_H,5,49,87.76,12.24,51.02,0.0
T_aero,0,40,55.0,45.0,2.5,0.0
T_aero,1,39,56.41,43.59,2.56,0.0
T_aero,2,41,58.54,41.46,2.44,0.0
T_aero,3,40,57.5,42.5,2.5,0.0
T_aero,4,39,61.54,38.46,2.56,0.0
T_aero,5,37,56.76,43.24,2.7,0.0
H_aero,0,39,53.85,46.15,10.26,2.56
H_aero,1,40,55.0,45.0,7.5,0.0
H_aero,2,39,56.41,43.59,7.69,0.0
H_aero,3,38,57.89,42.11,5.26,0.0
H_aero,4,38,60.53,39.47,7.89,0.0
H_aero,5,38,57.89,42.11,7.89,0.0
aero_T,0,40,55.0,45.0,2.5,0.0
aero_T,1,39,48.72,51.28,2.56,0.0
aero_T,2,41,51.22,48.78,2.44,0.0
aero_T,3,39,53.85,46.15,2.56,0.0
aero_T,4,38,63.16,36.84,2.63,0.0
aero_T,5,37,59.46,40.54,2.7,0.0
aero_H,0,39,53.85,46.15,10.26,2.56
aero_H,1,40,60.0,40.0,7.5,0.0
aero_H,2,41,58.54,41.46,9.76,0.0
aero_H,3,42,52.38,47.62,4.76,0.0
aero_H,4,40,60.0,40.0,5.0,0.0
aero_H,5,38,60.53,39.47,5.26,0.0
aero_aero,1,58,86.21,13.79,81.03,0.0
aero_aero,2,57,89.47,10.53,77.19,0.0
aero_aero,3,54,94.44,5.56,64.81,0.0
aero_aero,4,53,94.34,5.66,50.94,0.0
aero_aero,5,52,90.38,9.62,46.15,0.0
P_T,5,10,60.0,40.0,0.0,0.0
P_T,0,12,58.33,41.67,8.33,0.0
P_T,1,12,66.67,33.33,0.0,0.0
P_T,2,12,58.33,41.67,0.0,0.0
P_T,3,11,54.55,45.45,0.0,0.0
P_T,4,10,60.0,40.0,0.0,0.0
P_H,4,8,62.5,37.5,0.0,0.0
P_H,5,9,44.44,55.56,0.0,0.0
P_H,0,13,53.85,46.15,0.0,0.0
P_H,1,11,63.64,36.36,0.0,0.0
P_H,2,12,66.67,33.33,0.0,0.0
P_H,3,8,62.5,37.5,0.0,0.0
T_P,0,12,58.33,41.67,8.33,0.0
T_P,1,12,50.0,50.0,0.0,0.0
T_P,2,14,35.71,64.29,0.0,0.0
T_P,3,11,27.27,72.73,0.0,0.0
T_P,4,11,54.55,45.45,0.0,0.0
T_P,5,10,50.0,50.0,0.0,0.0
H_P,0,13,53.85,46.15,0.0,0.0
H_P,1,13,53.85,46.15,0.0,0.0
H_P,2,11,54.55,45.45,0.0,0.0
H_P,3,11,45.45,54.55,0.0,0.0
H_P,4,10,30.0,70.0,0.0,0.0
H_P,5,10,30.0,70.0,0.0,0.0
P_aero,0,11,54.55,45.45,0.0,0.0
P_aero,1,12,66.67,33.33,0.0,0.0
P_aero,2,13,53.85,46.15,0.0,0.0
P_aero,3,11,54.55,45.45,0.0,0.0
P_aero,4,11,63.64,36.36,0.0,0.0
P_aero,5,10,60.0,40.0,0.0,0.0
aero_P,0,11,54.55,45.45,0.0,0.0
aero_P,1,12,66.67,33.33,0.0,0.0
aero_P,2,13,53.85,46.15,0.0,0.0
aero_P,3,12,58.33,41.67,0.0,0.0
aero_P,4,13,61.54,38.46,0.0,0.0
aero_P,5,11,72.73,27.27,0.0,0.0
