variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,55,81.82,18.18,56.36,0.0
P_P,2,47,82.98,17.02,25.53,0.0
P_P,3,31,93.55,6.45,6.45,0.0
P_P,4,21,90.48,9.52,4.76,0.0
P_P,5,21,80.95,19.05,0.0,0.0
T_T,1,72,93.06,6.94,88.89,0.0
T_T,2,70,95.71,4.29,84.29,0.0
T_T,3,66,93.94,6.06,74.24,0.0
T_T,4,62,96.77,3.23,74.19,0.0
T_T,5,61,90.16,9.84,45.9,0.0
T_H,0,67,85.07,14.93,50.75,1.49
T_H,1,64,75.0,25.0,31.25,0.0
T_H,2,58,70.69,29.31,25.86,0.0
T_H,3,54,64.81,35.19,18.52,0.0
T_H,4,55,67.27,32.73,16.36,0.0
T_H,5,55,61.82,38.18,9.09,0.0
H_T,0,67,85.07,14.93,50.75,1.49
H_T,1,66,81.82,18.18,42.42,0.0
H_T,2,64,81.25,18.75,39.06,0.0
H_T,3,60,80.0,20.0,35.0,0.0
H_T,4,57,80.7,19.3,28.07,0.0
H_T,5,53,77.36,22.64,20.75,0.0
H_H,1,74,79.73,20.27,75.68,0.0
H_H,2,69,84.06,15.94,65.22,0.0
H_H,3,61,78.69,21.31,57.38,0.0
H_H,4,58,81.03,18.97,43.1,0.0
H_H,5,57,82.46,17.54,31.58,0.0
T_aero,0,46,58.7,41.3,2.17,2.17
T_aero,1,44,65.91,34.09,0.0,0.0
T_aero,2,45,62.22,37.78,0.0,2.22
T_aero,3,46,60.87,39.13,0.0,2.17
T_aero,4,44,65.91,34.09,0.0,2.27
T_aero,5,43,62.79,37.21,0.0,2.33
H_aero,0,44,59.09,40.91,9.09,2.27
H_aero,1,45,55.56,44.44,6.67,0.0
H_aero,2,43,51.16,48.84,6.98,0.0
H_aero,3,42,54.76,45.24,2.38,0.0
H_aero,4,41,51.22,48.78,4.88,0.0
H_aero,5,42,52.38,47.62,4.76,0.0
aero_T,0,46,58.7,41.3,2.17,2.17
aero_T,1,45,57.78,42.22,2.22,0.0
aero_T,2,47,57.45,42.55,2.13,0.0
aero_T,3,47,57.45,42.55,2.13,0.0
aero_T,4,47,72.34,27.66,2.13,0.0
aero_T,5,45,64.44,35.56,2.22,0.0
aero_H,0,44,59.09,40.91,9.09,2.27
aero_H,1,47,63.83,36.17,10.64,0.0
aero_H,2,49,59.18,40.82,10.2,0.0
aero_H,3,50,50.0,50.0,4.0,0.0
aero_H,4,47,57.45,42.55,4.26,0.0
aero_H,5,45,53.33,46.67,4.44,0.0
aero_aero,1,73,84.93,15.07,79.45,0.0
aero_aero,2,70,88.57,11.43,72.86,0.0
aero_aero,3,66,92.42,7.58,57.58,0.0
aero_aero,4,62,93.55,6.45,43.55,0.0
aero_aero,5,60,90.0,10.0,31.67,0.0
P_T,5,8,50.0,50.0,0.0,0.0
P_T,0,7,42.86,57.14,14.29,0.0
P_T,1,8,62.5,37.5,0.0,0.0
P_T,2,7,57.14,42.86,0.0,0.0
P_T,3,7,42.86,57.14,0.0,0.0
P_T,4,6,50.0,50.0,0.0,0.0
P_H,4,7,57.14,42.86,0.0,0.0
P_H,5,8,50.0,50.0,0.0,0.0
P_H,2,11,72.73,27.27,0.0,0.0
P_H,0,9,55.56,44.44,0.0,0.0
P_H,1,8,75.0,25.0,0.0,0.0
P_H,3,6,33.33,66.67,0.0,0.0
T_P,3,10,60.0,40.0,10.0,0.0
T_P,4,11,72.73,27.27,9.09,0.0
T_P,5,11,63.64,36.36,0.0,0.0
T_P,0,7,42.86,57.14,14.29,0.0
T_P,1,7,57.14,42.86,0.0,0.0
T_P,2,12,58.33,41.67,8.33,0.0
H_P,0,9,55.56,44.44,0.0,0.0
H_P,1,10,40.0,60.0,0.0,0.0
H_P,3,14,35.71,64.29,0.0,0.0
H_P,4,11,45.45,54.55,0.0,0.0
H_P,5,11,54.55,45.45,0.0,0.0
H_P,2,12,41.67,58.33,0.0,0.0
P_aero,4,11,63.64,36.36,0.0,0.0
P_aero,5,10,50.0,50.0,0.0,0.0
P_aero,2,14,64.29,35.71,0.0,0.0
P_aero,0,11,63.64,36.36,0.0,0.0
P_aero,1,11,72.73,27.27,0.0,0.0
P_aero,3,10,60.0,40.0,0.0,0.0
aero_P,1,14,57.14,42.86,0.0,0.0
aero_P,2,15,60.0,40.0,0.0,0.0
aero_P,3,14,64.29,35.71,0.0,0.0
aero_P,4,14,64.29,35.71,0.0,0.0
aero_P,5,13,76.92,23.08,0.0,0.0
aero_P,0,11,63.64,36.36,0.0,0.0
