variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,88,90.91,9.09,69.32,0.0
P_P,2,80,92.5,7.5,43.75,0.0
P_P,3,68,97.06,2.94,22.06,0.0
P_P,4,58,94.83,5.17,15.52,0.0
P_P,5,58,89.66,10.34,12.07,0.0
T_T,1,106,96.23,3.77,93.4,0.0
T_T,2,104,97.12,2.88,89.42,0.0
T_T,3,100,97.0,3.0,85.0,0.0
T_T,4,96,97.92,2.08,84.38,0.0
T_T,5,95,94.74,5.26,68.42,0.0
T_H,0,100,91.0,9.0,55.0,1.0
T_H,1,98,84.69,15.31,42.86,0.0
T_H,2,92,83.7,16.3,41.3,0.0
T_H,3,89,80.9,19.1,37.08,0.0
T_H,4,90,82.22,17.78,33.33,0.0
T_H,5,89,78.65,21.35,28.09,0.0
H_T,0,100,91.0,9.0,55.0,1.0
H_T,1,101,89.11,10.89,49.5,0.0
H_T,2,99,88.89,11.11,48.48,0.0
H_T,3,96,88.54,11.46,45.83,0.0
H_T,4,94,89.36,10.64,40.43,0.0
H_T,5,90,87.78,12.22,35.56,0.0
H_H,1,108,87.04,12.96,85.19,0.0
H_H,2,103,90.29,9.71,79.61,0.0
H_H,3,97,87.63,12.37,75.26,0.0
H_H,4,94,89.36,10.64,69.15,0.0
H_H,5,93,90.32,9.68,62.37,0.0
T_aero,0,76,56.58,43.42,2.63,1.32
T_aero,1,74,60.81,39.19,2.7,0.0
T_aero,2,74,58.11,41.89,2.7,1.35
T_aero,3,75,56.0,44.0,2.67,1.33
T_aero,4,73,58.9,41.1,2.74,1.37
T_aero,5,71,57.75,42.25,2.82,1.41
H_aero,0,75,56.0,44.0,6.67,1.33
H_aero,1,74,54.05,45.95,6.76,0.0
H_aero,2,73,53.42,46.58,6.85,0.0
H_aero,3,72,55.56,44.44,5.56,0.0
H_aero,4,72,54.17,45.83,6.94,0.0
H_aero,5,72,55.56,44.44,6.94,0.0
aero_T,0,76,56.58,43.42,2.63,1.32
aero_T,1,75,56.0,44.0,2.67,1.33
aero_T,2,77,55.84,44.16,2.6,1.3
aero_T,3,75,58.67,41.33,2.67,1.33
aero_T,4,75,66.67,33.33,2.67,1.33
aero_T,5,73,61.64,38.36,2.74,1.37
aero_H,0,75,56.0,44.0,6.67,1.33
aero_H,1,77,62.34,37.66,6.49,0.0
aero_H,2,79,59.49,40.51,6.33,0.0
aero_H,3,79,55.7,44.3,3.8,0.0
aero_H,4,77,61.04,38.96,3.9,0.0
aero_H,5,76,60.53,39.47,3.95,0.0
aero_aero,1,107,88.79,11.21,85.98,0.0
aero_aero,2,105,91.43,8.57,80.95,0.0
aero_aero,3,102,95.1,4.9,72.55,0.0
aero_aero,4,99,94.95,5.05,62.63,0.0
aero_aero,5,97,92.78,7.22,56.7,0.0
P_T,5,23,43.48,56.52,0.0,0.0
P_T,0,28,50.0,50.0,3.57,0.0
P_T,1,26,50.0,50.0,0.0,0.0
P_T,2,25,44.0,56.0,0.0,0.0
P_T,3,24,37.5,62.5,0.0,0.0
P_T,4,22,40.91,59.09,0.0,0.0
P_H,4,24,45.83,54.17,0.0,0.0
P_H,5,25,36.0,64.0,0.0,0.0
P_H,0,34,38.24,61.76,0.0,0.0
P_H,1,31,48.39,51.61,0.0,0.0
P_H,2,32,46.88,53.12,0.0,0.0
P_H,3,25,36.0,64.0,0.0,0.0
T_P,0,28,50.0,50.0,3.57,0.0
T_P,1,27,44.44,55.56,0.0,0.0
T_P,2,32,46.88,53.12,3.12,0.0
T_P,3,30,43.33,56.67,3.33,0.0
T_P,4,30,56.67,43.33,3.33,0.0
T_P,5,29,48.28,51.72,0.0,0.0
H_P,0,34,38.24,61.76,0.0,0.0
H_P,1,35,40.0,60.0,0.0,0.0
H_P,2,34,47.06,52.94,0.0,0.0
H_P,3,34,38.24,61.76,0.0,0.0
H_P,4,33,42.42,57.58,0.0,0.0
H_P,5,32,40.62,59.38,0.0,0.0
P_aero,0,27,55.56,44.44,0.0,0.0
P_aero,1,27,55.56,44.44,0.0,0.0
P_aero,2,28,53.57,46.43,0.0,0.0
P_aero,3,26,50.0,50.0,0.0,0.0
P_aero,4,26,50.0,50.0,0.0,0.0
P_aero,5,27,44.44,55.56,0.0,0.0
aero_P,0,27,55.56,44.44,0.0,0.0
aero_P,1,31,51.61,48.39,0.0,0.0
aero_P,2,32,50.0,50.0,0.0,0.0
aero_P,3,31,51.61,48.39,0.0,0.0
aero_P,4,32,43.75,56.25,0.0,0.0
aero_P,5,29,55.17,44.83,0.0,0.0
