Precipitation on Aerosols,Precipitation on Temperature,Specific Humidity on Temperature,Specific Humidity on Aerosols,Specific Humidity on Precipitation,Aerosols on Temperature,Precipitation on Aerosols interval 1,Precipitation on Temperature interval 1,Specific Humidity on Temperature interval 1,Specific Humidity on Aerosols interval 1,Specific Humidity on Precipitation interval 1,Aerosols on Temperature interval 1,Precipitation on Aerosols interval 2,Precipitation on Temperature interval 2,Specific Humidity on Temperature interval 2,Specific Humidity on Aerosols interval 2,Specific Humidity on Precipitation interval 2,Aerosols on Temperature interval 2
[0.01204985],[-0.19903618],[0.2883026],[1.04232164],[0.03838229],[-0.83559782],[-0.05980559],[-0.27119199],[0.13431276],[0.9552803],[-0.07436232],[-0.93885881],[0.08306579],[-0.14492578],[0.41952731],[1.16158481],[0.21057846],[-0.72494254]
[0.13212676],[0.10135915],[0.64270587],[-0.61479331],[0.17919239],[0.02043955],[0.05376216],[0.03817963],[0.55202287],[-0.70326668],[0.05655385],[-0.05663988],[0.24255934],[0.17564762],[0.72694773],[-0.50033063],[0.30511324],[0.09798247]
[-0.47189134],[-0.01396869],[0.89046628],[0.35063762],[0.4712654],[0.16483038],[-0.59964727],[-0.09397736],[0.82248117],[0.25815362],[0.38776054],[0.09048448],[-0.35075732],[0.05159691],[0.95485747],[0.48007057],[0.61391602],[0.22537042]
[0.16861528],[-0.065048],[0.55882334],[-0.67515405],[0.17905957],[-0.40919663],[0.02831719],[-0.12806198],[0.42416465],[-0.77961581],[0.11000535],[-0.50334956],[0.28681792],[-0.01920076],[0.68917136],[-0.52661675],[0.33213017],[-0.28484074]
[0.04392115],[0.1541142],[0.64588328],[-0.82061467],[-0.13749288],[-0.23479769],[-0.03031457],[0.1167164],[0.54447586],[-0.89350146],[-0.25919842],[-0.34500203],[0.13301652],[0.22636813],[0.73340715],[-0.7596064],[-0.04959517],[-0.13238351]
[0.05591732],[-0.04429671],[0.13093824],[-0.25534083],[-0.38969881],[-0.88627308],[-0.08416423],[-0.11633722],[0.06787324],[-0.42690787],[-0.56113767],[-0.92922668],[0.2013454],[-0.00387261],[0.20303235],[-0.14780227],[-0.23415706],[-0.78868968]
[-0.32325906],[-0.14161675],[0.98350461],[0.52350297],[0.16377348],[-0.43543716],[-0.45436252],[-0.4080852],[0.34218414],[0.25712371],[-0.103696],[-0.78562893],[0.09425869],[0.04765066],[1.18888734],[0.88318152],[0.44934859],[0.05968559]
[-0.27408622],[-0.02627901],[0.99455811],[0.04840139],[0.15486997],[-0.07491641],[-0.68784973],[-0.06472634],[0.98842611],[-0.04006789],[0.06519196],[-0.08267835],[-0.18745699],[-0.01377555],[1.00072008],[0.12295138],[0.25857326],[-0.06881996]
[0.13226255],[-0.03526077],[-0.97463424],[-0.07776697],[-0.54588333],[0.01025034],[-0.02486452],[-0.06496685],[-1.01480845],[-0.3103121],[-0.87345369],[-0.03436859],[0.26338931],[-0.00452118],[-0.93138593],[0.19628476],[-0.34388525],[0.05115775]
