Relation,Lag,Percentage,Count,Total Samples
P → P,1,1.7,3,176
P → T,0,2.84,5,176
P → T,1,1.7,3,176
P → H,1,3.98,7,176
P → H,0,3.98,7,176
P → CO2,1,5.11,9,176
P → CO2,0,2.27,4,176
P → aero,0,1.7,3,176
P → aero,1,2.27,4,176
T → P,0,2.84,5,176
T → P,1,4.55,8,176
T → T,1,92.61,163,176
T → H,0,33.52,59,176
T → H,1,30.11,53,176
T → CO2,0,18.75,33,176
T → CO2,1,30.68,54,176
T → aero,0,26.7,47,176
T → aero,1,23.3,41,176
H → P,0,3.98,7,176
H → P,1,2.27,4,176
H → T,0,33.52,59,176
H → T,1,28.98,51,176
H → H,1,72.16,127,176
H → CO2,0,29.55,52,176
H → CO2,1,19.32,34,176
H → aero,0,24.43,43,176
H → aero,1,21.02,37,176
CO2 → P,1,3.98,7,176
CO2 → P,0,2.27,4,176
CO2 → T,0,18.75,33,176
CO2 → T,1,12.5,22,176
CO2 → H,0,29.55,52,176
CO2 → H,1,21.02,37,176
CO2 → CO2,1,60.23,106,176
CO2 → aero,0,25.0,44,176
CO2 → aero,1,23.3,41,176
aero → P,0,1.7,3,176
aero → P,1,3.41,6,176
aero → T,1,22.16,39,176
aero → T,0,26.7,47,176
aero → H,0,24.43,43,176
aero → H,1,23.86,42,176
aero → CO2,0,25.0,44,176
aero → CO2,1,21.02,37,176
aero → aero,1,71.59,126,176
