period,start_time,end_time,duration_hours,avg_precip,P_P_coef,P_T_coef,P_H_coef,P_CO2_coef,P_aero_coef,T_P_coef,T_T_coef,T_H_coef,T_CO2_coef,T_aero_coef,H_P_coef,H_T_coef,H_H_coef,H_CO2_coef,H_aero_coef,CO2_P_coef,CO2_T_coef,CO2_H_coef,CO2_CO2_coef,CO2_aero_coef,aero_P_coef,aero_T_coef,aero_H_coef,aero_CO2_coef,aero_aero_coef,P_P_elem,P_T_elem,P_H_elem,P_CO2_elem,P_aero_elem,T_P_elem,T_T_elem,T_H_elem,T_CO2_elem,T_aero_elem,H_P_elem,H_T_elem,H_H_elem,H_CO2_elem,H_aero_elem,CO2_P_elem,CO2_T_elem,CO2_H_elem,CO2_CO2_elem,CO2_aero_elem,aero_P_elem,aero_T_elem,aero_H_elem,aero_CO2_elem,aero_aero_elem
morning,2024-12-03 04:00:00,2024-12-03 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.7901664684698184]","[0.008540082395188138, 0.014715457123899944]","[0.5347285097725757, 0.6362505897488114]","[0.4049140254244309, 0.5818794247994509]","[0.0, 0.0]","[0.008540082395188138, 0.009310063977748272]","[0.0, 0.4946294669061816]","[0.10812669624215886, -0.11561955186938434]","[0.04426064040390895, -0.09062155594255876]","[0.0, 0.0]","[0.5347285097725757, 0.5329280662016863]","[0.10812669624215886, -0.020128781053525557]","[0.0, 0.37733342596498193]","[0.7820482298255474, 0.37904124644210324]","[0.0, 0.0]","[0.4049140254244309, 0.42249630492626256]","[0.04426064040390895, -0.029811276151250638]","[0.7820482298255474, 0.34435562078873294]","[0.0, 0.33390374418616714]",[],[],[],[],[],[],[1],[],[],[],[],[],[1],"[0, 1]","[0, 1]",[],[],[0],[],[0],[],[],"[0, 1]",[0],[1]
morning,2024-12-04 04:00:00,2024-12-04 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.07206433252030336]","[-0.17882649102308876, 0.022366538967815687]","[0.028644405450294837, -0.019703104290139484]","[0.10929588462903682, -0.022967706759360697]","[0.0, 0.0]","[-0.17882649102308876, 0.01876573161890861]","[0.0, -0.015519268225314164]","[0.8370704963416981, -0.0002963933189224545]","[0.7648016848643454, 0.0012824876950937466]","[0.0, 0.0]","[0.028644405450294837, 0.000515467777086411]","[0.8370704963416981, -0.02027545923912892]","[0.0, -0.02356354998323262]","[0.7281631087706957, 0.006678106506065891]","[0.0, 0.0]","[0.10929588462903682, -0.02016034417040592]","[0.7648016848643454, 0.0023878828687833448]","[0.7281631087706957, -0.029662623699586377]","[0.0, -0.043866441956225403]",[],[],[],[],[],[],[1],[],[],[],[],[],[1],"[0, 1]","[0, 1]",[],[],"[0, 1]",[1],"[0, 1]",[],[],"[0, 1]","[0, 1]",[1]
morning,2024-12-05 04:00:00,2024-12-05 14:00:00,10,0.002,"[0.0, 0.02843708134171891]","[-0.09990360252479295, -0.038279035017003665]","[0.030804001960797148, 0.4379363434996305]","[0.10782299606586536, 0.0240649263268363]","[0.03612907527864267, 0.03308196254109544]","[-0.09990360252479295, 0.014386035902321138]","[0.0, -0.028090353426368057]","[-0.4809922784634015, 0.007188118308637174]","[-0.05432154790834821, 0.011274626867446964]","[-0.03520551544133923, -0.023340886513390904]","[0.030804001960797148, -0.007147228372037134]","[-0.4809922784634015, 0.06687142216414405]","[0.0, -0.061882381601773194]","[0.1616245632111984, 0.06122271972455338]","[0.014442902868457208, 0.005110032758450476]","[0.10782299606586536, 0.24660202503202833]","[-0.05432154790834821, -0.03155208752158976]","[0.1616245632111984, -0.07841624503017607]","[0.0, 0.3865531157059893]","[-0.04866146204853495, -0.07385606284825753]","[0.03612907527864267, 0.04006998968625109]","[-0.03520551544133923, -0.015534159410943752]","[0.014442902868457208, 0.00016787360895294997]","[-0.04866146204853495, -0.07611709620910885]","[0.0, 0.7934715069642093]",[],[],[1],[],[],[],[1],[0],[],[],[],[0],[],[],[],[1],[],[],[1],[],[],[1],[],[],[1]
morning,2024-12-06 04:00:00,2024-12-06 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.0128597981356764]","[-0.009397066101639671, -0.06294648598533782]","[0.7006060276904512, -0.02538770764273556]","[0.8795450787633875, -0.027423842801522068]","[0.0, 0.0]","[-0.009397066101639671, -0.012796344682700344]","[0.0, 0.5250854811106778]","[0.14825427659110618, -0.12051199812001605]","[-0.06880471208998135, -0.043520736527308]","[0.0, 0.0]","[0.7006060276904512, 0.017548637880880603]","[0.14825427659110618, 0.08467361601711305]","[0.0, -0.0460310098631166]","[0.5618560278965875, -0.004646478875737004]","[0.0, 0.0]","[0.8795450787633875, -0.0005307766471831986]","[-0.06880471208998135, -0.09928195918771121]","[0.5618560278965875, 0.001500026437090283]","[0.0, -0.043866441956225403]",[],[],[],[],[],[],[1],"[0, 1]","[0, 1]","[0, 1]",[],"[0, 1]",[1],"[0, 1]","[0, 1]",[],"[0, 1]","[0, 1]",[1],"[0, 1]",[],"[0, 1]","[0, 1]","[0, 1]",[1]
morning,2024-12-07 04:00:00,2024-12-07 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.8884513346770009]","[0.1304531746884653, 0.13346204867001493]","[-0.023319740523540168, -0.06531937968416732]","[0.19812163930317434, 0.25722930100935676]","[0.0, 0.0]","[0.1304531746884653, 0.061665613793251355]","[0.0, 0.5323598476045192]","[-0.06138182950522776, -0.06847498821545098]","[0.1778174085252379, 0.13606189419001957]","[0.0, 0.0]","[-0.023319740523540168, 0.05400752066150798]","[-0.06138182950522776, -0.007921408902600574]","[0.0, -0.09738225957471432]","[-0.02485954465128725, -0.04207790798813028]","[0.0, 0.0]","[0.19812163930317434, 0.16793039620347144]","[0.1778174085252379, 0.1858820983295271]","[-0.02485954465128725, 0.08214353241751526]","[0.0, 0.49381762589668343]",[],[],[],[],[],[],[1],[],[1],[],[],[1],[1],[],[],[],[1],[],[],[],[],[],[],[1],[1]
morning,2024-12-08 04:00:00,2024-12-08 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.569041089402814]","[-0.12431722489626776, -0.1475535200492219]","[-0.050707023397042576, -0.017936090649676568]","[-0.005928896955338581, -0.05459033959783395]","[0.0, 0.0]","[-0.12431722489626776, -0.13126166807722203]","[0.0, 0.8280364934940162]","[0.11236429306247425, 0.03833600447455489]","[0.12007254203674629, 0.12381973687011254]","[0.0, 0.0]","[-0.050707023397042576, -0.090471090731893]","[0.11236429306247425, 0.013135759409861105]","[0.0, -0.07285733169852275]","[-0.0602774906033958, 0.017332769742565035]","[0.0, 0.0]","[-0.005928896955338581, -0.002736709509718889]","[0.12007254203674629, 0.1680570357438839]","[-0.0602774906033958, 0.45295014069001316]","[0.0, -0.04582937827939921]",[],[],[],[],[],[],[1],"[0, 1]",[],[],[],"[0, 1]",[1],[],[],[],[1],[1],[1],[],[],[],[],[1],[]
morning,2024-12-09 04:00:00,2024-12-09 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.5136424240096057]","[0.423755128819366, 0.10013662156118261]","[-0.005345042120742752, -0.08200527607471547]","[-0.15264814509085897, 0.17959513369382543]","[0.0, 0.0]","[0.423755128819366, 0.3220338561457857]","[0.0, 0.08506416660708824]","[-0.029128581991915554, -0.19071545204916932]","[-0.25271081612678714, -0.0011793653133446624]","[0.0, 0.0]","[-0.005345042120742752, -0.03873872845282362]","[-0.029128581991915554, -0.06663547134617921]","[0.0, 0.3774483237180582]","[-0.01419913346761406, -0.0440835308844956]","[0.0, 0.0]","[-0.15264814509085897, -0.12252787137839882]","[-0.25271081612678714, -0.050219444235892606]","[-0.01419913346761406, 0.42729240608790525]","[0.0, -0.04582937827939921]",[],[],[],[],[],[],[1],"[0, 1]",[],[],[],[0],[],[],[],[],[],[],[1],[],[],[],[],[1],[]
morning,2024-12-10 04:00:00,2024-12-10 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.12300716860469763]","[0.7860722559915806, -0.1044778669874072]","[-0.49860760698639967, 0.08467886237666072]","[0.09867311500190276, 0.10842685223816814]","[0.0, 0.0]","[0.7860722559915806, -0.08051892810903803]","[0.0, -0.059967737968511556]","[-0.5529551504000857, 0.07497906390010844]","[0.10869654385655911, 0.1258213258339137]","[0.0, 0.0]","[-0.49860760698639967, -0.027639154033739722]","[-0.5529551504000857, -0.029959254101648822]","[0.0, 0.02036989275243693]","[0.17590612908602207, 0.1410114431083669]","[0.0, 0.0]","[0.09867311500190276, -0.1472013840344111]","[0.10869654385655911, -0.1572035585910089]","[0.17590612908602207, 0.32693683930653916]","[0.0, 0.5267382927755537]",[],[],[],[],[],[],[],[0],[],[],[],[0],[1],[],[],[],[],[],[],[],[],[],[],[1],[1]
morning,2024-12-12 04:00:00,2024-12-12 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.43997112075799244]","[0.26502691182592264, -0.10417927799657666]","[0.40683727913059614, -0.11923434910786787]","[0.4320959028590876, -0.13903038996801845]","[0.0, 0.0]","[0.26502691182592264, 0.1424735361992344]","[0.0, -0.06056706569226806]","[0.40630609993715, -0.0058636458308018525]","[0.44790751095256925, -0.06349697006449123]","[0.0, 0.0]","[0.40683727913059614, 0.24761797100094546]","[0.40630609993715, -0.02056820252837286]","[0.0, -0.03937620587259036]","[0.6842372126198938, -0.004382605430818489]","[0.0, 0.0]","[0.4320959028590876, 0.29620941140308055]","[0.44790751095256925, 0.009826319699054425]","[0.6842372126198938, -0.01963972013272331]","[0.0, -0.006369060267546519]",[],[],[],[],[],[],[1],[],[],[],[],[],[],[],[0],[],[],[],[1],[1],[],[],[0],[],[]
morning,2024-12-13 04:00:00,2024-12-13 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.47352372395998]","[0.1719220158503422, 0.1800853764195718]","[0.16111066875752744, 0.21860555397929662]","[0.25092364888075264, -0.07394229582521966]","[0.0, 0.0]","[0.1719220158503422, 0.11990341557546451]","[0.0, 0.06697361900626123]","[0.9315764257481349, 0.06955516914792481]","[0.05815608427626046, 0.0564899706032836]","[0.0, 0.0]","[0.16111066875752744, 0.12843949430046753]","[0.9315764257481349, -0.0012735497283499996]","[0.0, -0.023573494728300726]","[-0.02208259251459199, 0.011362883850187255]","[0.0, 0.0]","[0.25092364888075264, 0.09974637707478301]","[0.05815608427626046, 0.7534642049678191]","[-0.02208259251459199, 0.825363284920471]","[0.0, -0.043866441956225403]",[],[],[],[],[],[],[1],[],[],[],[],[],[],[0],[0],[],[],[0],[],[],[],[],[0],[1],[1]
