Relation,Lag,Percentage,Count,Total Samples
P → T,0,1.83,3,164
P → T,1,1.83,3,164
P → H,0,2.44,4,164
P → H,1,1.83,3,164
P → CO2,1,1.83,3,164
P → aero,1,1.83,3,164
T → P,1,3.05,5,164
T → P,0,1.83,3,164
T → T,1,86.59,142,164
T → H,0,26.22,43,164
T → H,1,23.78,39,164
T → CO2,0,55.49,91,164
T → CO2,1,48.78,80,164
T → aero,0,29.88,49,164
T → aero,1,24.39,40,164
H → P,0,2.44,4,164
H → P,1,1.22,2,164
H → T,0,26.22,43,164
H → T,1,23.17,38,164
H → H,1,73.78,121,164
H → CO2,0,37.8,62,164
H → CO2,1,31.71,52,164
H → aero,0,28.05,46,164
H → aero,1,26.83,44,164
CO2 → T,0,55.49,91,164
CO2 → T,1,50.0,82,164
CO2 → H,0,37.8,62,164
CO2 → H,1,28.66,47,164
CO2 → CO2,1,75.0,123,164
CO2 → aero,0,34.76,57,164
CO2 → aero,1,29.88,49,164
aero → P,1,1.22,2,164
aero → T,1,30.49,50,164
aero → T,0,29.88,49,164
aero → H,0,28.05,46,164
aero → H,1,28.66,47,164
aero → CO2,0,34.76,57,164
aero → CO2,1,37.2,61,164
aero → aero,1,74.39,122,164
