period,start_time,end_time,duration_hours,avg_precip,P_P_coef,P_T_coef,P_H_coef,P_CO2_coef,P_aero_coef,T_P_coef,T_T_coef,T_H_coef,T_CO2_coef,T_aero_coef,H_P_coef,H_T_coef,H_H_coef,H_CO2_coef,H_aero_coef,CO2_P_coef,CO2_T_coef,CO2_H_coef,CO2_CO2_coef,CO2_aero_coef,aero_P_coef,aero_T_coef,aero_H_coef,aero_CO2_coef,aero_aero_coef,P_P_elem,P_T_elem,P_H_elem,P_CO2_elem,P_aero_elem,T_P_elem,T_T_elem,T_H_elem,T_CO2_elem,T_aero_elem,H_P_elem,H_T_elem,H_H_elem,H_CO2_elem,H_aero_elem,CO2_P_elem,CO2_T_elem,CO2_H_elem,CO2_CO2_elem,CO2_aero_elem,aero_P_elem,aero_T_elem,aero_H_elem,aero_CO2_elem,aero_aero_elem
evening,2024-12-03 16:00:00,2024-12-04 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.7159472778443572]","[0.009164720708507644, -0.01706045204860496]","[0.015213079993468345, 0.17760414350873388]","[-0.023428062107388212, 0.26462634516106154]","[0.0, 0.0]","[0.009164720708507644, -0.0024609162749487387]","[0.0, 0.4159296601717268]","[0.13891813514172388, -0.08824578829304858]","[0.15914467349336853, -0.054649392915222576]","[0.0, 0.0]","[0.015213079993468345, 0.08171419339798618]","[0.13891813514172388, 0.0014327059855502912]","[0.0, -0.036041649633829546]","[0.6243737693665133, -0.04971217969936787]","[0.0, 0.0]","[-0.023428062107388212, 0.04513196657842331]","[0.15914467349336853, 0.031518933146136865]","[0.6243737693665133, -0.018789354466450185]","[0.0, -0.04582937827939921]",[],[],[],[],[],[],[1],[],"[0, 1]",[],[],[],[1],[],[],[],"[0, 1]",[],[1],[0],[],[1],[],[0],[1]
evening,2024-12-04 16:00:00,2024-12-05 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.9306873157496299]","[0.8924001331941913, 0.8613244401138334]","[0.04356477676767222, 0.038119528185526]","[0.8744449608237289, 0.8910726774861264]","[0.0, 0.0]","[0.8924001331941913, 0.8937515545508206]","[0.0, 0.8804978939580136]","[0.03736221660419026, 0.06461757300323609]","[0.9207308682764641, 0.8940141526710434]","[0.0, 0.0]","[0.04356477676767222, 0.011677518682855655]","[0.03736221660419026, -0.003349867521898365]","[0.0, -0.09447011975304768]","[0.025612568018381802, 0.013339177292237967]","[0.0, 0.0]","[0.8744449608237289, 0.8846534428200002]","[0.9207308682764641, 0.8691812443448966]","[0.025612568018381802, 0.08673593293804517]","[0.0, 0.885751334337611]",[],[],[],[],[],[],[1],"[0, 1]",[],"[0, 1]",[],"[0, 1]",[1],[],"[0, 1]",[],[],[],[],[],[],"[0, 1]","[0, 1]",[],[1]
evening,2024-12-05 16:00:00,2024-12-06 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.032774576870056464]","[0.0106378807050222, -0.027305153601127282]","[0.018897383798906632, -0.01856237104995756]","[0.02978268569453209, -0.03536499087833424]","[0.0, 0.0]","[0.0106378807050222, 0.4837346276034064]","[0.0, -0.04502624722537917]","[-0.4750362512046514, 0.015392402419978206]","[-0.2826368495137422, -0.00913476885276757]","[0.0, 0.0]","[0.018897383798906632, -0.8032117418467627]","[-0.4750362512046514, -0.01019859887958705]","[0.0, -0.03638693104026411]","[0.8517175701046792, -0.04278430951340416]","[0.0, 0.0]","[0.02978268569453209, -0.7460058801980778]","[-0.2826368495137422, -0.01747935415934051]","[0.8517175701046792, -0.03073270318102128]","[0.0, -0.04582937827939921]",[],[],[],[],[],[],[1],[],"[0, 1]","[0, 1]",[],[],[1],[],[],[],"[0, 1]",[],[1],"[0, 1]",[],"[0, 1]",[],"[0, 1]",[1]
evening,2024-12-06 16:00:00,2024-12-07 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.5113027054897487]","[-0.20341291879155304, -0.09943366944680149]","[0.18024887769160047, 0.1319402040286817]","[0.06702435724570352, 0.10110934730323887]","[0.0, 0.0]","[-0.20341291879155304, 0.06151420371896712]","[0.0, -0.041807729020911163]","[-0.6026255125012188, 0.024745443958142987]","[-0.48158405314381353, 0.17581838341265824]","[0.0, 0.0]","[0.18024887769160047, -0.013301849283047788]","[-0.6026255125012188, 0.001029393951302297]","[0.0, -0.030344714226049323]","[0.7595102819721485, -0.14090694126285946]","[0.0, 0.0]","[0.06702435724570352, -0.042248654810569296]","[-0.48158405314381353, -0.015939872834286682]","[0.7595102819721485, -0.021285435791591718]","[0.0, -0.12470242672860368]",[],[],[],[],[],[],[1],[],"[0, 1]","[0, 1]",[],[1],[],[],[1],[],"[0, 1]",[],[1],"[0, 1]",[],"[0, 1]",[],"[0, 1]",[1]
evening,2024-12-07 16:00:00,2024-12-08 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.11744702984397054]","[0.27938370892291964, -0.3064626482151137]","[-0.6943850078757668, 0.07235233589036413]","[-0.43906077128693666, -0.20031073670684021]","[0.0, 0.0]","[0.27938370892291964, -0.015324466725666194]","[0.0, 0.07051067634194869]","[-0.35276627510879616, -0.012693560776173613]","[0.14225680259030676, 0.0702533346324085]","[0.0, 0.0]","[-0.6943850078757668, 0.0542908567413397]","[-0.35276627510879616, 0.38197698193575097]","[0.0, -0.03583588683120915]","[0.5933366914611952, 0.28460746614036864]","[0.0, 0.0]","[-0.43906077128693666, 0.06536782519092046]","[0.14225680259030676, 0.5391813668400742]","[0.5933366914611952, -0.09729334059598051]","[0.0, 0.3563649152103391]",[],[],[],[],[],[],[1],[],"[0, 1]",[1],[],[],[],[0],[0],[],"[0, 1]","[0, 1]",[1],"[0, 1]",[],[],"[0, 1]","[0, 1]",[1]
evening,2024-12-08 16:00:00,2024-12-09 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.3410432549914367]","[0.2371448350578172, -0.06988960753224384]","[-0.6186576601889905, -0.39820772219901246]","[-0.45349889959034545, -0.2940716466279448]","[0.0, 0.0]","[0.2371448350578172, -0.33173572997166795]","[0.0, 0.028955215538109168]","[-0.14065639506198038, 0.4106021235979772]","[0.4116421022197844, 0.31603713658082516]","[0.0, 0.0]","[-0.6186576601889905, -0.3396889363546244]","[-0.14065639506198038, 0.0432324874232334]","[0.0, 0.3368392346868905]","[0.4202022730269113, 0.2751476213989314]","[0.0, 0.0]","[-0.45349889959034545, -0.6032713047918387]","[0.4116421022197844, 0.026875667535861326]","[0.4202022730269113, 0.7693410478715577]","[0.0, 0.49603266139249]",[],[],[],[],[],[],[1],[],"[0, 1]","[0, 1]",[],[],[1],"[0, 1]","[0, 1]",[],"[0, 1]","[0, 1]",[1],"[0, 1]",[],"[0, 1]","[0, 1]","[0, 1]",[1]
evening,2024-12-09 16:00:00,2024-12-10 02:00:00,10,0.019,"[0.0, -0.12199769922011647]","[-0.10589290312211391, -0.031039462183734837]","[0.17397067937477265, 0.024476865830211757]","[0.18016876472340104, -0.06162299837633135]","[0.028777087949753383, 0.026511522545755093]","[-0.10589290312211391, 0.4100287351269388]","[0.0, -0.052504975800334315]","[-0.14133506672853463, 0.39724257538954816]","[-0.6044947332529079, 0.057942786492079505]","[-0.4575247946794206, -0.018621390563070793]","[0.17397067937477265, -0.03432192465437567]","[-0.14133506672853463, -0.03295685522791675]","[0.0, 0.3678637288737581]","[0.06515052410100063, 0.0015541260864874765]","[-0.06097319839996811, 0.07789214269405423]","[0.18016876472340104, -0.3051921142517387]","[-0.6044947332529079, 0.031538373185332993]","[0.06515052410100063, -0.2977599938270484]","[0.0, -0.06089674910713277]","[0.41684268209373854, -0.0044719011844339945]","[0.028777087949753383, -0.21731315471598805]","[-0.4575247946794206, -0.03678865853089297]","[-0.06097319839996811, -0.29833724785537385]","[0.41684268209373854, -0.04438970965711729]","[0.0, -0.04582937827939921]",[],[],[0],[],[],[1],[1],[1],"[0, 1]",[],[0],[],[1],[],[],[],[0],[],[],[],[],[],[],[],[]
evening,2024-12-12 16:00:00,2024-12-13 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.05043775073048618]","[-0.2280123062591084, -0.12388770172675871]","[0.008897585576942186, -0.7619061770966059]","[-0.47578062371180657, 0.03426677811352199]","[0.0, 0.0]","[-0.2280123062591084, 0.010432689525882737]","[0.0, 0.4786511960153376]","[0.16699526704953419, 0.2601004941787745]","[0.3332569425737845, -0.06928247454288682]","[0.0, 0.0]","[0.008897585576942186, 0.026809501443888932]","[0.16699526704953419, 0.17188944210646126]","[0.0, -0.08837766796318772]","[-0.015141882729753442, 0.026515460525162772]","[0.0, 0.0]","[-0.47578062371180657, -0.0013468530230190308]","[0.3332569425737845, 0.18839591383055873]","[-0.015141882729753442, 0.5198887372287555]","[0.0, -0.04596803662864672]",[],[],[],[],[],[],[1],[],"[0, 1]",[1],[],[],[1],[],[],[],"[0, 1]",[],[1],"[0, 1]",[],[],[],[0],[1]
evening,2024-12-13 16:00:00,2024-12-14 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.049552225471861035]","[-0.5682012538690878, 0.027465065747219096]","[-0.24087446907324378, -0.07680047880802016]","[-0.4142076973018888, 0.02830894695635373]","[0.0, 0.0]","[-0.5682012538690878, 0.004018492655684588]","[0.0, -0.042377754595816275]","[0.5651739336729553, 0.04553867518073384]","[0.8515654525172373, -0.038008499010831365]","[0.0, 0.0]","[-0.24087446907324378, -0.006922176855344857]","[0.5651739336729553, -0.01334738947298932]","[0.0, -0.0463379310757331]","[0.6257255597492333, -0.0028527068359747564]","[0.0, 0.0]","[-0.4142076973018888, -0.002067850202779688]","[0.8515654525172373, -0.04380302112704623]","[0.6257255597492333, -0.013031170868855248]","[0.0, -0.04582937827939921]",[],[],[],[],[],[],[1],[],[],[],[],[1],[1],[],[],[],[],[],[],[],[],[],[],[],[1]
evening,2024-12-14 16:00:00,2024-12-15 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.09395714999683626]","[0.235190019977941, 0.13433649480928098]","[-0.7878792816872086, 0.06484785406681798]","[0.005851200715742256, -0.6700785532498847]","[0.0, 0.0]","[0.235190019977941, -0.0461894324867393]","[0.0, 0.44566286879377404]","[-0.2189437818005803, 0.12012042912747505]","[-0.0620170463766269, -0.16194351759128392]","[0.0, 0.0]","[-0.7878792816872086, 0.03657105380633512]","[-0.2189437818005803, -0.1389715247280957]","[0.0, -0.030564998674481703]","[0.05098540693564497, 0.7798323909068586]","[0.0, 0.0]","[0.005851200715742256, 0.027594272138779897]","[-0.0620170463766269, -0.0002973045413219082]","[0.05098540693564497, -0.038111203163255884]","[0.0, 0.014570460691884057]",[],[],[],[],[],[],[1],[],"[0, 1]",[0],[],[],[1],[],[],[],"[0, 1]",[],[],[1],[],"[0, 1]",[],[1],[1]
