CO2 on Temperature,Aerosols on Temperature,Specific Humidity on Temperature,Specific Humidity on Aerosols,CO2 on Temperature interval 1,Aerosols on Temperature interval 1,Specific Humidity on Temperature interval 1,Specific Humidity on Aerosols interval 1,CO2 on Temperature interval 2,Aerosols on Temperature interval 2,Specific Humidity on Temperature interval 2,Specific Humidity on Aerosols interval 2
[-0.9095602],[-0.09734008],[0.15830291],[0.17181518],[-1.00346763],[-0.3589733],[-0.01293481],[-0.16888161],[-0.71046694],[-0.04850782],[0.32366526],[0.54381893]
[-0.32972835],[-0.36439514],[0.74727017],[0.94217316],[-0.81016026],[-0.76311829],[0.53675655],[0.38600039],[-0.07409528],[0.33706358],[1.17316495],[0.9731458]
[-0.52722216],[-0.36025132],[0.18452639],[-0.47261636],[-0.65166885],[-0.5888375],[0.13130193],[-0.62542354],[-0.23799722],[-0.171624],[0.29630329],[-0.33751396]
[-0.47194186],[-0.30726668],[0.27405202],[-0.4349425],[-0.58640992],[-0.49457726],[0.21751376],[-0.58246463],[-0.26029575],[-0.16511796],[0.40145935],[-0.26885648]
[-0.99150788],[0.07061887],[-0.04211761],[0.54701567],[-1.35130157],[-0.38296782],[-0.25654925],[0.05193056],[-0.3419385],[0.5216518],[0.25445039],[0.88812299]
[0.32023866],[-1.03336178],[-0.50151944],[1.96247441],[-0.28532845],[-1.97856988],[-2.1567329],[1.46114246],[1.39784416],[-0.43708547],[0.40630619],[2.38560407]
[-0.38557018],[-0.36763612],[-1.00753962],[-0.68353221],[-1.51025059],[-0.60800305],[-1.53004603],[-1.19563574],[-0.15534297],[0.04142392],[-0.60010767],[0.01015701]
[-0.65080975],[-0.31961667],[0.66242228],[0.10429585],[-0.85906167],[-0.79377978],[0.46784432],[-0.36102451],[-0.56727653],[-0.18090561],[0.92633027],[0.90290551]
[0.36406017],[0.55114018],[-1.94658681],[0.77266056],[0.02449862],[-0.39484593],[-2.10340569],[0.65554048],[0.67247294],[0.73680662],[-0.86589201],[0.98975656]
[-0.52694549],[-0.48097845],[-0.43143129],[0.75928772],[-1.13241026],[-0.69740193],[-0.60201532],[0.09073338],[-0.33470404],[0.3332848],[-0.30055893],[1.21149087]
[-0.31188622],[-0.41426912],[0.61473052],[-1.25547092],[-0.90367768],[-0.72749136],[0.48782542],[-1.66838751],[-0.02014045],[0.06706616],[0.76538961],[-0.95699603]
[0.40079912],[0.2256213],[-1.76775321],[0.52685761],[-0.01685232],[-0.00831283],[-2.65666599],[0.44058264],[1.0653719],[0.44933722],[-1.13275717],[1.20057889]
[-0.14410961],[-0.16494788],[-0.96797823],[1.03629727],[-0.9125754],[-1.49989755],[-1.59133347],[0.70452974],[0.58916808],[0.60299019],[-0.1457661],[1.20484743]
[0.12463606],[-0.52569887],[0.28270077],[-0.4050513],[-0.11123002],[-0.68872973],[-0.10639858],[-0.85255764],[0.34796282],[-0.36421192],[0.53036326],[-0.02546827]
[-0.90061421],[0.02411833],[0.13658377],[0.00453832],[-1.27927847],[-0.20985567],[-0.11055549],[-0.22659014],[-0.86949623],[0.32912898],[0.32266514],[0.45789905]
[0.7621031],[-1.76505552],[-0.15000416],[0.75186768],[-0.35362935],[-2.88713619],[-0.33846725],[0.46229141],[1.72750588],[-0.8119807],[0.19756698],[1.01911071]
[-0.25418201],[-0.11733792],[0.32866204],[0.93701534],[-0.28013388],[-0.20277038],[0.18050659],[0.54900542],[-0.14733949],[0.03379031],[0.44912304],[1.42727787]
[0.06042742],[-0.03293156],[-0.68993251],[0.70539553],[-0.37662583],[-0.70590201],[-1.80473352],[0.30128373],[0.64860276],[0.13809481],[0.23287666],[0.88249281]
[-0.87177444],[-0.06662462],[0.50067058],[-0.69978101],[-0.9855302],[-0.30534087],[0.13084257],[-0.96993884],[-0.55090121],[0.10367581],[0.63131426],[-0.1468753]
[-1.05189357],[0.05577638],[0.24787933],[-0.9946656],[-2.8201615],[-1.29619624],[0.05879635],[-1.47536067],[-0.07210162],[1.91649724],[0.49116398],[-0.29793625]
[-0.15358424],[0.32173686],[-1.20608054],[0.98729666],[-0.69142174],[-0.74467112],[-2.2998971],[0.62104319],[0.5123861],[0.90911155],[-0.25424181],[0.96373131]
[-0.01058486],[-0.58218067],[0.39381409],[-1.00335648],[-0.51538074],[-0.85460289],[-0.28988529],[-1.14253196],[-0.06475483],[-0.49125638],[0.41407788],[-0.76084309]
[-0.10626356],[-0.29792446],[-0.44793306],[0.99173815],[-1.34499646],[-1.48002528],[-1.30116199],[0.86351816],[0.42143367],[0.67081691],[1.00456935],[1.0648001]
[-0.52112336],[0.22662341],[-0.1102173],[0.64966917],[-1.55553848],[-0.63074529],[-1.08506013],[0.21041171],[-0.04494286],[1.19124721],[0.42907678],[0.99792215]
[-0.581743],[-1.26108088],[0.84795862],[0.96562751],[-0.83725143],[-2.10006888],[0.47955143],[0.73944068],[-0.21502751],[-0.91771773],[1.21175589],[1.06812251]
[-0.10460214],[-0.27262118],[0.17787859],[1.02807273],[-0.96516264],[-0.94680812],[-1.0519291],[0.60155869],[1.01447596],[0.40335027],[0.78468413],[1.17099135]
[-7831.63757605],[0.06138767],[-357189.14914077],[572768.76472005],[-247942.90773163],[-0.48289294],[-1043367.47678614],[307622.60895973],[220606.3879277],[0.44151809],[1061309.03677032],[1224994.03651959]
[-0.18768018],[-1.16856504],[1.20173896],[0.78591237],[-0.39826978],[-1.42671741],[0.81307316],[0.57935619],[0.05683467],[-0.86575457],[1.33467302],[1.12897841]
[-0.5155271],[-0.17944285],[0.4842962],[-1.0348672],[-0.56736393],[-0.49847368],[-0.00147111],[-1.32026413],[-0.37415966],[-0.10326566],[0.53297393],[-0.98799077]
[-0.81596533],[-0.14021449],[-0.09901941],[1.07762081],[-1.54253327],[-0.63377087],[-0.6389667],[0.94657099],[-0.34826863],[0.57903734],[0.27559965],[1.59294439]
[-0.51320671],[-0.78228827],[0.9824409],[1.73213721],[-1.28597873],[-1.48198375],[0.52552237],[1.09051688],[-0.02977562],[-0.44509985],[2.06592017],[1.94619006]
[0.1905592],[-0.33762184],[1.12571502],[-0.60707891],[-0.07836128],[-0.51652544],[0.83492271],[-0.85726388],[0.55856616],[-0.08083137],[1.57470498],[-0.27289366]
[-0.12454493],[-1.32110788],[0.39326178],[1.04861343],[-0.57101585],[-2.33193859],[-0.72101479],[0.89111292],[0.62398841],[0.37457263],[0.75644896],[1.08215763]
[-0.75973403],[-1.00164244],[0.73483622],[-0.12624544],[-2.68358659],[-3.24950124],[0.22700275],[-0.16774989],[0.38909868],[-0.01208297],[0.86673757],[-0.08792174]
[0.20856765],[-0.36022539],[-0.69653354],[0.39390932],[0.02164311],[-0.77103946],[-0.96819891],[-0.4892491],[0.41080101],[-0.12259213],[-0.59928406],[0.39240741]
[-0.128523],[-0.97881673],[-0.03637638],[1.1385035],[-0.30155305],[-1.03957805],[-0.32703505],[0.0053477],[-0.01291068],[-0.71909323],[0.47341101],[2.57626403]
[-0.32810062],[-0.23155758],[0.46591138],[0.97227325],[-0.61498155],[-0.44579794],[0.17824929],[0.7017889],[-0.00847361],[0.02848299],[0.69004594],[1.10885713]
[-0.26788388],[-0.94464819],[0.14895205],[0.6878281],[-0.16112509],[-1.77074188],[-0.2153854],[0.44234677],[0.42989541],[-1.07604613],[0.23177943],[0.87007559]
[-0.51793147],[-0.71499415],[-0.21469569],[0.22933602],[-0.98065776],[-1.4926621],[-0.6021488],[0.00403517],[-0.1284294],[0.03650263],[-0.00702622],[0.76729479]
[-0.46865689],[0.66039992],[0.57332322],[0.60151746],[-0.93330159],[0.50123835],[0.17881673],[0.30814685],[-0.20976567],[0.9003692],[0.8787248],[0.97648597]
[-0.51407572],[-0.06036415],[0.51998676],[-0.49490091],[-0.73895634],[-0.27310939],[0.37479201],[-0.61008098],[-0.39881576],[0.09105722],[0.68414702],[-0.12908948]
[-1.00038872],[2.15549991],[-1.12141851],[1.09721254],[-1.92116657],[1.75590882],[-1.6866174],[0.71810155],[-0.39373645],[3.07553129],[-0.29583927],[1.070473]
[-1.333421],[-0.22288649],[0.72023433],[0.81886266],[-1.90450651],[-0.34268823],[-0.25465971],[1.26169011],[-0.87049331],[0.09384381],[1.31190315],[2.36287521]
[-0.78852841],[0.29409847],[0.47263868],[-0.59444796],[-0.86271628],[0.26446478],[0.4324369],[-1.38703431],[-0.69926309],[0.33008655],[0.6331236],[-0.17843521]
[-0.82120496],[0.13748809],[0.42364403],[-0.66673598],[-1.43139848],[0.07157953],[0.18706466],[-0.92218852],[-0.70684821],[0.80035466],[0.49675714],[-0.41891406]
[0.11990866],[-1.16780307],[-0.13599931],[1.07620767],[-0.7796977],[-1.75295751],[-0.32107229],[0.81655359],[0.49280559],[-0.37023392],[0.25202896],[1.34453761]
[-0.23430397],[-0.22627066],[0.76460939],[-0.32859196],[-0.55612128],[-0.67916227],[0.54089202],[-1.01964409],[-0.01857344],[-0.01773885],[1.07216056],[0.07836324]
[-0.61411263],[-0.09762923],[0.85491479],[0.025285],[-0.86069482],[-0.2541989],[0.42099826],[-0.57881746],[-0.454244],[0.08154293],[1.17983198],[0.47530244]
[0.01643256],[-0.83200976],[1.92863067],[1.2461739],[-0.09957501],[-0.97937244],[1.46199057],[1.13961299],[0.19998662],[-0.41566103],[2.21786129],[1.5041583]
