time,base_time,time_offset,total_SA_conc,total_V_conc,total_SA_conc_AS,total_V_conc_AS,total_N_conc,qc_total_N_conc,sample_temperature,qc_sample_temperature,sample_temperature_std,sample_relative_humidity,qc_sample_relative_humidity,sample_relative_humidity_std,sample_flow_rate,qc_sample_flow_rate,sample_flow_rate_std,total_count,total_count_std,lat,lon,alt
2024-11-30 00:00:30,2024-11-30,2024-11-30 00:00:30,35100243.57327302,1263686462.6332114,83988518.69742697,5151205261.334022,366.07178,0,2.374,0,0.24984795,42.732,0,0.1733661,3.0068333,0,0.20663567,1100.7167,73.02559,39.317,-76.586,45.0
2024-11-30 00:01:30,2024-11-30,2024-11-30 00:01:30,34979614.834243625,1316873710.659042,83787334.2534602,5398738585.612651,362.05975,0,2.2975001,0,0.22083648,42.936,0,0.24399675,3.0051668,0,0.2778758,1088.05,71.43445,39.317,-76.586,45.0
2024-11-30 00:02:30,2024-11-30,2024-11-30 00:02:30,38469498.72202423,1525815276.9441454,91607346.34505346,6223456043.742609,404.89948,0,2.3145,0,0.22981459,42.885,0,0.23122564,2.9833333,0,0.20595846,1207.95,74.526375,39.317,-76.586,45.0
2024-11-30 00:03:30,2024-11-30,2024-11-30 00:03:30,38624069.75578306,1654620986.8377113,92269129.3637053,6847157018.035245,401.74405,0,2.306,0,0.22553048,43.004,0,0.249849,2.9911666,0,0.16154557,1201.6833,46.890827,39.317,-76.586,45.0
2024-11-30 00:04:30,2024-11-30,2024-11-30 00:04:30,39307446.44054561,1624846256.6070938,93459971.97815697,6651569028.092581,415.92755,0,2.289,0,0.21570581,43.055,0,0.25500107,2.9875,0,0.1340973,1242.5834,53.67131,39.317,-76.586,45.0
2024-11-30 00:05:30,2024-11-30,2024-11-30 00:05:30,40545616.49845853,1593454387.5854564,95683285.33402044,6463778966.398373,441.02536,0,2.2805002,0,0.21010652,43.072,0,0.25443378,2.9908333,0,0.14230591,1319.0333,99.46875,39.317,-76.586,45.0
2024-11-30 00:06:30,2024-11-30,2024-11-30 00:06:30,38528176.988101125,1340951939.8894958,91465222.51769571,5401853322.314268,413.10022,0,2.255,0,0.19006577,42.9615,0,0.23724085,2.9885,0,0.20987953,1234.55,79.85266,39.317,-76.586,45.0
2024-11-30 00:07:30,2024-11-30,2024-11-30 00:07:30,39938955.65200404,1401318523.0205145,94563872.12532207,5642672690.400132,433.24948,0,2.221,0,0.17910612,43.004,0,0.26663554,2.9825,0,0.21722203,1292.1666,79.693825,39.317,-76.586,45.0
2024-11-30 00:08:30,2024-11-30,2024-11-30 00:08:30,41642345.26321443,1668553766.9674253,98418403.80471033,6793230752.543523,449.64352,0,2.2125,0,0.16893417,43.409336,0,0.27228612,2.9926667,0,0.22287415,1345.6333,75.29917,39.317,-76.586,45.0
2024-11-30 00:09:30,2024-11-30,2024-11-30 00:09:30,41245184.96342391,1607883581.8942783,97424355.45852773,6541411100.129974,447.435,0,2.1955001,0,0.11115192,43.785336,0,0.16998479,3.0051668,0,0.18565641,1344.6167,64.11112,39.317,-76.586,45.0
2024-11-30 00:10:30,2024-11-30,2024-11-30 00:10:30,42430873.97916601,1837660708.6798928,99981827.20264015,7515163302.283291,460.1789,0,2.204,0,0.15765151,43.836166,0,0.21523657,3.0185,0,0.1792003,1389.05,104.317535,39.317,-76.586,45.0
2024-11-30 00:11:30,2024-11-30,2024-11-30 00:11:30,35771098.961620435,1293466592.1291413,85824827.32475434,5291439671.383373,371.17157,0,2.2045763,0,0.12821224,43.819492,0,0.2180528,2.9772882,0,0.1667011,1105.0847,49.830997,39.317,-76.586,45.0
2024-11-30 00:12:30,2024-11-30,2024-11-30 00:12:30,36126558.4462594,1373317348.7610564,86650293.1772922,5646686215.859343,373.7428,0,2.1785002,0,0.14697875,43.7855,0,0.19340284,3.0093334,0,0.18922532,1124.7167,48.530434,39.317,-76.586,45.0
2024-11-30 00:13:30,2024-11-30,2024-11-30 00:13:30,35988336.383472726,1402773508.3829932,86407148.16605707,5772206377.182667,370.3226,0,2.2125,0,0.16893417,44.065166,0,0.27100036,2.9966667,0,0.16410024,1109.7333,44.131195,39.317,-76.586,45.0
2024-11-30 00:14:30,2024-11-30,2024-11-30 00:14:30,36571456.477311425,1322639303.1085234,87705916.32579067,5409352167.576638,378.97955,0,2.1955001,0,0.17232166,44.0905,0,0.25372097,2.9693334,0,0.1603316,1125.3167,63.743626,39.317,-76.586,45.0
2024-11-30 00:15:30,2024-11-30,2024-11-30 00:15:30,38941196.60967964,1519933863.6409845,93257332.02499323,6219685583.385839,404.3928,0,2.1785002,0,0.11372226,43.988667,0,0.26002786,3.0125,0,0.19517192,1218.2333,69.21329,39.317,-76.586,45.0
2024-11-30 00:16:30,2024-11-30,2024-11-30 00:16:30,40490713.08623373,1505055166.1640964,97100352.57941961,6172116747.137173,422.2235,0,2.2380002,0,0.21770623,44.2605,0,0.21010618,3.0073333,0,0.17418252,1269.7667,65.01394,39.317,-76.586,45.0
2024-11-30 00:17:30,2024-11-30,2024-11-30 00:17:30,42041388.50737088,1852499477.5407104,100630241.88768774,7655165824.205235,433.16977,0,2.1955001,0,0.21687499,44.634502,0,0.2957959,2.9896667,0,0.20495501,1295.0333,74.455345,39.317,-76.586,45.0
2024-11-30 00:18:30,2024-11-30,2024-11-30 00:18:30,46327055.62590062,1681542555.4941654,110277643.25434536,6835096403.23006,496.67816,0,2.187,0,0.13057949,45.051003,0,0.25272232,2.9953334,0,0.22055586,1487.7167,155.35133,39.317,-76.586,45.0
2024-11-30 00:19:30,2024-11-30,2024-11-30 00:19:30,47752891.18011297,1777305168.9549408,113048578.63205686,7182390312.154462,517.90234,0,2.17,0,0.18622568,44.7535,0,0.24325505,2.9986668,0,0.16046251,1553.0167,150.90565,39.317,-76.586,45.0
2024-11-30 00:20:30,2024-11-30,2024-11-30 00:20:30,45284425.90142054,1694823008.7421377,107312462.75387073,6870127019.513881,487.18597,0,2.187,0,0.1603777,44.4645,0,0.22981556,2.9720001,0,0.17218013,1447.9166,89.90667,39.317,-76.586,45.0
2024-11-30 00:21:30,2024-11-30,2024-11-30 00:21:30,45708249.64224434,1690960100.4149253,107854806.45664756,6818527838.898486,497.95984,0,2.1955001,0,0.17232166,44.592,0,0.25443378,2.9816666,0,0.2123846,1484.75,77.22233,39.317,-76.586,45.0
2024-11-30 00:22:30,2024-11-30,2024-11-30 00:22:30,41403023.836514115,1563856504.282413,98585761.83445604,6377485831.284118,438.39682,0,2.2125,0,0.16893417,44.8895,0,0.21010618,3.0085,0,0.18906635,1318.9166,108.14285,39.317,-76.586,45.0
2024-11-30 00:23:30,2024-11-30,2024-11-30 00:23:30,41026340.66183324,1781110711.919,97786890.26218463,7356880216.221399,428.72385,0,2.204,0,0.12721635,44.9065,0,0.22472776,2.9986668,0,0.2347585,1285.6,61.637707,39.317,-76.586,45.0
