time,base_time,time_offset,day_of_year,file_records,used_records,chopper_LI_7500,detector_LI_7500,momentum_flux,qc_momentum_flux,flag_momentum_flux,sensible_heat_flux,qc_sensible_heat_flux,flag_sensible_heat_flux,latent_flux,qc_latent_flux,flag_latent_flux,co2_flux,qc_co2_flux,flag_co2_flux,h2o_flux,qc_h2o_flux,flag_h2o_flux,ch4_flux,qc_ch4_flux,flag_ch4_flux,co2_molar_density,qc_co2_molar_density,co2_molar_fraction,co2_mixing_ratio,co2_timelag,flag_co2_timelag,h2o_molar_density,qc_h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_timelag,flag_h2o_timelag,ch4_molar_density,qc_ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_timelag,flag_ch4_timelag,sonic_temperature,qc_sonic_temperature,air_temperature,qc_air_temperature,air_pressure,qc_air_pressure,air_density,qc_air_density,air_heat_capacity,qc_air_heat_capacity,air_molar_volume,evapotranspiration_flux,water_vapor_density,water_vapor_partial_pressure,water_vapor_partial_pressure_saturated,specific_humidity,relative_humidity,water_vapor_pressure_deficit,dew_point_temperature,wind_u_component,qc_wind_u_component,wind_v_component,qc_wind_v_component,wind_w_component,qc_wind_w_component,rotated_mean_u,rotated_mean_v,rotated_mean_w,mean_wind,qc_mean_wind,maximum_instantaneous_wind_speed,wind_direction_from_north,qc_wind_direction_from_north,first_rotation_angle,second_rotation_angle,friction_velocity,qc_friction_velocity,turbulent_kinetic_energy,Monin_Obukhov_length,Monin_Obukhov_stability_parameter,Bowen_ratio,scaling_temperature,uncorrected_momentum_flux,spectral_correction_momentum_flux,uncorrected_sensible_heat_flux,qc_uncorrected_sensible_heat_flux,spectral_correction_sensible_heat_flux,uncorrected_latent_heat_flux,qc_uncorrected_latent_heat_flux,spectral_correction_latent_heat_flux,uncorrected_co2_flux,qc_uncorrected_co2_flux,spectral_correction_co2_flux,uncorrected_h2o_flux,spectral_correction_h2o_flux,uncorrected_ch4_flux,qc_uncorrected_ch4_flux,spectral_correction_ch4_flux,hard_flags_spike_test,hard_flags_resolution,hard_flags_drop_out_test,hard_flags_absolute_limits,hard_flags_skewness_kurtosis,soft_flags_skewness_kurtosis,hard_flags_discontinuities_test,soft_flags_discontinuities_test,hard_flags_time_lag_test,soft_flags_time_lag_test,hard_flags_attack_angle_test,hard_flags_non_steady_wind,number_spikes_u,number_spikes_v,number_spikes_w,number_spikes_ts,number_spikes_co2,number_spikes_h2o,number_spikes_ch4,phase_lock_flag_LI_7500,sync_flag_LI_7500,mean_value_LI_7500,variance_u,qc_variance_u,variance_v,qc_variance_v,variance_w,qc_variance_w,variance_ts,qc_variance_ts,variance_co2,qc_variance_co2,variance_h2o,qc_variance_h2o,variance_ch4,qc_variance_ch4,covariance_w_ts_cov,covariance_w_co2_cov,covariance_w_h2o_cov,covariance_w_ch4_cov,co2_signal_strength_7500_mean,lat,lon,alt
2024-12-20 00:00:00,2024-12-20,2024-12-20 00:00:00,355.0,18000.0,18000.0,0.0,0.0,-0.0351487,0,0.0,7.50408,0,0.0,9.46227,0,0.0,8.72249,0,0.0,0.210944,0,0.0,,1,0.0,20.1647,0,457.179,459.203,0.0,1.0,194.48,0,4.4093,4.42882,0.3,0.0,,1,,,,9.0,281.521,0,277.73,0,101.845,0,1.27541,0,1007.6,0,0.0226722,0.0136692,0.00350453,0.449184,0.84474295,0.00274777,53.174,0.39555898,268.987,0.335988,0,-0.161354,0,0.110417,0,0.388735,2.37672e-15,-8.21957e-15,0.388735,0,2.87439,201.624,0,334.348,16.5016,0.166009,0,0.274495,-53.8183,-0.758107,0.793052,-0.0351747,-0.0299654,1.17298,7.21319,0,1.11589,8.23099,0,1.12224,7.30868,0,1.12224,0.183495,1.12224,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800001099.0,800011199.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,8.0,25.0,2.0,42.0,21.0,25.0,,0.0,0.0,100.0,0.236725,0,0.188648,0,0.123616,0,0.014629,0,0.120279,0,4.38129,2,,1,0.00561294,0.00730868,0.183495,,98.2422,39.3105,-76.62375,64.0
2024-12-20 00:30:00,2024-12-20,2024-12-20 00:30:00,355.0208,18000.0,18000.0,0.0,0.0,-0.0931637,0,0.0,7.9828,8,2.0,3.71857,0,1.0,-1.61208,8,2.0,0.0828813,0,1.0,,1,0.0,20.1465,0,456.316,458.332,0.0,1.0,194.215,0,4.39894,4.41838,0.0,0.0,,1,,,,9.0,281.33,0,277.51,0,101.865,0,1.27667,0,1007.59,0,0.0226499,0.00537071,0.00349975,0.448217,0.831852,0.00274131,53.8818,0.383636,268.959,0.303701,0,-0.163594,0,0.152938,0,0.377343,-6.3339e-15,-2.25559e-15,0.377343,0,3.34213,202.983,0,331.69,23.9102,0.270137,0,0.426455,-218.017,-0.187141,2.14674,-0.0229725,-0.0792231,1.17597,7.3319,0,1.11796,3.11943,0,1.12436,-1.86811,0,1.12436,0.0695273,1.12436,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800001099.0,800001199.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,4.0,4.0,1.0,36.0,19.0,41.0,,0.0,0.0,100.0,0.341231,0,0.320641,0,0.191038,0,0.0317329,0,0.182366,0,4.17413,2,,1,0.00569972,-0.00186811,0.0695273,,98.2377,39.3105,-76.62375,64.0
2024-12-20 01:00:00,2024-12-20,2024-12-20 01:00:00,355.0416,18000.0,18000.0,0.0,0.0,-0.0495383,0,0.0,6.18664,8,2.0,2.43325,0,0.0,-19.8309,0,0.0,0.0542205,0,0.0,,1,0.0,20.2507,0,458.185,460.251,0.0,1.0,198.475,0,4.49061,4.51087,-0.3,0.0,,1,,,,9.0,280.926,0,277.259,0,101.881,0,1.278,0,1007.64,0,0.0226256,0.00351349,0.00357652,0.457633,0.81732,0.00279854,55.9919,0.359687,269.235,0.242091,0,-0.167251,0,0.0990867,0,0.310482,-2.47694e-14,1.16094e-14,0.310482,0,3.28247,204.552,0,325.361,18.6108,0.196882,0,0.333541,-108.921,-0.374582,2.54254,-0.0244015,-0.0414124,1.19622,5.58877,0,1.13198,1.99158,0,1.13879,-17.744,0,1.13879,0.0443787,1.13879,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800001199.0,800111199.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,14.0,6.0,5.0,24.0,40.0,50.0,,0.0,0.0,100.0,0.296518,0,0.231907,0,0.138657,0,0.0346808,0,0.440893,0,3.0311,2,,1,0.00433994,-0.017744,0.0443787,,98.2354,39.3105,-76.62375,64.0
2024-12-20 01:30:00,2024-12-20,2024-12-20 01:30:00,355.0624,18000.0,18000.0,0.0,0.0,-0.0451482,0,0.0,0.461978,0,1.0,4.95215,0,0.0,5.1905,0,1.0,0.110347,0,0.0,,1,0.0,20.1651,0,456.2,458.251,-0.3,0.0,197.826,0,4.47547,4.49559,0.0,1.0,,1,,,,9.0,280.728,0,277.23,0,101.882,0,1.27814,0,1007.63,0,0.0226233,0.00715045,0.00356483,0.45609102,0.815687,0.00278908,55.9149,0.359596,269.19,0.229081,0,-0.11428,0,0.0702616,0,0.265471,3.68735e-14,-3.46173e-15,0.265471,0,2.49793,199.094,0,333.487,15.3472,0.187945,0,0.245439,-1268.89,-0.0321541,0.0932884,-0.00190859,-0.0372108,1.21331,0.652359,0,1.1438,4.27326,0,1.15099,4.44317,0,1.15099,0.095219,1.15099,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800001099.0,800011199.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,11.0,7.0,0.0,35.0,28.0,19.0,,0.0,0.0,100.0,0.196758,0,0.197763,0,0.0963583,0,0.0151653,0,0.0780897,0,2.08557,2,,1,0.000506535,0.00444317,0.095219,,98.2321,39.3105,-76.62375,64.0
2024-12-20 02:00:00,2024-12-20,2024-12-20 02:00:00,355.0833,18000.0,18000.0,0.0,0.0,0.0823358,4,1.0,-2.13978,0,1.0,8.02646,0,0.0,5.23487,0,0.0,0.178778,0,0.0,,1,0.0,20.1822,0,456.072,458.097,0.0,1.0,195.602,0,4.42018,4.4398,-0.1,0.0,,1,,,,9.0,280.651,0,276.807,0,101.841,0,1.2796,0,1007.59,0,0.0225978,0.0115848,0.00352476,0.450274,0.791715,0.00275457,56.8733,0.34144,269.019,0.118306,0,0.0452293,0,4.31363e-05,0,0.126657,-1.27692e-14,5.62121e-15,0.126657,0,3.09384,177.472,0,20.9223,0.0195136,0.253663,0,0.317634,673.316,0.0605956,-0.26659,0.00654263,0.0634167,1.29833,-1.46009,0,1.15135,6.9181,0,1.16269,4.5363,0,1.16269,0.154091,1.16269,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800001099.0,800111099.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,17.0,1.0,1.0,20.0,21.0,12.0,,0.0,0.0,100.0,0.230081,0,0.26833,0,0.136856,0,0.0175507,0,0.0765202,0,1.94989,2,,1,-0.00113245,0.0045363,0.154091,,98.2292,39.3105,-76.62375,64.0
2024-12-20 02:30:00,2024-12-20,2024-12-20 02:30:00,355.1041,18000.0,18000.0,0.0,0.0,-0.0751119,0,1.0,-12.7871,0,1.0,5.07648,0,1.0,-8.72022,0,1.0,0.11303,0,1.0,,1,0.0,20.505,0,462.898,464.96,0.0,0.0,196.417,0,4.43409,4.45384,0.0,1.0,,1,,,,9.0,280.34,0,276.421,0,101.802,0,1.2809,0,1007.59,0,0.0225748,0.00732433,0.00353944,0.45152,0.770447,0.00276325,58.605,0.318927,269.056,0.101679,0,-0.02223,0,0.0335846,0,0.109365,1.84531e-14,-1.56431e-14,0.109365,0,2.53047,191.611,0,347.667,17.8838,0.242157,0,0.260733,97.9983,0.416334,-2.51889,0.0409144,-0.0647281,1.16042,-11.5443,0,1.0828,4.86739,0,1.10329,-7.28508,0,1.10329,0.108374,1.10329,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800001099.0,800011199.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,3.0,5.0,1.0,25.0,38.0,30.0,,0.0,0.0,100.0,0.165754,0,0.232875,0,0.122837,0,0.026314,0,0.152559,0,2.82084,2,,1,-0.00894474,-0.00728508,0.108374,,98.2065,39.3105,-76.62375,64.0
2024-12-20 03:00:00,2024-12-20,2024-12-20 03:00:00,355.1249,18000.0,18000.0,0.0,0.0,-0.0849693,0,0.0,-2.80755,0,1.0,7.88232,0,1.0,26.4564,0,1.0,0.175462,0,1.0,,1,0.0,20.4794,0,462.205,464.267,0.0,1.0,196.845,0,4.44264,4.46247,0.0,0.0,,1,,,,9.0,280.017,0,276.174,0,101.737,0,1.28121,0,1007.59,0,0.0225692,0.0113699,0.00354715,0.4521,0.757107,0.00276859,59.7142,0.30500698,269.073,0.101009,0,0.123677,0,-0.000896255,0,0.159686,1.90165e-14,1.16206e-14,0.159686,0,2.93803,138.334,0,50.7609,-0.321581,0.257526,0,0.290591,536.576,0.0760377,-0.356184,0.00844503,-0.0688505,1.23411,-2.11536,0,1.11484,7.03357,0,1.12559,23.5757,0,1.12559,0.156568,1.12559,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800001099.0,800001099.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,5.0,7.0,0.0,37.0,14.0,47.0,,0.0,0.0,100.0,0.272425,0,0.180311,0,0.128446,0,0.027134,0,0.113057,0,2.3159,2,,1,-0.00163861,0.0235757,0.156568,,98.197,39.3105,-76.62375,64.0
2024-12-20 03:30:00,2024-12-20,2024-12-20 03:30:00,355.1458,18000.0,18000.0,0.0,0.0,-0.0721653,0,1.0,-10.6682,0,0.0,3.21979,0,0.0,15.6123,0,0.0,0.0716474,0,0.0,,1,0.0,20.738,0,467.587,469.684,0.0,1.0,198.074,0,4.46603,4.48607,0.0,0.0,,1,,,,9.0,279.628,0,275.796,0,101.696,0,1.28244,0,1007.6,0,0.0225473,0.00464275,0.00356929,0.454299,0.73706,0.00278319,61.6366,0.28276098,269.138,0.171735,0,-0.0210153,0,0.0275442,0,0.175195,2.29162e-14,6.41763e-15,0.175195,0,2.53707,188.186,0,353.023,9.04559,0.237217,0,0.209497,110.336,0.369779,-3.31332,0.0348032,-0.0649381,1.11129,-9.92081,0,1.057,3.23153,0,1.07437,15.0782,0,1.07437,0.0719085,1.07437,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800001099.0,801011199.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,0.0,5.0,0.0,18.0,11.0,52.0,,0.0,0.0,100.0,0.127966,0,0.212353,0,0.0786746,0,0.0191517,0,0.120476,0,1.2404,2,,1,-0.00767751,0.0150782,0.0719085,,98.1861,39.3105,-76.62375,64.0
2024-12-20 04:00:00,2024-12-20,2024-12-20 04:00:00,355.1666,18000.0,18000.0,0.0,0.0,-0.0345448,0,0.0,-4.79493,0,0.0,0.745721,8,2.0,-1.81013,8,2.0,0.0165927,8,2.0,,1,0.0,20.3494,0,458.657,460.698,0.0,1.0,196.567,0,4.43045,4.45017,-0.4,0.0,,1,,,,9.0,279.383,0,275.716,0,101.703,0,1.28293,0,1007.58,0,0.0225391,0.0010752,0.00354214,0.450713,0.732893,0.00276098,61.4978,0.28217998,269.032,0.288301,0,-0.0553916,0,0.0845153,0,0.305497,-3.93758e-15,1.00203e-14,0.305497,0,1.92179,188.003,0,349.124,16.0603,0.164093,0,0.205523,81.261,0.502086,-6.42992,0.0226053,-0.0327135,1.05598,-4.61582,0,1.0297,0.821657,0,1.04821,-1.47296,0,1.04821,0.0182823,1.04821,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800001099.0,800011099.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,14.0,2.0,4.0,20.0,23.0,20.0,,0.0,0.0,100.0,0.152907,0,0.177743,0,0.0803962,0,0.0273583,0,0.0342553,0,2.64645,2,,1,-0.00357082,-0.00147296,0.0182823,,98.1788,39.3105,-76.62375,64.0
2024-12-20 04:30:00,2024-12-20,2024-12-20 04:30:00,355.1874,18000.0,18000.0,0.0,0.0,-0.0747569,0,1.0,1.86525,0,1.0,-0.941581,8,2.0,4.72903,0,0.0,-0.0209473,8,2.0,,1,0.0,20.2396,0,455.943,457.939,0.0,1.0,193.471,0,4.35838,4.37745,0.0,1.0,,1,,,,9.0,279.133,0,275.55,0,101.695,0,1.28364,0,1007.54,0,0.0225273,-0.00135739,0.00348634,0.443345,0.72426003,0.00271599,61.2135,0.28091502,268.813,0.0417596,0,-0.115984,0,0.0948518,0,0.155541,-3.0048e-14,-4.75933e-14,0.155541,0,2.70835,211.675,0,289.801,37.5765,0.241326,0,0.315646,-664.415,-0.0614074,-1.98098,-0.00597626,-0.0585223,1.27741,1.5254,0,1.18766,-0.821487,0,1.1966,3.8715,0,1.1966,-0.0182756,1.1966,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800001099.0,800001099.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,0.0,7.0,1.0,19.0,14.0,31.0,,0.0,0.0,100.0,0.147329,0,0.356591,0,0.127371,0,0.0280923,0,0.0367133,0,2.98685,2,,1,0.00117945,0.0038715,-0.0182756,,98.178,39.3105,-76.62375,64.0
