time,albedo,alt,base_time,corr_soil_heat_flow_1,corr_soil_heat_flow_2,corr_soil_heat_flow_3,down_long,down_short_hemisp,energy_storage_change_1,energy_storage_change_2,energy_storage_change_3,lat,lon,net_radiation,qc_albedo,qc_battery_voltage,qc_corr_soil_heat_flow_1,qc_corr_soil_heat_flow_2,qc_corr_soil_heat_flow_3,qc_down_long,qc_down_short_hemisp,qc_energy_storage_change_1,qc_energy_storage_change_2,qc_energy_storage_change_3,qc_net_radiation,qc_soil_heat_capacity_1,qc_soil_heat_capacity_2,qc_soil_heat_capacity_3,qc_soil_heat_flow_1,qc_soil_heat_flow_2,qc_soil_heat_flow_3,qc_soil_moisture_1,qc_soil_moisture_2,qc_soil_moisture_3,qc_soil_temp_1,qc_soil_temp_2,qc_soil_temp_3,qc_surface_energy_balance,qc_surface_soil_heat_flux_1,qc_surface_soil_heat_flux_2,qc_surface_soil_heat_flux_3,qc_surface_soil_heat_flux_avg,qc_temp_net_radiometer,qc_up_long,qc_up_short_hemisp,qc_wetness,soil_heat_capacity_1,soil_heat_capacity_2,soil_heat_capacity_3,soil_heat_flow_1,soil_heat_flow_2,soil_heat_flow_3,soil_moisture_1,soil_moisture_2,soil_moisture_3,soil_temp_1,soil_temp_2,soil_temp_3,surface_energy_balance,surface_soil_heat_flux_1,surface_soil_heat_flux_2,surface_soil_heat_flux_3,surface_soil_heat_flux_avg,time_offset,up_long,up_short_hemisp,wetness
2024-12-08 00:00:00,0.5726265,64.0,2024-12-08,,,,277.5248,-6.828202,,,,39.3105,-76.62375,-50.95084,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-08 00:00:00,325.4168,-3.898654,3.038816
2024-12-08 00:30:00,0.5169129,64.0,2024-12-08,,,,282.7755,-6.523058,,,,39.3105,-76.62375,-45.75354,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-08 00:30:00,325.2141,-3.380898,3.038745
2024-12-08 01:00:00,0.5374435,64.0,2024-12-08,,,,268.9008,-7.020411,,,,39.3105,-76.62375,-57.27283,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-08 01:00:00,323.3701,-3.7614,3.038758
2024-12-08 01:30:00,0.583607,64.0,2024-12-08,,,,267.3115,-7.07056,,,,39.3105,-76.62375,-57.24356,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-08 01:30:00,321.5289,-4.143073,3.038738
2024-12-08 02:00:00,0.6177301,64.0,2024-12-08,,,,263.1516,-7.328105,,,,39.3105,-76.62375,-60.45761,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-08 02:00:00,320.5426,-4.529486,3.038682
2024-12-08 02:30:00,0.5856629,64.0,2024-12-08,,,,279.0143,-6.384797,,,,39.3105,-76.62375,-45.02255,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-08 02:30:00,321.3746,-3.734485,3.038624
2024-12-08 03:00:00,0.658267,64.0,2024-12-08,,,,285.8148,-6.016931,,,,39.3105,-76.62375,-38.20602,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-08 03:00:00,321.8071,-3.969116,3.038577
2024-12-08 03:30:00,0.6005135,64.0,2024-12-08,,,,274.6955,-6.555478,,,,39.3105,-76.62375,-48.4971,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-08 03:30:00,320.7546,-3.914808,3.038623
2024-12-08 04:00:00,0.4820105,64.0,2024-12-08,,,,274.7491,-6.538673,,,,39.3105,-76.62375,-48.28888,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-08 04:00:00,319.84,-3.155675,3.038624
2024-12-08 04:30:00,0.5219098,64.0,2024-12-08,,,,267.5162,-6.79216,,,,39.3105,-76.62375,-53.63678,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-08 04:30:00,317.6159,-3.550112,3.038589
