time,albedo,alt,base_time,corr_soil_heat_flow_1,corr_soil_heat_flow_2,corr_soil_heat_flow_3,down_long,down_short_hemisp,energy_storage_change_1,energy_storage_change_2,energy_storage_change_3,lat,lon,net_radiation,qc_albedo,qc_battery_voltage,qc_corr_soil_heat_flow_1,qc_corr_soil_heat_flow_2,qc_corr_soil_heat_flow_3,qc_down_long,qc_down_short_hemisp,qc_energy_storage_change_1,qc_energy_storage_change_2,qc_energy_storage_change_3,qc_net_radiation,qc_soil_heat_capacity_1,qc_soil_heat_capacity_2,qc_soil_heat_capacity_3,qc_soil_heat_flow_1,qc_soil_heat_flow_2,qc_soil_heat_flow_3,qc_soil_moisture_1,qc_soil_moisture_2,qc_soil_moisture_3,qc_soil_temp_1,qc_soil_temp_2,qc_soil_temp_3,qc_surface_energy_balance,qc_surface_soil_heat_flux_1,qc_surface_soil_heat_flux_2,qc_surface_soil_heat_flux_3,qc_surface_soil_heat_flux_avg,qc_temp_net_radiometer,qc_up_long,qc_up_short_hemisp,qc_wetness,soil_heat_capacity_1,soil_heat_capacity_2,soil_heat_capacity_3,soil_heat_flow_1,soil_heat_flow_2,soil_heat_flow_3,soil_moisture_1,soil_moisture_2,soil_moisture_3,soil_temp_1,soil_temp_2,soil_temp_3,surface_energy_balance,surface_soil_heat_flux_1,surface_soil_heat_flux_2,surface_soil_heat_flux_3,surface_soil_heat_flux_avg,time_offset,up_long,up_short_hemisp,wetness
2024-12-17 00:00:00,0.5465935,64.0,2024-12-17,,,,345.5125,-4.877923,,,,39.3105,-76.62375,-4.895721,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-17 00:00:00,348.1909,-2.660321,1.948099
2024-12-17 00:30:00,0.5072428,64.0,2024-12-17,,,,346.0272,-5.014785,,,,39.3105,-76.62375,-4.938538,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-17 00:30:00,348.4938,-2.544541,1.783318
2024-12-17 01:00:00,0.5799779,64.0,2024-12-17,,,,347.6099,-5.130663,,,,39.3105,-76.62375,-3.75473,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-17 01:00:00,349.177,-2.980921,1.450975
2024-12-17 01:30:00,0.5968348,64.0,2024-12-17,,,,348.9948,-4.687356,,,,39.3105,-76.62375,-2.651642,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-17 01:30:00,349.7661,-2.807523,1.162553
2024-12-17 02:00:00,0.6859684,64.0,2024-12-17,,,,348.9149,-4.608155,,,,39.3105,-76.62375,-2.634949,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-17 02:00:00,350.1099,-3.163006,1.464333
2024-12-17 02:30:00,0.7013523,64.0,2024-12-17,,,,349.3387,-4.513151,,,,39.3105,-76.62375,-2.771393,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-17 02:30:00,350.7563,-3.163755,1.639761
2024-12-17 03:00:00,0.764893,64.0,2024-12-17,,,,349.7184,-4.559332,,,,39.3105,-76.62375,-2.486542,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-17 03:00:00,351.1427,-3.485143,1.647605
2024-12-17 03:30:00,0.7046313,64.0,2024-12-17,,,,349.7286,-4.743307,,,,39.3105,-76.62375,-3.216125,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-17 03:30:00,351.546,-3.355463,1.899962
2024-12-17 04:00:00,0.7371914,64.0,2024-12-17,,,,350.8927,-4.931411,,,,39.3105,-76.62375,-2.157715,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-17 04:00:00,351.7299,-3.62669,1.494934
2024-12-17 04:30:00,0.8581808,64.0,2024-12-17,,,,352.0947,-4.995407,,,,39.3105,-76.62375,-1.019623,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-17 04:30:00,352.4043,-4.293918,1.477268
2024-12-17 05:00:00,0.8132512,64.0,2024-12-17,,,,354.3757,-4.977761,,,,39.3105,-76.62375,-1.101379,0,0,1,1,1,0,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,2024-12-17 05:00:00,354.5473,-4.047614,1.72476
