time,albedo,alt,base_time,corr_soil_heat_flow_1,corr_soil_heat_flow_2,corr_soil_heat_flow_3,down_long,down_short_hemisp,energy_storage_change_1,energy_storage_change_2,energy_storage_change_3,lat,lon,net_radiation,qc_albedo,qc_battery_voltage,qc_corr_soil_heat_flow_1,qc_corr_soil_heat_flow_2,qc_corr_soil_heat_flow_3,qc_down_long,qc_down_short_hemisp,qc_energy_storage_change_1,qc_energy_storage_change_2,qc_energy_storage_change_3,qc_net_radiation,qc_soil_heat_capacity_1,qc_soil_heat_capacity_2,qc_soil_heat_capacity_3,qc_soil_heat_flow_1,qc_soil_heat_flow_2,qc_soil_heat_flow_3,qc_soil_moisture_1,qc_soil_moisture_2,qc_soil_moisture_3,qc_soil_temp_1,qc_soil_temp_2,qc_soil_temp_3,qc_surface_energy_balance,qc_surface_soil_heat_flux_1,qc_surface_soil_heat_flux_2,qc_surface_soil_heat_flux_3,qc_surface_soil_heat_flux_avg,qc_temp_net_radiometer,qc_up_long,qc_up_short_hemisp,qc_wetness,soil_heat_capacity_1,soil_heat_capacity_2,soil_heat_capacity_3,soil_heat_flow_1,soil_heat_flow_2,soil_heat_flow_3,soil_moisture_1,soil_moisture_2,soil_moisture_3,soil_temp_1,soil_temp_2,soil_temp_3,surface_energy_balance,surface_soil_heat_flux_1,surface_soil_heat_flux_2,surface_soil_heat_flux_3,surface_soil_heat_flux_avg,time_offset,up_long,up_short_hemisp,wetness
2025-05-11 00:00:00,0.1604486,64.0,2025-05-11,,,,335.2791,34.64133,,,,39.3105,-76.62375,,0,0,1,1,1,0,0,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,,,,,,,,,,,,,,,,,,2025-05-11 00:00:00,,5.561467,3.037555
2025-05-11 00:30:00,0.1170981,64.0,2025-05-11,,,,335.8824,-3.649474,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 00:30:00,,-0.4387937,3.037516
2025-05-11 01:00:00,0.1522499,64.0,2025-05-11,,,,331.7541,-6.752491,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 01:00:00,,-1.029952,3.037324
2025-05-11 01:30:00,0.1798491,64.0,2025-05-11,,,,333.7604,-6.385535,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 01:30:00,,-1.149499,3.036911
2025-05-11 02:00:00,0.1806275,64.0,2025-05-11,,,,326.6194,-6.499559,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 02:00:00,,-1.174063,3.036613
2025-05-11 02:30:00,0.1938021,64.0,2025-05-11,,,,324.4737,-6.410348,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 02:30:00,,-1.245718,3.036218
2025-05-11 03:00:00,0.2210266,64.0,2025-05-11,,,,326.2798,-6.03266,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 03:00:00,,-1.337008,3.035859
2025-05-11 03:30:00,0.2392242,64.0,2025-05-11,,,,328.3947,-5.76724,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 03:30:00,,-1.381131,3.035516
2025-05-11 04:00:00,0.2592012,64.0,2025-05-11,,,,330.828,-5.37473,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 04:00:00,,-1.38691,3.035056
2025-05-11 04:30:00,0.2663374,64.0,2025-05-11,,,,331.6617,-5.165785,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 04:30:00,,-1.382612,3.03502
2025-05-11 05:00:00,0.2726439,64.0,2025-05-11,,,,329.2688,-5.493649,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 05:00:00,,-1.500164,3.034795
2025-05-11 05:30:00,0.292603,64.0,2025-05-11,,,,330.1701,-5.180081,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 05:30:00,,-1.514387,3.034488
2025-05-11 06:00:00,0.2677667,64.0,2025-05-11,,,,323.516,-5.504517,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 06:00:00,,-1.470117,3.033973
2025-05-11 06:30:00,0.2526369,64.0,2025-05-11,,,,321.1671,-5.658845,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 06:30:00,,-1.428563,3.033275
2025-05-11 07:00:00,0.2352143,64.0,2025-05-11,,,,319.8153,-5.602366,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 07:00:00,,-1.318608,3.031902
2025-05-11 07:30:00,0.2437108,64.0,2025-05-11,,,,319.1788,-5.402289,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 07:30:00,,-1.316384,3.030807
2025-05-11 08:00:00,0.2557664,64.0,2025-05-11,,,,317.3006,-5.377985,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 08:00:00,,-1.377387,3.029891
2025-05-11 08:30:00,0.2694899,64.0,2025-05-11,,,,316.4435,-5.332156,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 08:30:00,,-1.437946,3.029264
2025-05-11 09:00:00,0.2614738,64.0,2025-05-11,,,,315.0507,-5.402571,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 09:00:00,,-1.411224,3.02859
2025-05-11 09:30:00,0.2399336,64.0,2025-05-11,,,,313.1475,-5.471858,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 09:30:00,,-1.32041,3.025403
2025-05-11 10:00:00,0.5669923,64.0,2025-05-11,,,,313.7397,-5.214835,,,,39.3105,-76.62375,,0,0,1,1,1,0,2,1,1,1,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,2025-05-11 10:00:00,,-3.001905,3.02417
