variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,67,95.52,4.48,94.03,0.0
P_P,2,67,100.0,0.0,82.09,0.0
P_P,3,65,95.38,4.62,76.92,0.0
P_P,4,64,98.44,1.56,64.06,0.0
P_P,5,64,96.88,3.12,53.12,0.0
P_T,0,44,75.0,25.0,31.82,0.0
P_T,1,43,76.74,23.26,32.56,0.0
P_T,2,45,75.56,24.44,31.11,0.0
P_T,3,46,73.91,26.09,30.43,0.0
P_T,4,44,75.0,25.0,34.09,0.0
P_T,5,45,73.33,26.67,33.33,0.0
P_H,0,39,69.23,30.77,12.82,2.56
P_H,1,38,71.05,28.95,15.79,2.63
P_H,2,38,68.42,31.58,15.79,2.63
P_H,3,37,72.97,27.03,16.22,2.7
P_H,4,35,71.43,28.57,14.29,2.86
P_H,5,33,72.73,27.27,15.15,3.03
T_P,0,44,75.0,25.0,31.82,0.0
T_P,1,47,72.34,27.66,29.79,0.0
T_P,2,45,80.0,20.0,28.89,0.0
T_P,3,44,79.55,20.45,29.55,0.0
T_P,4,43,79.07,20.93,30.23,0.0
T_P,5,42,83.33,16.67,30.95,0.0
T_T,1,67,95.52,4.48,95.52,0.0
T_T,2,67,97.01,2.99,94.03,0.0
T_T,3,67,95.52,4.48,92.54,0.0
T_T,4,67,95.52,4.48,91.04,0.0
T_T,5,67,95.52,4.48,91.04,0.0
T_H,0,55,89.09,10.91,41.82,3.64
T_H,1,58,79.31,20.69,29.31,3.45
T_H,2,59,81.36,18.64,27.12,3.39
T_H,3,58,81.03,18.97,27.59,3.45
T_H,4,59,81.36,18.64,23.73,1.69
T_H,5,57,80.7,19.3,21.05,1.75
H_P,0,39,69.23,30.77,12.82,2.56
H_P,1,39,71.79,28.21,12.82,5.13
H_P,2,41,70.73,29.27,12.2,4.88
H_P,3,42,69.05,30.95,11.9,4.76
H_P,4,40,70.0,30.0,12.5,5.0
H_P,5,40,67.5,32.5,12.5,5.0
H_T,0,55,89.09,10.91,41.82,3.64
H_T,1,58,81.03,18.97,32.76,3.45
H_T,2,61,83.61,16.39,29.51,3.28
H_T,3,59,81.36,18.64,30.51,3.39
H_T,4,59,77.97,22.03,28.81,3.39
H_T,5,59,83.05,16.95,32.2,3.39
H_H,1,67,94.03,5.97,94.03,0.0
H_H,2,67,95.52,4.48,92.54,0.0
H_H,3,66,93.94,6.06,89.39,0.0
H_H,4,66,93.94,6.06,86.36,0.0
H_H,5,67,95.52,4.48,85.07,0.0
