variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,67,97.01,2.99,94.03,0.0
P_P,2,67,97.01,2.99,80.6,0.0
P_P,3,65,96.92,3.08,76.92,0.0
P_P,4,64,98.44,1.56,68.75,0.0
P_P,5,64,98.44,1.56,53.12,0.0
P_T,0,44,72.73,27.27,34.09,0.0
P_T,1,43,74.42,25.58,34.88,0.0
P_T,2,45,75.56,24.44,33.33,0.0
P_T,3,46,73.91,26.09,34.78,0.0
P_T,4,44,75.0,25.0,38.64,0.0
P_T,5,45,73.33,26.67,37.78,0.0
P_H,0,39,61.54,38.46,15.38,2.56
P_H,1,38,63.16,36.84,18.42,2.63
P_H,2,38,63.16,36.84,18.42,2.63
P_H,3,37,67.57,32.43,18.92,2.7
P_H,4,35,65.71,34.29,17.14,2.86
P_H,5,33,69.7,30.3,18.18,3.03
T_P,0,44,72.73,27.27,34.09,0.0
T_P,1,47,65.96,34.04,31.91,0.0
T_P,2,45,68.89,31.11,31.11,0.0
T_P,3,44,70.45,29.55,31.82,0.0
T_P,4,43,69.77,30.23,30.23,0.0
T_P,5,42,73.81,26.19,30.95,0.0
T_T,1,67,100.0,0.0,95.52,0.0
T_T,2,67,95.52,4.48,94.03,0.0
T_T,3,67,95.52,4.48,92.54,0.0
T_T,4,67,98.51,1.49,91.04,0.0
T_T,5,67,97.01,2.99,91.04,0.0
T_H,0,55,89.09,10.91,36.36,3.64
T_H,1,58,86.21,13.79,24.14,3.45
T_H,2,59,79.66,20.34,22.03,3.39
T_H,3,58,77.59,22.41,22.41,3.45
T_H,4,59,79.66,20.34,22.03,1.69
T_H,5,57,77.19,22.81,22.81,1.75
H_P,0,39,61.54,38.46,15.38,2.56
H_P,1,39,61.54,38.46,15.38,5.13
H_P,2,41,63.41,36.59,14.63,4.88
H_P,3,42,59.52,40.48,14.29,4.76
H_P,4,40,57.5,42.5,15.0,5.0
H_P,5,40,57.5,42.5,15.0,2.5
H_T,0,55,89.09,10.91,36.36,3.64
H_T,1,58,82.76,17.24,27.59,3.45
H_T,2,61,78.69,21.31,26.23,3.28
H_T,3,59,77.97,22.03,25.42,3.39
H_T,4,59,81.36,18.64,25.42,3.39
H_T,5,59,83.05,16.95,28.81,3.39
H_H,1,67,98.51,1.49,94.03,0.0
H_H,2,67,94.03,5.97,92.54,0.0
H_H,3,66,93.94,6.06,90.91,0.0
H_H,4,66,98.48,1.52,86.36,0.0
H_H,5,67,97.01,2.99,83.58,0.0
T_aero,0,56,62.5,37.5,3.57,1.79
T_aero,1,56,60.71,39.29,3.57,1.79
T_aero,2,55,61.82,38.18,3.64,1.82
T_aero,3,54,61.11,38.89,1.85,1.85
T_aero,4,55,63.64,36.36,1.82,1.82
T_aero,5,53,60.38,39.62,1.89,1.89
H_aero,0,58,55.17,44.83,6.9,0.0
H_aero,1,58,53.45,46.55,6.9,0.0
H_aero,2,58,53.45,46.55,6.9,0.0
H_aero,3,58,53.45,46.55,6.9,0.0
H_aero,4,57,54.39,45.61,5.26,0.0
H_aero,5,57,56.14,43.86,5.26,0.0
aero_T,0,56,62.5,37.5,3.57,1.79
aero_T,1,56,58.93,41.07,3.57,1.79
aero_T,2,56,58.93,41.07,3.57,1.79
aero_T,3,55,56.36,43.64,1.82,1.82
aero_T,4,56,57.14,42.86,1.79,1.79
aero_T,5,58,56.9,43.1,1.72,1.72
aero_H,0,58,55.17,44.83,6.9,0.0
aero_H,1,57,50.88,49.12,7.02,0.0
aero_H,2,56,58.93,41.07,7.14,0.0
aero_H,3,56,58.93,41.07,7.14,0.0
aero_H,4,55,58.18,41.82,5.45,0.0
aero_H,5,53,56.6,43.4,7.55,0.0
aero_aero,1,67,97.01,2.99,94.03,0.0
aero_aero,2,67,97.01,2.99,94.03,0.0
aero_aero,3,67,95.52,4.48,92.54,0.0
aero_aero,4,66,96.97,3.03,93.94,0.0
aero_aero,5,66,96.97,3.03,90.91,0.0
P_aero,0,42,40.48,59.52,2.38,0.0
P_aero,1,42,45.24,54.76,0.0,0.0
P_aero,2,43,41.86,58.14,0.0,0.0
P_aero,3,43,41.86,58.14,0.0,0.0
P_aero,4,44,40.91,59.09,0.0,2.27
P_aero,5,45,42.22,57.78,0.0,2.22
aero_P,0,42,40.48,59.52,2.38,0.0
aero_P,1,44,43.18,56.82,0.0,0.0
aero_P,2,43,41.86,58.14,0.0,0.0
aero_P,3,44,40.91,59.09,0.0,0.0
aero_P,4,43,37.21,62.79,0.0,0.0
aero_P,5,44,36.36,63.64,0.0,0.0
