variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,55,80.0,20.0,56.36,0.0
P_P,2,42,83.33,16.67,30.95,0.0
P_P,3,36,91.67,8.33,25.0,0.0
P_P,4,24,83.33,16.67,4.17,0.0
P_P,5,16,87.5,12.5,0.0,0.0
P_T,0,10,80.0,20.0,10.0,0.0
P_T,1,8,50.0,50.0,12.5,0.0
P_T,2,8,37.5,62.5,0.0,0.0
P_T,5,10,30.0,70.0,0.0,0.0
P_T,3,10,50.0,50.0,0.0,0.0
P_T,4,12,50.0,50.0,0.0,0.0
P_H,3,10,70.0,30.0,0.0,0.0
P_H,4,12,75.0,25.0,8.33,0.0
P_H,0,12,66.67,33.33,0.0,0.0
P_H,1,11,54.55,45.45,0.0,0.0
P_H,2,9,77.78,22.22,0.0,0.0
P_H,5,12,66.67,33.33,8.33,0.0
T_P,0,10,80.0,20.0,10.0,0.0
T_P,1,12,66.67,33.33,0.0,0.0
T_P,2,11,63.64,36.36,0.0,0.0
T_P,3,13,61.54,38.46,0.0,0.0
T_P,4,13,76.92,23.08,0.0,0.0
T_P,5,12,75.0,25.0,0.0,0.0
T_T,1,66,90.91,9.09,78.79,0.0
T_T,2,65,89.23,10.77,73.85,0.0
T_T,3,61,81.97,18.03,60.66,0.0
T_T,4,59,84.75,15.25,50.85,0.0
T_T,5,55,85.45,14.55,40.0,0.0
T_H,2,45,62.22,37.78,11.11,0.0
T_H,5,39,53.85,46.15,7.69,0.0
T_H,0,52,76.92,23.08,46.15,3.85
T_H,1,44,54.55,45.45,11.36,0.0
T_H,3,44,56.82,43.18,11.36,0.0
T_H,4,43,53.49,46.51,11.63,0.0
H_P,0,12,66.67,33.33,0.0,0.0
H_P,1,11,63.64,36.36,0.0,0.0
H_P,2,10,50.0,50.0,0.0,0.0
H_P,3,12,58.33,41.67,0.0,0.0
H_P,4,11,72.73,27.27,0.0,0.0
H_P,5,9,88.89,11.11,0.0,0.0
H_T,0,52,76.92,23.08,46.15,3.85
H_T,1,50,64.0,36.0,18.0,2.0
H_T,2,48,62.5,37.5,14.58,2.08
H_T,3,47,53.19,46.81,10.64,2.13
H_T,5,45,51.11,48.89,8.89,2.22
H_T,4,44,52.27,47.73,9.09,4.55
H_H,1,64,75.0,25.0,60.94,0.0
H_H,2,56,80.36,19.64,57.14,0.0
H_H,3,53,69.81,30.19,49.06,0.0
H_H,5,46,76.09,23.91,34.78,0.0
H_H,4,49,71.43,28.57,34.69,0.0
T_aero,2,40,60.0,40.0,0.0,0.0
T_aero,3,42,61.9,38.1,0.0,0.0
T_aero,4,40,62.5,37.5,0.0,2.5
T_aero,5,39,56.41,43.59,0.0,0.0
T_aero,0,42,52.38,47.62,4.76,2.38
T_aero,1,40,55.0,45.0,2.5,0.0
H_aero,3,31,54.84,45.16,6.45,0.0
H_aero,4,31,58.06,41.94,6.45,0.0
H_aero,5,30,53.33,46.67,0.0,0.0
H_aero,0,34,55.88,44.12,11.76,0.0
H_aero,1,32,46.88,53.12,9.38,0.0
H_aero,2,31,48.39,51.61,9.68,0.0
aero_T,0,42,52.38,47.62,4.76,2.38
aero_T,1,46,54.35,45.65,4.35,2.17
aero_T,2,42,57.14,42.86,4.76,0.0
aero_T,3,42,54.76,45.24,2.38,0.0
aero_T,4,41,56.1,43.9,2.44,0.0
aero_T,5,41,53.66,46.34,2.44,0.0
aero_H,0,34,55.88,44.12,11.76,0.0
aero_H,1,34,41.18,58.82,8.82,0.0
aero_H,2,32,46.88,53.12,9.38,0.0
aero_H,3,31,58.06,41.94,12.9,0.0
aero_H,4,32,50.0,50.0,9.38,0.0
aero_H,5,31,54.84,45.16,6.45,0.0
aero_aero,1,63,76.19,23.81,69.84,0.0
aero_aero,2,61,78.69,21.31,63.93,0.0
aero_aero,3,56,76.79,23.21,53.57,0.0
aero_aero,4,53,84.91,15.09,47.17,0.0
aero_aero,5,51,76.47,23.53,35.29,0.0
P_aero,4,15,46.67,53.33,0.0,0.0
P_aero,5,17,47.06,52.94,0.0,0.0
P_aero,0,19,57.89,42.11,5.26,0.0
P_aero,1,21,52.38,47.62,4.76,0.0
P_aero,2,15,53.33,46.67,0.0,0.0
P_aero,3,14,57.14,42.86,0.0,0.0
aero_P,0,19,57.89,42.11,5.26,0.0
aero_P,1,18,55.56,44.44,5.56,0.0
aero_P,2,18,66.67,33.33,5.56,0.0
aero_P,3,14,71.43,28.57,0.0,0.0
aero_P,4,13,53.85,46.15,0.0,0.0
aero_P,5,11,63.64,36.36,0.0,0.0
