variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,81,85.19,14.81,71.6,0.0
P_P,2,69,89.86,10.14,56.52,0.0
P_P,3,63,92.06,7.94,55.56,0.0
P_P,4,53,90.57,9.43,45.28,0.0
P_P,5,47,95.74,4.26,31.91,0.0
P_T,0,31,70.97,29.03,16.13,0.0
P_T,1,28,67.86,32.14,17.86,0.0
P_T,2,30,60.0,40.0,13.33,0.0
P_T,3,32,59.38,40.62,15.62,0.0
P_T,4,31,58.06,41.94,19.35,0.0
P_T,5,31,54.84,45.16,19.35,0.0
P_H,0,24,54.17,45.83,0.0,4.17
P_H,1,23,52.17,47.83,4.35,4.35
P_H,2,23,56.52,43.48,4.35,4.35
P_H,3,22,59.09,40.91,4.55,4.55
P_H,4,22,59.09,40.91,4.55,4.55
P_H,5,20,60.0,40.0,5.0,5.0
T_P,0,31,70.97,29.03,16.13,0.0
T_P,1,33,63.64,36.36,12.12,0.0
T_P,2,33,60.61,39.39,9.09,0.0
T_P,3,35,60.0,40.0,8.57,0.0
T_P,4,34,61.76,38.24,5.88,0.0
T_P,5,31,67.74,32.26,6.45,0.0
T_T,1,91,95.6,4.4,86.81,0.0
T_T,2,90,93.33,6.67,83.33,0.0
T_T,3,87,89.66,10.34,73.56,0.0
T_T,4,85,92.94,7.06,68.24,0.0
T_T,5,81,92.59,7.41,65.43,0.0
T_H,0,67,77.61,22.39,40.3,4.48
T_H,1,65,64.62,35.38,10.77,3.08
T_H,2,66,65.15,34.85,10.61,3.03
T_H,3,64,60.94,39.06,10.94,3.12
T_H,4,63,60.32,39.68,12.7,1.59
T_H,5,58,60.34,39.66,12.07,1.72
H_P,0,24,54.17,45.83,0.0,4.17
H_P,1,25,48.0,52.0,0.0,8.0
H_P,2,26,42.31,57.69,0.0,7.69
H_P,3,28,46.43,53.57,0.0,7.14
H_P,4,26,46.15,53.85,0.0,7.69
H_P,5,25,48.0,52.0,0.0,4.0
H_T,0,67,77.61,22.39,40.3,4.48
H_T,1,69,65.22,34.78,18.84,4.35
H_T,2,71,64.79,35.21,15.49,4.23
H_T,3,67,58.21,41.79,11.94,4.48
H_T,4,65,60.0,40.0,12.31,6.15
H_T,5,66,60.61,39.39,15.15,4.55
H_H,1,89,85.39,14.61,76.4,0.0
H_H,2,82,87.8,12.2,74.39,0.0
H_H,3,78,83.33,16.67,67.95,0.0
H_H,4,74,86.49,13.51,58.11,0.0
H_H,5,74,87.84,12.16,56.76,0.0
T_aero,0,65,58.46,41.54,4.62,1.54
T_aero,1,63,57.14,42.86,3.17,0.0
T_aero,2,61,60.66,39.34,1.64,0.0
T_aero,3,62,62.9,37.1,1.61,0.0
T_aero,4,62,66.13,33.87,1.61,0.0
T_aero,5,58,58.62,41.38,1.72,0.0
H_aero,0,60,50.0,50.0,6.67,0.0
H_aero,1,58,44.83,55.17,5.17,0.0
H_aero,2,57,47.37,52.63,5.26,0.0
H_aero,3,57,49.12,50.88,5.26,0.0
H_aero,4,56,50.0,50.0,1.79,0.0
H_aero,5,55,47.27,52.73,1.82,0.0
aero_T,0,65,58.46,41.54,4.62,1.54
aero_T,1,68,55.88,44.12,2.94,1.47
aero_T,2,65,56.92,43.08,3.08,0.0
aero_T,3,65,52.31,47.69,1.54,0.0
aero_T,4,64,54.69,45.31,1.56,0.0
aero_T,5,65,55.38,44.62,1.54,0.0
aero_H,0,60,50.0,50.0,6.67,0.0
aero_H,1,59,38.98,61.02,5.08,0.0
aero_H,2,56,50.0,50.0,5.36,0.0
aero_H,3,55,50.91,49.09,3.64,0.0
aero_H,4,56,51.79,48.21,3.57,0.0
aero_H,5,53,50.94,49.06,3.77,0.0
aero_aero,1,88,86.36,13.64,81.82,0.0
aero_aero,2,87,87.36,12.64,78.16,0.0
aero_aero,3,83,87.95,12.05,73.49,0.0
aero_aero,4,81,90.12,9.88,67.9,0.0
aero_aero,5,80,87.5,12.5,60.0,0.0
P_aero,0,37,45.95,54.05,5.41,0.0
P_aero,1,38,47.37,52.63,2.63,0.0
P_aero,2,34,41.18,58.82,0.0,0.0
P_aero,3,32,43.75,56.25,0.0,0.0
P_aero,4,33,42.42,57.58,0.0,0.0
P_aero,5,36,47.22,52.78,0.0,0.0
aero_P,0,37,45.95,54.05,5.41,0.0
aero_P,1,36,47.22,52.78,2.78,0.0
aero_P,2,36,47.22,52.78,2.78,0.0
aero_P,3,36,50.0,50.0,0.0,0.0
aero_P,4,34,47.06,52.94,0.0,0.0
aero_P,5,34,47.06,52.94,0.0,0.0
