variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,30,96.67,3.33,86.67,0.0
P_P,2,29,93.1,6.9,72.41,0.0
P_P,3,28,100.0,0.0,67.86,0.0
P_P,4,25,100.0,0.0,68.0,0.0
P_P,5,24,95.83,4.17,66.67,0.0
P_T,0,19,78.95,21.05,42.11,0.0
P_T,1,18,77.78,22.22,44.44,0.0
P_T,2,18,83.33,16.67,44.44,0.0
P_T,3,19,84.21,15.79,42.11,0.0
P_T,4,19,84.21,15.79,42.11,0.0
P_T,5,18,77.78,22.22,44.44,0.0
P_H,0,21,66.67,33.33,23.81,0.0
P_H,1,20,70.0,30.0,25.0,0.0
P_H,2,18,72.22,27.78,27.78,0.0
P_H,3,19,73.68,26.32,26.32,0.0
P_H,4,19,73.68,26.32,26.32,0.0
P_H,5,19,73.68,26.32,26.32,0.0
T_P,0,19,78.95,21.05,42.11,0.0
T_P,1,21,66.67,33.33,38.1,0.0
T_P,2,19,73.68,26.32,42.11,0.0
T_P,3,18,77.78,22.22,44.44,0.0
T_P,4,18,83.33,16.67,44.44,0.0
T_P,5,19,78.95,21.05,42.11,0.0
T_T,1,31,93.55,6.45,87.1,0.0
T_T,2,31,90.32,9.68,83.87,0.0
T_T,3,30,86.67,13.33,83.33,0.0
T_T,4,30,90.0,10.0,76.67,0.0
T_T,5,30,90.0,10.0,70.0,0.0
T_H,0,31,96.77,3.23,41.94,3.23
T_H,1,28,92.86,7.14,32.14,0.0
T_H,2,28,85.71,14.29,28.57,0.0
T_H,3,29,86.21,13.79,27.59,0.0
T_H,4,29,89.66,10.34,24.14,0.0
T_H,5,28,85.71,14.29,21.43,0.0
H_P,0,21,66.67,33.33,23.81,0.0
H_P,1,19,73.68,26.32,26.32,0.0
H_P,2,19,78.95,21.05,26.32,0.0
H_P,3,20,70.0,30.0,25.0,0.0
H_P,4,20,70.0,30.0,25.0,0.0
H_P,5,19,73.68,26.32,26.32,0.0
H_T,0,31,96.77,3.23,41.94,3.23
H_T,1,30,93.33,6.67,30.0,0.0
H_T,2,28,85.71,14.29,32.14,0.0
H_T,3,29,86.21,13.79,31.03,0.0
H_T,4,28,89.29,10.71,28.57,0.0
H_T,5,28,89.29,10.71,28.57,0.0
H_H,1,31,87.1,12.9,77.42,0.0
H_H,2,30,86.67,13.33,76.67,0.0
H_H,3,30,80.0,20.0,76.67,0.0
H_H,4,30,86.67,13.33,73.33,0.0
H_H,5,28,89.29,10.71,78.57,0.0
T_aero,0,24,62.5,37.5,4.17,4.17
T_aero,1,24,62.5,37.5,4.17,4.17
T_aero,2,24,62.5,37.5,4.17,4.17
T_aero,3,24,62.5,37.5,0.0,4.17
T_aero,4,24,62.5,37.5,0.0,8.33
T_aero,5,25,60.0,40.0,0.0,4.0
H_aero,0,22,63.64,36.36,4.55,0.0
H_aero,1,22,59.09,40.91,4.55,0.0
H_aero,2,22,59.09,40.91,9.09,0.0
H_aero,3,22,59.09,40.91,4.55,0.0
H_aero,4,22,63.64,36.36,9.09,0.0
H_aero,5,23,69.57,30.43,4.35,0.0
aero_T,0,24,62.5,37.5,4.17,4.17
aero_T,1,24,66.67,33.33,4.17,4.17
aero_T,2,24,66.67,33.33,4.17,4.17
aero_T,3,23,69.57,30.43,0.0,4.35
aero_T,4,24,66.67,33.33,0.0,4.17
aero_T,5,25,60.0,40.0,0.0,4.0
aero_H,0,22,63.64,36.36,4.55,0.0
aero_H,1,22,63.64,36.36,4.55,0.0
aero_H,2,23,60.87,39.13,4.35,0.0
aero_H,3,23,69.57,30.43,13.04,0.0
aero_H,4,22,59.09,40.91,9.09,0.0
aero_H,5,22,63.64,36.36,9.09,0.0
aero_aero,1,31,87.1,12.9,80.65,0.0
aero_aero,2,30,86.67,13.33,76.67,0.0
aero_aero,3,29,82.76,17.24,75.86,0.0
aero_aero,4,27,92.59,7.41,81.48,0.0
aero_aero,5,27,88.89,11.11,81.48,0.0
P_aero,0,17,47.06,52.94,0.0,0.0
P_aero,1,18,50.0,50.0,0.0,0.0
P_aero,2,18,50.0,50.0,0.0,0.0
P_aero,3,19,47.37,52.63,0.0,0.0
P_aero,4,20,45.0,55.0,0.0,5.0
P_aero,5,21,42.86,57.14,0.0,4.76
aero_P,0,17,47.06,52.94,0.0,0.0
aero_P,1,19,47.37,52.63,0.0,0.0
aero_P,2,20,50.0,50.0,0.0,0.0
aero_P,3,18,44.44,55.56,0.0,0.0
aero_P,4,18,33.33,66.67,0.0,0.0
aero_P,5,17,35.29,64.71,0.0,0.0
