Relation,Lag,Percentage,Count,Total Samples
P → P,1,91.54,119,130
P → P,2,82.31,107,130
P → P,3,76.15,99,130
P → P,4,66.92,87,130
P → P,5,60.77,79,130
P → T,0,40.77,53,130
P → T,1,38.46,50,130
P → T,2,40.0,52,130
P → T,3,42.31,55,130
P → T,4,42.31,55,130
P → T,5,41.54,54,130
P → H,0,38.46,50,130
P → H,1,36.92,48,130
P → H,2,35.38,46,130
P → H,3,35.38,46,130
P → H,4,35.38,46,130
P → H,5,33.85,44,130
P → aero,0,46.15,60,130
P → aero,1,47.69,62,130
P → aero,2,43.85,57,130
P → aero,3,43.08,56,130
P → aero,4,44.62,58,130
P → aero,5,46.92,61,130
T → P,0,40.77,53,130
T → P,1,44.62,58,130
T → P,2,42.31,55,130
T → P,3,43.08,56,130
T → P,4,42.31,55,130
T → P,5,40.77,53,130
T → T,1,99.23,129,130
T → T,2,98.46,128,130
T → T,3,95.38,124,130
T → T,4,93.85,122,130
T → T,5,90.77,118,130
T → H,0,79.23,103,130
T → H,1,75.38,98,130
T → H,2,76.92,100,130
T → H,3,75.38,98,130
T → H,4,75.38,98,130
T → H,5,71.54,93,130
T → aero,0,73.85,96,130
T → aero,1,72.31,94,130
T → aero,2,72.31,94,130
T → aero,3,72.31,94,130
T → aero,4,71.54,93,130
T → aero,5,70.0,91,130
H → P,0,38.46,50,130
H → P,1,37.69,49,130
H → P,2,38.46,50,130
H → P,3,40.77,53,130
H → P,4,38.46,50,130
H → P,5,36.92,48,130
H → T,0,79.23,103,130
H → T,1,80.0,104,130
H → T,2,80.77,105,130
H → T,3,78.46,102,130
H → T,4,76.15,99,130
H → T,5,76.92,100,130
H → H,1,97.69,127,130
H → H,2,91.54,119,130
H → H,3,88.46,115,130
H → H,4,85.38,111,130
H → H,5,84.62,110,130
H → aero,0,70.0,91,130
H → aero,1,68.46,89,130
H → aero,2,67.69,88,130
H → aero,3,67.69,88,130
H → aero,4,66.92,87,130
H → aero,5,66.15,86,130
aero → P,0,46.15,60,130
aero → P,1,46.92,61,130
aero → P,2,46.15,60,130
aero → P,3,44.62,58,130
aero → P,4,43.08,56,130
aero → P,5,42.31,55,130
aero → T,0,73.85,96,130
aero → T,1,76.92,100,130
aero → T,2,74.62,97,130
aero → T,3,73.08,95,130
aero → T,4,73.08,95,130
aero → T,5,74.62,97,130
aero → H,0,70.0,91,130
aero → H,1,69.23,90,130
aero → H,2,66.92,87,130
aero → H,3,66.15,86,130
aero → H,4,66.15,86,130
aero → H,5,63.85,83,130
aero → aero,1,99.23,129,130
aero → aero,2,97.69,127,130
aero → aero,3,93.85,122,130
aero → aero,4,91.54,119,130
aero → aero,5,90.0,117,130
