period,start_time,end_time,duration_hours,avg_precip,P_P_coef,P_T_coef,P_H_coef,P_CO2_coef,P_aero_coef,T_P_coef,T_T_coef,T_H_coef,T_CO2_coef,T_aero_coef,H_P_coef,H_T_coef,H_H_coef,H_CO2_coef,H_aero_coef,CO2_P_coef,CO2_T_coef,CO2_H_coef,CO2_CO2_coef,CO2_aero_coef,aero_P_coef,aero_T_coef,aero_H_coef,aero_CO2_coef,aero_aero_coef,P_P_elem,P_T_elem,P_H_elem,P_CO2_elem,P_aero_elem,T_P_elem,T_T_elem,T_H_elem,T_CO2_elem,T_aero_elem,H_P_elem,H_T_elem,H_H_elem,H_CO2_elem,H_aero_elem,CO2_P_elem,CO2_T_elem,CO2_H_elem,CO2_CO2_elem,CO2_aero_elem,aero_P_elem,aero_T_elem,aero_H_elem,aero_CO2_elem,aero_aero_elem
morning,2024-12-01 04:00:00,2024-12-01 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.8116965286685752]","[0.1953482620516417, 0.21931461387428247]","[-0.05662916968845089, -0.07255595905479138]","[-0.05041969631418684, 0.010287107903765373]","[0.0, 0.0]","[0.1953482620516417, 0.20046994536445212]","[0.0, 0.9831810802421465]","[-0.12483248112590843, -0.12077187247291989]","[0.11260576951593339, 0.12474053300078286]","[0.0, 0.0]","[-0.05662916968845089, -0.019331163921204566]","[-0.12483248112590843, -0.053608883808184106]","[0.0, -0.07048211566884796]","[-0.18326662905928465, 0.05657224477223119]","[0.0, 0.0]","[-0.05041969631418684, -0.013953759655223634]","[0.11260576951593339, 0.09261335052616368]","[-0.18326662905928465, 0.03179383988112214]","[0.0, -0.045829378279399216]",[],[],[],[],[],[],[1],"[0, 1]",[],[],[],"[0, 1]",[1],[],[],[],[],[],[],[],[],[],[],[],[]
morning,2024-12-02 04:00:00,2024-12-02 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.34057737879425]","[0.32855869142921207, -0.15494380036653238]","[-0.15163199385398526, -0.5689064630009347]","[-0.3834603134306745, 0.044302857217802895]","[0.0, 0.0]","[0.32855869142921207, 0.17838796665867956]","[0.0, -0.08842974874633586]","[0.49303484464801806, -0.2070616859941417]","[-0.32918566153171297, -0.0004991172095111934]","[0.0, 0.0]","[-0.15163199385398526, -0.051284893904695504]","[0.49303484464801806, 0.0073328659559598105]","[0.0, 0.0811448217732016]","[-0.06625419455503187, -0.00697596773101154]","[0.0, 0.0]","[-0.3834603134306745, -0.1963303175833767]","[-0.32918566153171297, 0.05532895023429769]","[-0.06625419455503187, 0.2790162537182543]","[0.0, -0.045829378279399216]",[],[],[],[],[],[],[1],"[0, 1]",[],[],[],[0],[],[],[],[],[],[],[],[],[],[],[],[],[]
morning,2024-12-03 04:00:00,2024-12-03 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.02270234006487185]","[0.22201091807781442, 0.1898019881270576]","[-0.2481714105885825, 0.04467812053366539]","[-0.3126370499512914, -0.016250974767299253]","[0.0, 0.0]","[0.22201091807781442, -0.22762611480853318]","[0.0, 0.5328330470524606]","[0.05324989912763157, -0.03620909799204073]","[0.009240164083755461, 0.03137847056772345]","[0.0, 0.0]","[-0.2481714105885825, 0.00158081676832873]","[0.05324989912763157, -0.013847613213418881]","[0.0, -0.07428172616027173]","[0.1929465365158304, 0.0396688323197757]","[0.0, 0.0]","[-0.3126370499512914, -0.009745199424951041]","[0.009240164083755461, -0.01260959033811229]","[0.1929465365158304, 0.04730825834604869]","[0.0, -0.045829378279399216]",[],[],[],[],[],[],[1],"[0, 1]",[],[],[],"[0, 1]",[1],[],[],[],[],[],[],[],[],[],[],[],[]
morning,2024-12-04 04:00:00,2024-12-04 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.09471301573974353]","[0.20127831962378892, -0.032569365176213325]","[-0.0627110585289013, -0.7409588536582363]","[-0.21717530270556235, -0.008257334765081618]","[0.0, 0.0]","[0.20127831962378892, 0.37642618635551034]","[0.0, -0.04867092149128487]","[0.0882658396634102, -0.19331500864477819]","[-0.560041991177776, 0.009699528212749739]","[0.0, 0.0]","[-0.0627110585289013, 0.059755966102516704]","[0.0882658396634102, 0.06318602109603949]","[0.0, 0.05389829400736139]","[-0.04410608358430695, -0.07491821470779596]","[0.0, 0.0]","[-0.21717530270556235, -0.5218491957420776]","[-0.560041991177776, 0.041709289889085746]","[-0.04410608358430695, 0.18854454733763645]","[0.0, -0.03733450613446785]",[],[],[],[],[],[],[1],[],[1],[0],[],[],[1],[],[0],[],[],[],[],[0],[],"[0, 1]",[0],[0],[]
morning,2024-12-05 04:00:00,2024-12-05 14:00:00,10,0.034,"[0.0, 0.0008367822952566573]","[-0.1371377153344833, 0.038366106525465724]","[0.3171855434307135, 0.015196683884840865]","[0.235862622708733, -0.04455350265800003]","[0.010195955266394977, 0.02418769381445758]","[-0.1371377153344833, -0.0031794156738293574]","[0.0, -0.05082012793359622]","[-0.5279328451801383, 0.009284572950516047]","[-0.5320533978773846, -0.004024009970669236]","[-0.04283860101327524, -0.02455881529228259]","[0.3171855434307135, 0.02425114516116799]","[-0.5279328451801383, 0.017802379777168507]","[0.0, -0.004305709052827885]","[0.7558360613432727, -0.010471827682522519]","[0.01081298986151535, 0.03646000032675159]","[0.235862622708733, -0.002134480427709275]","[-0.5320533978773846, -0.0029038764554382254]","[0.7558360613432727, 0.0009358308461885178]","[0.0, -0.024361474862915494]","[0.084211581447742, 0.05915561149768209]","[0.010195955266394977, 0.31346699202274136]","[-0.04283860101327524, -0.09215049918305351]","[0.01081298986151535, 0.1613189061371829]","[0.084211581447742, 0.1567672209030775]","[0.0, 0.7577709626391289]",[],[],[0],[],[],[],[],[],[],[],[0],[],[],[],[],[],[],[],[],[],[],[],[],[],[1]
morning,2024-12-06 04:00:00,2024-12-06 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.5741024312384005]","[0.22253040556049056, 0.12683772687335543]","[-0.35857539664301447, -0.6319924956043368]","[-0.016277734270350574, -0.1122681976749439]","[0.0, 0.0]","[0.22253040556049056, 0.21577850968680018]","[0.0, 0.4981767369508765]","[0.019034964869118855, -0.210084591597936]","[0.003008612112283334, -0.11145513653933992]","[0.0, 0.0]","[-0.35857539664301447, -0.257246711606831]","[0.019034964869118855, -0.0024599253805862955]","[0.0, 0.32521264421292184]","[0.17438818227017217, 0.1418012313309329]","[0.0, 0.0]","[-0.016277734270350574, 0.05148920762833596]","[0.003008612112283334, -0.048448466390127655]","[0.17438818227017217, -0.016161055846612007]","[0.0, -0.0438664419562254]",[],[],[],[],[],[],[1],"[0, 1]","[0, 1]","[0, 1]",[],"[0, 1]",[1],"[0, 1]","[0, 1]",[],"[0, 1]","[0, 1]",[1],[],[],[0],[0],[],[]
morning,2024-12-07 04:00:00,2024-12-07 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.47635035667268383]","[-0.18915665398256498, 0.17819818514864844]","[-0.2031270232940674, -0.3377024948550208]","[-0.04546873405090112, 0.10355576899592127]","[0.0, 0.0]","[-0.18915665398256498, -0.12362217920866311]","[0.0, -0.03799541219474673]","[0.04969864936044585, 0.1012827086449843]","[0.4237421894823602, 0.06489317232299416]","[0.0, 0.0]","[-0.2031270232940674, -0.16557247311514064]","[0.04969864936044585, -0.08341538156836784]","[0.0, 0.35298064651042405]","[0.4237689885462446, -0.07534881133745376]","[0.0, 0.0]","[-0.04546873405090112, -0.022012205921205407]","[0.4237421894823602, 0.007769006829180658]","[0.4237689885462446, 0.1767458034682795]","[0.0, -0.003972115568291234]",[],[],[],[],[],[],[1],[],"[0, 1]",[],[],[],[],[],[0],[],[0],[],[1],[],[],[],[0],[],[1]
morning,2024-12-08 04:00:00,2024-12-08 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.9518122110882642]","[0.04749842145147449, 0.018479702409228423]","[-0.01747917479265468, -0.047278431503482474]","[-0.04075220112979326, -0.027718780987729914]","[0.0, 0.0]","[0.04749842145147449, 0.06275049472134835]","[0.0, 0.03831602356007777]","[-0.1138298452138033, 0.09313357683233203]","[0.08833658490829648, 0.02267849243943656]","[0.0, 0.0]","[-0.01747917479265468, -0.03764350191798842]","[-0.1138298452138033, -0.47085250133413137]","[0.0, -0.04482544495988962]","[0.06587629312542526, -0.019625072345839007]","[0.0, 0.0]","[-0.04075220112979326, -0.027962342853233468]","[0.08833658490829648, -0.07940910067565593]","[0.06587629312542526, 0.015375681338020331]","[0.0, 0.3941207053678919]",[],[],[],[],[],[],[1],"[0, 1]",[1],[],[],"[0, 1]",[1],[],[],[],[],[],[1],"[0, 1]",[],[],[],"[0, 1]",[1]
morning,2024-12-09 04:00:00,2024-12-09 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.08387950450419315]","[-0.03504341238101465, -0.012902292213764877]","[0.03626001470212613, -0.7866671903787116]","[0.2255311421501692, -0.43762058086840155]","[0.0, 0.0]","[-0.03504341238101465, -0.03511299338056219]","[0.0, 0.9671097558229387]","[-0.01061728298141258, -0.006698174350179723]","[-0.11177383763421636, -0.10629046286238522]","[0.0, 0.0]","[0.03626001470212613, 0.039614524328476154]","[-0.01061728298141258, -0.004896353134014289]","[0.0, -0.11635794141308975]","[0.5919446703417137, -0.09025064687099861]","[0.0, 0.0]","[0.2255311421501692, 0.0064309771878103975]","[-0.11177383763421636, -0.06940097184176125]","[0.5919446703417137, -0.2604873969238102]","[0.0, -0.1643648661861203]",[],[],[],[],[],[],[1],"[0, 1]",[1],[],[],"[0, 1]",[1],[],[],[],[],[],[1],"[0, 1]",[],[],[],[0],[1]
morning,2024-12-10 04:00:00,2024-12-10 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.5115739180686366]","[0.027624456339471384, -0.03793634053332319]","[-0.22494403263173107, -0.13851765352328252]","[0.036285142967183846, 0.022489241951380193]","[0.0, 0.0]","[0.027624456339471384, 0.058331733269720784]","[0.0, -0.04141366214044153]","[-0.34482909427538716, -0.1608921181566309]","[0.4977987348437786, -0.03676217095156722]","[0.0, 0.0]","[-0.22494403263173107, -0.18261956164542445]","[-0.34482909427538716, 0.08670975275875077]","[0.0, 0.3456943594083921]","[-0.07306862293822171, 0.0333755355913791]","[0.0, 0.0]","[0.036285142967183846, 0.013507360548837]","[0.4977987348437786, -0.013050688567324907]","[-0.07306862293822171, -0.04879065595794669]","[0.0, -0.045829378279399216]",[],[],[],[],[],[],[1],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
