CO2 on Temperature,Aerosols on Temperature,Specific Humidity on Temperature,Specific Humidity on Aerosols,CO2 on Temperature interval 1,Aerosols on Temperature interval 1,Specific Humidity on Temperature interval 1,Specific Humidity on Aerosols interval 1,CO2 on Temperature interval 2,Aerosols on Temperature interval 2,Specific Humidity on Temperature interval 2,Specific Humidity on Aerosols interval 2
[0.17351731],[-0.24284718],[1.01214616],[-0.80257048],[-0.30024553],[-0.96624686],[-1.33399625],[-2.62341197],[0.55910247],[-0.04763535],[1.03177633],[-0.43831378]
[-0.35857972],[-0.03886167],[1.54133787],[-0.96352919],[-0.7713819],[-0.4396349],[-0.09940969],[-1.54697763],[0.12008988],[0.71023303],[2.90140778],[0.13303436]
[0.20251862],[-0.01511025],[0.85219677],[-0.15093673],[0.08430518],[-0.31450429],[-0.45848538],[-0.78685542],[0.88872354],[0.36267012],[0.82847884],[0.2765017]
[0.29359556],[-0.38596251],[0.60006729],[-0.67002109],[0.05083138],[-1.41257618],[-0.23782329],[-1.34990475],[1.28682484],[-0.19336911],[0.56193394],[-0.36839406]
[0.17584877],[0.3824891],[-0.69054409],[-0.51594391],[-0.38608043],[-0.88535027],[-1.38788016],[-0.95024376],[0.99870346],[0.37297602],[-0.40304824],[-0.2600541]
[0.10746834],[-0.74084598],[1.45617291],[0.13502788],[-0.18412252],[-1.66360735],[0.84896372],[-0.23234619],[0.52737005],[0.30679474],[2.07504028],[0.03029115]
[-1.88662581],[0.51314148],[-0.79599429],[1.33007296],[-2.71403904],[0.30697445],[-1.43237418],[0.71805569],[-0.82354697],[0.65503708],[0.06770614],[2.42063627]
[0.75311638],[-0.96674724],[1.15692071],[0.0451554],[-1.08605072],[-2.37700444],[-0.35353454],[-0.12442143],[0.79744369],[0.00423553],[1.20318085],[0.16528799]
[-1.28987128],[0.86975405],[0.01933122],[-0.4754226],[-1.19660765],[0.19739237],[0.14475974],[-0.79232675],[-0.0494807],[0.89232238],[1.66251822],[-0.12548497]
[0.65597083],[0.44970518],[0.81086737],[0.65047775],[0.08538356],[0.73959084],[-0.27742295],[0.48672834],[1.00034962],[1.6177216],[0.7254907],[0.78332652]
[-0.08053386],[0.64579822],[0.69538686],[0.78053802],[-0.33687893],[0.42686681],[0.52376192],[0.42069767],[0.09313589],[0.885129],[1.0609421],[0.9268157]
[-0.68742689],[-0.1701675],[1.1485944],[0.35105839],[-1.64766007],[-0.61778501],[-0.85262639],[0.42741421],[-0.48460512],[1.59958394],[1.32186355],[0.91186581]
[-0.1398889],[-0.92445208],[0.31637761],[0.51304425],[-0.38834512],[-1.02863365],[-0.10337676],[-0.02648996],[0.37139428],[-0.69596594],[0.83079069],[1.28362098]
[0.34750375],[-1.08844638],[-1.19936335],[-0.2556252],[0.03247596],[-0.86697365],[-1.22685907],[-0.41057278],[0.40669286],[-0.19375703],[-0.70699783],[-0.16559955]
[0.49826834],[-0.16260156],[0.57726394],[-0.96428037],[-0.08329597],[-0.15283779],[0.29199057],[-1.72288116],[0.88252956],[0.0462353],[0.77417772],[-0.77234783]
[-0.02862064],[1.22988385],[0.42000126],[0.34329396],[-0.18928177],[0.73442236],[0.2463233],[-0.84650622],[0.25156362],[2.03848357],[0.88702861],[-0.27340903]
[-0.59463355],[-0.17809071],[0.7721658],[1.07744209],[-2.71326978],[-0.70031369],[0.33531013],[0.89070442],[0.16095827],[0.07121055],[1.64218182],[1.27811035]
[0.34207696],[-0.40302958],[-0.07089491],[0.54312491],[-0.07435582],[-0.4879886],[-0.24558264],[0.08999804],[0.6411869],[-0.33210227],[0.01745651],[0.9617525]
[-1.76832789],[0.29923685],[1.26888455],[0.17652924],[-3.40947869],[0.48906191],[0.75052057],[0.10525556],[-1.7625487],[1.88697083],[1.30070555],[0.46793297]
[-1.95872434],[1.43228649],[1.25250043],[0.07638427],[-3.39319423],[-0.51817501],[-0.47626197],[-0.53963228],[0.0464966],[2.46323849],[2.20497395],[0.35686515]
[-1.40010072],[-0.21125592],[-0.79759268],[0.00180952],[-1.47784294],[0.02397284],[-0.7258153],[-0.2983184],[-0.01162257],[1.82768085],[0.26238847],[0.38373955]
[0.75077681],[0.41329146],[0.57624149],[0.63607004],[-0.38745033],[0.32524205],[-0.56299858],[0.47640662],[0.21277691],[0.71123371],[0.35919527],[0.87596811]
[0.53318383],[-0.4045413],[0.783808],[-0.45750576],[0.13768975],[-0.91003132],[0.3800751],[-0.76484413],[0.70839286],[-0.11017383],[1.51374615],[-0.25187407]
[-0.53184843],[-1.57945456],[0.53537855],[-0.5360181],[-0.58630458],[-1.7042378],[-0.15083723],[-0.61853564],[0.06885934],[-0.85365669],[0.70347648],[0.00102226]
[-0.12919448],[-1.01199055],[0.24420361],[0.06082452],[-0.23573742],[-1.23402068],[-0.03961766],[-0.40913442],[0.22526845],[-0.7366087],[0.36280576],[0.43793156]
[-0.82491428],[-0.28295602],[-0.1785232],[1.08782133],[-1.67549712],[-1.80738107],[-2.45590854],[0.44929333],[-0.28938875],[0.32444929],[1.32141906],[2.5070427]
[-0.9386024],[0.42872563],[0.45954672],[0.6848834],[-1.22506072],[0.07297788],[0.00553969],[0.44700473],[-0.3043352],[1.23087301],[0.73396104],[1.02560848]
[1.8191672],[-1.97136269],[-0.06932812],[-0.19910192],[0.96304435],[-2.64046517],[-0.56163452],[-0.52772986],[2.30285523],[-1.4240417],[0.32507432],[0.06778601]
[0.06121726],[-0.70015542],[0.14790865],[-0.27797963],[-1.21489371],[-1.642439],[-1.81190115],[-2.27435371],[1.5745465],[0.12799557],[1.40260027],[3.85164699]
[-0.93790017],[0.18630328],[0.56823191],[0.76460813],[-2.51892214],[-1.12980524],[-1.92579068],[0.12197951],[0.7619684],[1.7598554],[1.30171989],[0.47257797]
[0.0500375],[-0.15544141],[0.8281432],[1.01557251],[-0.13205122],[-0.44928953],[0.7589466],[0.73877956],[0.15926924],[-0.01437187],[1.32026544],[1.84914097]
[1.54648968],[-1.51755245],[0.26644908],[-0.54164498],[-0.17317252],[-1.82651697],[-0.20361424],[-0.69548621],[1.89236821],[-0.55248491],[0.36145097],[-0.39595121]
[-0.33435166],[-0.38392648],[-0.13381066],[-0.04741478],[-1.95805978],[-0.51040199],[-2.13649738],[-0.85467253],[0.99679726],[0.14013692],[1.64303715],[0.37858153]
[0.14406216],[0.99756666],[-0.68679107],[0.52315566],[-0.56366223],[0.27147489],[-1.44342907],[0.20726937],[0.63339859],[1.74254627],[-0.08868148],[0.72779945]
[-0.19316948],[-0.91478107],[1.27521169],[0.85535303],[-0.38075615],[-1.06648594],[-0.12499076],[0.55356391],[0.23715264],[0.25123526],[1.29675573],[1.18300137]
[0.51270299],[-1.17047252],[-0.21020151],[-0.69448013],[-0.25772478],[-1.64479949],[-0.01299516],[-1.13001257],[2.1801664],[-0.4779951],[1.79086743],[-0.57883153]
