Relation,Lag,Percentage,Count,Total Samples
P → P,1,6.92,11,159
P → T,0,7.55,12,159
P → T,1,5.03,8,159
P → H,0,5.66,9,159
P → H,1,5.66,9,159
P → CO2,0,5.03,8,159
P → CO2,1,8.18,13,159
P → aero,0,4.4,7,159
P → aero,1,3.14,5,159
T → P,0,7.55,12,159
T → P,1,4.4,7,159
T → T,1,85.53,136,159
T → H,0,21.38,34,159
T → H,1,19.5,31,159
T → CO2,0,63.52,101,159
T → CO2,1,73.58,117,159
T → aero,0,23.9,38,159
T → aero,1,20.75,33,159
H → P,0,5.66,9,159
H → P,1,1.89,3,159
H → T,0,21.38,34,159
H → T,1,20.75,33,159
H → H,1,66.04,105,159
H → CO2,1,22.01,35,159
H → CO2,0,29.56,47,159
H → aero,0,26.42,42,159
H → aero,1,27.67,44,159
CO2 → P,0,5.03,8,159
CO2 → P,1,2.52,4,159
CO2 → T,0,63.52,101,159
CO2 → T,1,51.57,82,159
CO2 → H,0,29.56,47,159
CO2 → H,1,20.13,32,159
CO2 → CO2,1,83.02,132,159
CO2 → aero,0,38.36,61,159
CO2 → aero,1,32.08,51,159
aero → P,1,5.03,8,159
aero → P,0,4.4,7,159
aero → T,1,21.38,34,159
aero → T,0,23.9,38,159
aero → H,0,26.42,42,159
aero → H,1,30.19,48,159
aero → CO2,1,34.59,55,159
aero → CO2,0,38.36,61,159
aero → aero,1,74.21,118,159
