row_index,var_pair,lag,coef
0,T_T,1,0.4526381520135014
0,T_CO2,0,-0.3288157099121154
0,T_CO2,1,-0.6975404605055885
0,H_H,1,-0.07819515673287422
0,CO2_T,0,-0.3288157099121154
0,CO2_CO2,1,0.3003202563470796
0,aero_T,1,-0.0572642044653896
0,aero_CO2,1,0.10331419664198291
1,T_T,1,-0.009166110724349742
1,T_CO2,0,-0.052681403230784137
1,T_CO2,1,-0.7953128049067649
1,T_aero,0,-0.6935985477024048
1,CO2_T,0,-0.052681403230784137
1,CO2_T,1,-0.052358277329509824
1,CO2_CO2,1,-0.014863404928591268
1,CO2_aero,0,0.040917588227393616
1,CO2_aero,1,0.017884779715410543
1,aero_T,0,-0.6935985477024048
1,aero_T,1,-0.008154469550221847
1,aero_CO2,0,0.040917588227393616
1,aero_CO2,1,0.7694793711274546
1,aero_aero,1,-0.045829378279399216
2,T_T,1,-0.023896579126705078
2,T_CO2,0,-0.7050652485957011
2,T_CO2,1,-0.2574843916912846
2,H_H,1,-0.03520524188720204
2,CO2_T,0,-0.7050652485957011
2,CO2_T,1,0.060615640796895104
2,CO2_CO2,1,0.24651823947738122
2,CO2_aero,0,0.3081790559648209
2,CO2_aero,1,0.1873898920705874
2,aero_CO2,0,0.3081790559648209
2,aero_aero,1,0.5284394784734805
3,T_T,1,0.7969350435881598
3,T_H,0,0.722318853912262
3,T_H,1,0.6518876547156448
3,T_CO2,1,0.06927864008452822
3,T_aero,0,0.5622159652776636
3,T_aero,1,0.5513311451084538
3,H_T,0,0.722318853912262
3,H_T,1,0.7509446527452462
3,H_H,1,0.7396043939347648
3,H_aero,0,0.7567169130120265
3,H_aero,1,0.5877329679023605
3,CO2_CO2,1,0.308486631853125
3,aero_T,0,0.5622159652776636
3,aero_T,1,0.6084888078551419
3,aero_H,0,0.7567169130120265
3,aero_H,1,0.8128407139718113
3,aero_aero,1,0.6855486195080925
4,T_T,1,-0.06268767623984525
4,T_H,0,0.20019388112702494
4,T_H,1,-0.07938868349817788
4,T_CO2,0,-0.3832122308198534
4,T_CO2,1,-0.2947460543961066
4,T_aero,0,-0.0005875247918413315
4,T_aero,1,-0.28460181689523323
4,H_T,0,0.20019388112702494
4,H_H,1,-0.03344354799790523
4,H_aero,1,-0.03423852944535091
4,CO2_T,0,-0.3832122308198534
4,CO2_T,1,-0.19345939908608634
4,CO2_CO2,1,0.5533618817786957
4,CO2_aero,0,0.4494962485239327
4,CO2_aero,1,0.5687594471559677
4,aero_T,0,-0.0005875247918413315
4,aero_T,1,-0.47385965407192127
4,aero_CO2,0,0.4494962485239327
4,aero_CO2,1,0.31713118446958505
4,aero_aero,1,0.28773983225287125
5,T_T,1,0.6343481824313658
5,T_CO2,0,-0.5270868347751559
5,T_CO2,1,-0.7445834742287827
5,H_H,1,0.4399915660192864
5,CO2_T,0,-0.5270868347751559
5,CO2_T,1,-0.4087251732185522
5,CO2_CO2,1,0.48444192957637355
6,T_T,1,0.20722826962806692
6,T_H,0,-0.04620078368175757
6,T_H,1,-0.6705015700259335
6,T_CO2,1,-0.6973201014659062
6,T_aero,1,-0.4392119613030571
6,H_T,0,-0.04620078368175757
6,H_CO2,1,0.27844424825267633
6,H_aero,1,0.32331128220317046
6,CO2_CO2,1,0.48043279144708756
6,aero_aero,1,0.6839143552659702
7,T_T,1,-0.08378653367320928
7,T_CO2,0,-0.019977303330359315
7,T_CO2,1,-0.7846917649166013
7,T_aero,0,0.043065875123867316
7,T_aero,1,0.012513630448826366
7,CO2_T,0,-0.019977303330359315
7,CO2_T,1,0.050198619403857635
7,CO2_CO2,1,-0.04721971326946624
7,CO2_aero,0,0.012750048386684226
7,CO2_aero,1,0.02499620304649967
7,aero_T,0,0.043065875123867316
7,aero_T,1,0.04761652290988364
7,aero_CO2,0,0.012750048386684226
7,aero_CO2,1,0.00037695202066942896
7,aero_aero,1,0.9332670864064521
8,T_T,1,-0.032488472243043
8,T_H,0,0.042097721518000966
8,T_H,1,0.8079782740227908
8,T_CO2,0,-0.7714475253369107
8,T_CO2,1,0.05236998208069989
8,H_T,0,0.042097721518000966
8,H_H,1,0.03100616843983781
8,H_CO2,0,-0.014441890634812504
8,H_CO2,1,0.0026519311766781293
8,H_aero,1,0.09751927076578792
8,CO2_T,0,-0.7714475253369107
8,CO2_H,0,-0.014441890634812504
8,CO2_H,1,-0.6626076024877128
8,CO2_CO2,1,-0.10254954498727847
8,aero_aero,1,0.4865305556251777
9,T_T,1,-0.055255223275568886
9,T_CO2,0,-0.7783816167870832
9,T_CO2,1,0.024591261150795428
9,H_H,1,-0.05320236510556641
9,H_CO2,0,0.8134016786040126
9,H_aero,0,0.8045826766742091
9,H_aero,1,-0.025513552160202124
9,CO2_T,0,-0.7783816167870832
9,CO2_T,1,0.02993265988594779
9,CO2_H,0,0.8134016786040126
9,CO2_H,1,-0.049988967738296516
9,CO2_CO2,1,-0.034684184763183246
9,CO2_aero,0,0.7199129794167743
9,CO2_aero,1,-0.05266651859939228
