time,precipitation,relative humidity,temperature,atmospheric pressure,wind speed,co2 flux,co2 molar density,co2 molar fraction,co2 timelag,h2o flux,h2o molar density,h2o mole fraction,h2o timelag,evapotranspiration flux,water vapor density,co2 spec. humidity (meas),co2 relative humidity,co2 latent flux,total number conc,total count,total count std,total volume PSL,total surface area
2024-12-01 00:00:00,0.0,54.94241379310345,-2.810655172413793,100.1,1.2893793103448277,1.22967,19.0604,425.972,0.1,0.153276,104.815,2.34246,0.1,0.00993226,0.00188877,0.00145863,51.0419,6.93039,648.7420013333334,1940.7203133333335,43.120161333333336,75983932.57832016,3227766489.894215
2024-12-01 00:30:00,0.0,60.608,-3.9049,100.1,1.2476333333333334,-1.92169,19.1083,426.512,0.0,-0.0348245,106.495,2.37704,0.0,-0.00225663,0.00191903,0.00148018,53.0929,-1.57509,708.921955,2122.5188066666665,63.89613276666667,81682843.68128319,3455418572.8325777
2024-12-01 01:00:00,0.0,68.12413793103448,-5.082448275862069,100.1,0.9689655172413794,0.264465,19.3918,430.579,0.0,0.0211302,111.193,2.46895,0.0,0.00136924,0.0020037,0.00153747,61.0668,0.95692,696.624312,2083.37504,54.59739723333333,80628523.18468504,3387389927.6402936
2024-12-01 01:30:00,0.0,72.68933333333332,-5.984266666666667,100.1,0.24903333333333333,3.09428,19.5392,432.494,-0.1,0.0961847,113.93,2.52181,-0.1,0.00623277,0.00205302,0.00157041,66.4032,4.35926,696.912597,2084.1046,47.2250843,85552831.79911809,5026756453.187652
2024-12-01 02:00:00,0.0,71.66724137931034,-5.76555172413793,100.1,0.7304137931034482,-0.233833,19.5357,431.581,0.0,0.00625728,112.712,2.49003,-0.1,0.000405472,0.00203108,0.0015506,68.2136,0.283729,731.6601053333333,2187.3757466666666,52.710064,88404870.7303103,4478482365.1512165
2024-12-01 02:30:00,0.0,76.37333333333332,-6.638633333333333,100.1,0.32713333333333333,0.238765,19.736,435.653,0.0,0.0315554,113.631,2.50828,0.0,0.00204479,0.00204762,0.00156198,69.8396,1.43113,893.6658466666667,2672.91276,81.73608343333333,111975750.3208938,7047662977.299234
2024-12-01 03:00:00,0.0,80.91724137931034,-7.068586206896552,100.1,0.45996551724137935,2.73129,19.913,438.447,0.0,-0.0127438,113.225,2.493,-0.3,-0.000825799,0.00204031,0.00155246,73.232,-0.578345,1235.3550476666667,3694.9052033333332,134.18413316666667,129920848.89671774,5557227074.551746
2024-12-01 03:30:00,0.0,81.90599999999999,-7.345066666666667,100.1,0.47803333333333337,-0.992538,20.0856,441.236,0.0,0.0130164,114.584,2.51715,0.0,0.000843464,0.0020648,0.00156751,77.2888,0.591032,1325.9863933333334,3962.5394733333333,140.52452133333333,135271059.16951022,5511293161.591833
2024-12-01 04:00:00,0.0,81.18172413793103,-7.534896551724138,100.1,0.5536896551724138,0.100755,19.9464,438.376,0.5,0.000255405,115.405,2.53634,0.0,1.65503e-05,0.0020796,0.00157947,76.9848,0.0115955,1243.52426,3719.338206666667,67.79333296666667,136058382.3425163,6587769472.544752
2024-12-01 04:30:00,0.0,82.81333333333333,-7.6792,100.1,0.7659666666666667,-1.58343,20.0655,440.684,0.0,0.0122143,112.451,2.46968,0.0,0.000791489,0.00202637,0.00153792,76.1185,0.554638,1244.2663633333332,3722.5660199999998,111.14457836666666,141674047.02679768,6211825440.262534
2024-12-01 05:00:00,0.0,84.62413793103448,-8.015689655172412,100.1,0.5037931034482759,-0.641504,20.1218,441.427,0.0,-0.0130751,112.605,2.47031,0.0,-0.00084727,0.00202915,0.00153831,77.7118,-0.593871,1355.9688366666667,4054.707966666667,96.88755013333333,158467995.5588101,7021813668.355926
2024-12-01 05:30:00,0.0,86.82333333333332,-8.0593,100.1,0.5463,-2.3811,20.3322,445.616,0.0,0.0251816,111.981,2.45427,0.0,0.00163177,0.00201791,0.00152831,78.7757,1.14402,1408.59933,4212.6850933333335,111.51827826666666,153424599.70433584,6623466702.452732
2024-12-01 06:00:00,0.0,86.85517241379311,-8.31496551724138,100.1,0.6918620689655173,2.15087,20.3207,445.544,-0.3,-0.00465694,113.199,2.48197,-0.5,-0.00030177,0.00203985,0.00154558,79.259,-0.211556,1485.3016400000001,4443.250636666667,105.02080243333333,157496729.50989524,6558700857.100396
2024-12-01 06:30:00,0.0,86.89,-8.150566666666666,100.1,0.5314,1.80455,20.5713,450.877,0.0,-0.00425334,113.17,2.48045,-0.1,-0.000275616,0.00203933,0.00154463,79.9777,-0.193244,1496.6116933333333,4477.533776666666,81.254187,157846012.02522203,6551031773.57794
2024-12-01 07:00:00,0.0,88.84137931034483,-8.254896551724137,100.1,0.8741724137931034,3.17755,20.5105,449.822,0.0,-0.00511033,113.946,2.499,0.0,-0.000331149,0.00205332,0.00155619,79.5316,-0.232143,1476.4973733333331,4417.478593333333,90.99158833333333,155659726.07417673,6434175685.111981
2024-12-01 07:30:00,0.0,84.33033333333333,-7.335933333333333,100.1,1.2116,2.04015,20.5543,450.768,0.0,0.0253841,115.827,2.54015,-0.3,0.00164489,0.0020872,0.00158185,80.6474,1.15307,1827.0274299999999,5463.672136666666,343.61535033333337,178148237.50943786,6998052283.008017
2024-12-01 08:00:00,0.0,88.46551724137932,-8.036793103448277,100.1,0.37686206896551727,-1.06289,20.382,448.085,0.0,0.0159535,117.287,2.57848,0.3,0.00103379,0.00211351,0.00160574,77.4639,0.724201,1438.9712133333335,4304.241283333333,81.30980336666667,150746176.83641297,6135970565.632181
2024-12-01 08:30:00,0.0,92.85666666666665,-8.564333333333334,100.1,0.6214999999999999,0.871937,20.8603,457.516,0.0,-6.37596e-05,118.371,2.59617,0.0,-4.13162e-06,0.00213305,0.00161676,82.0162,-0.00289609,1390.28311,4159.2779,72.78673619999999,147535954.82372105,6146982177.953918
2024-12-01 09:00:00,0.0,93.72068965517242,-8.735172413793103,100.1,0.38655172413793104,3.66291,20.93,458.386,0.0,-0.042819,117.915,2.58244,0.0,-0.00277467,0.00212483,0.00160821,84.3072,-1.9457,1403.3326433333334,4198.494386666667,70.07767816666666,149381215.82239506,6134652194.718804
2024-12-01 09:30:00,0.0,93.33999999999999,-8.929666666666666,100.1,0.292,2.09212,20.9446,458.593,0.0,-0.0187543,115.774,2.53494,0.0,-0.00121528,0.00208625,0.0015786,83.5004,-0.852291,1372.8497300000001,4106.194953333334,71.98759593333334,146562109.2250685,6078490623.167512
2024-12-01 10:00:00,0.0,87.94862068965519,-7.754724137931034,100.1,0.7538275862068966,-1.9542,21.2512,465.214,0.0,0.0057589,113.347,2.4813,0.0,0.000373177,0.00204251,0.00154516,81.9015,0.26172,1292.8037733333333,3864.4038100000002,74.27754076666666,139675518.7313546,5737626519.565316
2024-12-01 10:30:00,0.0,73.10966666666667,-5.6743,100.1,1.3954666666666666,1.59422,20.7233,454.83,0.0,0.00127501,116.324,2.55304,0.0,8.26205e-05,0.00209615,0.00158988,79.6791,0.0579052,1217.8725000000002,3643.0006866666668,67.42355573333333,132534634.51095405,5426172126.951862
2024-12-01 11:00:00,0.0,77.26034482758621,-6.60851724137931,100.1,0.7620689655172415,1.02129,20.6463,454.396,0.0,-0.0165931,115.174,2.53481,0.0,-0.00107523,0.00207543,0.00157852,74.4341,-0.753026,1262.2988266666666,3773.5981066666664,67.0422861,138425961.85554305,5742618222.169156
2024-12-01 11:30:00,0.0,80.42633333333333,-7.0309333333333335,100.1,0.6921666666666667,-2.0421,20.9627,459.664,0.0,-0.0134744,116.845,2.56214,0.0,-0.000873143,0.00210554,0.00159555,81.2832,-0.612068,1252.2043033333332,3741.8084066666665,71.29031793333334,142205403.16470551,7805761296.991211
2024-12-01 12:00:00,0.0,91.65862068965517,-7.647241379310345,100.1,0.4283448275862069,-7.495,21.191,464.543,0.0,-0.00808707,116.058,2.54418,0.0,-0.000524042,0.00209136,0.00158436,81.2654,-0.367381,1225.40137,3665.5895833333334,62.68454186666667,135724000.3251546,5899229214.193746
2024-12-01 12:30:00,0.0,90.50333333333333,-6.676666666666667,100.1,0.36766666666666664,1.47102,21.1282,465.554,0.0,0.00694757,126.81,2.79423,0.3,0.000450202,0.00228512,0.00174023,80.3135,0.315213,1189.4106299999999,3555.8376866666667,68.77313436666667,130665831.70351063,5391345258.338547
2024-12-01 13:00:00,0.0,89.55862068965517,-5.6016551724137935,100.1,0.2992068965517241,-0.653604,20.7614,459.595,0.0,0.122673,136.246,3.01608,-0.2,0.00794923,0.00245516,0.00187856,79.1256,5.55951,1193.39661,3571.5756699999997,64.0754509,131131505.36291443,5421584110.019603
2024-12-01 13:30:00,0.0,88.56,-4.6014,100.1,0.327,-0.340845,20.7086,460.37,0.5,0.183511,146.87,3.26505,0.3,0.0118915,0.00264659,0.00203382,78.5156,8.30769,1190.6876533333334,3561.7617099999998,61.3463237,129827704.94414733,5338065542.428514
2024-12-01 14:00:00,0.0,79.11068965517242,-2.824206896551724,100.1,1.0445862068965517,-1.90081,20.6479,460.656,0.6,0.0750593,158.62,3.53882,0.5,0.00486384,0.00285833,0.00220459,79.3391,3.39503,1055.611818,3160.39993,62.013489,121412460.88853222,5378426077.556426
2024-12-01 14:30:00,0.0,65.63033333333334,-1.1885333333333332,100.1,1.2973333333333334,12.9106,20.1626,452.229,-0.5,0.869284,161.922,3.63176,-0.1,0.0563296,0.00291783,0.00226256,73.0911,39.2652,1004.4842970000001,3003.9444,65.6587979,118476396.22451313,6000413875.832662
2024-12-01 15:00:00,0.0,74.07655172413793,-1.1833103448275863,100.1,0.6064827586206897,4.82731,19.5054,439.522,-0.7,0.870332,150.956,3.40154,-0.1,0.0563975,0.00272022,0.00211896,62.4319,39.2662,1113.813929,3330.32318,78.80045533333333,124333710.35579756,5438217279.282552
2024-12-01 15:30:00,0.0,67.81933333333333,-0.29323333333333335,100.1,0.6909,-0.944205,19.7187,445.185,0.2,0.278224,165.373,3.73361,0.1,0.0180289,0.00298003,0.00232611,65.973,12.5463,974.87869,2913.4408200000003,77.31245193333334,111794002.0624545,5011750078.210013
2024-12-01 16:00:00,0.0,58.0248275862069,-0.01306896551724138,100.04482758620689,1.2159310344827587,-1.56297,19.444,440.451,0.3,0.587304,160.404,3.63351,0.2,0.0380573,0.00289048,0.00226366,60.4561,26.4635,800.0296393333333,2392.53872,58.956120266666666,94916707.61592801,4603574293.240968
2024-12-01 16:30:00,0.0,59.169333333333334,0.036366666666666665,100.0,1.1832666666666667,-0.352265,19.1127,433.367,0.0,0.78583,139.716,3.16796,0.0,0.0509218,0.00251768,0.00197327,52.062,35.4034,786.8863033333333,2351.54566,51.28292653333333,92290665.84908618,4392377914.205769
2024-12-01 17:00:00,0.0,54.283793103448275,1.144793103448276,100.0,1.3992758620689656,-0.952365,19.1418,433.985,0.0,0.394578,146.646,3.32479,0.0,0.0255687,0.00264257,0.00207108,55.151,17.7789,673.2612876666666,2012.5758966666665,54.61999746666667,79943010.35804693,5042003729.23559
2024-12-01 17:30:00,0.0,51.642,1.8992333333333336,99.92000000000002,3.3139333333333334,-3.59656,18.9832,432.561,0.0,0.822939,140.541,3.20242,-0.1,0.0533265,0.00253254,0.00199477,48.3998,37.0349,458.31767733333334,1369.8788633333331,42.7522309,49759481.82056664,2187343069.831419
2024-12-01 18:00:00,0.0,51.92310344827586,2.16,99.9,2.65351724137931,-3.79809,18.6555,425.984,0.0,1.02047,143.594,3.27886,0.0,0.0661263,0.00258757,0.00204244,47.7971,45.9026,416.93999633333334,1247.5761066666666,35.543543766666666,44952605.75180272,1935494533.5431912
2024-12-01 18:30:00,0.0,51.30233333333333,2.5364,99.9,1.3989333333333331,-2.38065,18.5644,424.321,0.0,0.83478,146.997,3.35985,0.0,0.0540937,0.00264888,0.00209295,48.1712,37.5418,439.0003423333334,1313.3727666666666,36.3653585,46695216.50801849,1981602579.2006063
2024-12-01 19:00:00,0.0,49.51,3.096793103448276,99.9,3.9284482758620687,-2.72103,18.5377,424.645,0.0,0.522665,147.055,3.36861,0.0,0.0338687,0.00264993,0.00209842,46.424,23.493,439.69704866666666,1315.25953,36.7052562,45471617.62690227,1808971999.6836483
2024-12-01 19:30:00,0.0,52.526666666666664,2.4383,99.9,4.075,-2.20472,18.4962,424.485,0.0,1.05707,147.976,3.39602,0.0,0.0684981,0.00266652,0.00211551,45.2513,47.4924,456.77888233333334,1366.1903966666666,37.29470293333333,47935450.28596835,1939780734.147244
2024-12-01 20:00:00,0.0,57.47758620689655,2.0456206896551725,99.9,3.3808275862068964,-2.30993,18.5325,423.989,0.0,0.623495,153.031,3.50107,0.0,0.0404025,0.00275762,0.00218104,49.5343,28.035,452.7092916666667,1352.4312433333332,36.09546136666666,48388627.63264465,1954753568.5031283
2024-12-01 20:30:00,0.0,63.025333333333336,1.7292666666666667,99.95,3.131533333333333,0.0659717,18.5585,423.8,0.0,0.561052,164.456,3.75549,0.0,0.0363562,0.0029635,0.00233976,54.9124,25.2383,432.38865999999996,1292.4595533333334,34.94324793333333,47771073.055482104,1971900048.58195
2024-12-01 21:00:00,0.0,68.45620689655172,1.2656551724137932,100.0,2.0681379310344825,0.372299,18.57,423.479,0.0,0.53133,178.827,4.07806,0.0,0.0344302,0.00322246,0.00254104,61.0599,23.9087,436.1650813333333,1304.5682466666665,35.7566828,48147871.226346694,2014635654.1243436
2024-12-01 21:30:00,0.0,72.96233333333333,0.41336666666666666,100.0,1.721,-0.247119,18.6126,423.452,0.0,0.183424,188.268,4.28324,0.0,0.0118859,0.00339259,0.00266909,66.9276,8.25832,458.56286933333337,1370.67481,37.5480337,49941489.18470943,2049497737.3999217
2024-12-01 22:00:00,0.0,74.93862068965517,0.038241379310344825,100.0,1.0947586206896551,0.5212,18.7344,424.018,0.0,0.0257612,190.001,4.30031,0.0,0.00166932,0.00342382,0.00267975,74.2592,1.16136,483.12435633333337,1444.3058766666666,40.193824666666664,53096901.328694224,2208674263.822362
2024-12-01 22:30:00,0.0,77.70933333333333,-0.3958333333333333,100.0,0.8686,0.81124,18.8526,425.464,0.0,0.0101846,189.636,4.2797,-0.3,0.00065996,0.00341724,0.00266688,78.0953,0.459464,564.6325403333334,1688.4906666666668,68.6930776,60694881.14215641,2533055340.0939198
2024-12-01 23:00:00,0.0,80.26448275862069,-0.8152758620689655,100.06551724137931,1.1724827586206898,0.928153,18.9075,426.087,0.0,-0.0165125,190.224,4.28675,0.0,-0.00107001,0.00342783,0.00267129,79.9108,-0.745141,750.7593586666667,2247.2876833333335,164.27925953333335,81599636.66678251,3567156310.492097
2024-12-01 23:30:00,0.0,83.56700000000001,-1.4836,100.1,0.8637333333333334,1.00169,18.9836,427.33,0.0,-0.0134553,190.81,4.29521,0.5,-0.000871905,0.00343839,0.00267657,81.3089,-0.607301,1564.5406073333334,4680.12999,630.3232884333333,181425249.18766472,7485665266.541137
2024-12-02 00:00:00,0.0,82.78827586206897,-1.7242758620689655,100.1,1.5075172413793103,-0.0263892,19.323,432.985,0.0,-0.0187398,186.477,4.17853,0.0,-0.00121434,0.00336032,0.00260374,86.5163,-0.846781,909.4734813333333,2721.6927033333336,115.19152933333334,107441906.76449141,4761002296.625241
2024-12-02 00:30:00,0.0,84.38533333333334,-2.6988666666666665,100.1,1.1436,-0.288793,19.2432,431.035,0.0,0.147416,179.245,4.01496,-0.1,0.00955258,0.00322999,0.00250166,83.5097,6.66155,1089.3672126666668,3253.2826466666666,156.28298463333334,122127513.48422363,5912267426.13157
2024-12-02 01:00:00,0.0,89.92758620689655,-3.6307241379310344,100.1,0.7068275862068966,3.62895,19.5007,436.06,-0.2,-0.0457616,173.317,3.87559,0.0,-0.00296535,0.00312317,0.00241469,83.0903,-2.06869,1146.7206233333334,3428.80567,89.9393926,122921888.57379341,5154979980.19303
2024-12-02 01:30:00,0.0,73.19633333333333,-1.5379,100.1,2.2985333333333333,-0.48708,19.578,436.416,0.0,-0.0169726,169.125,3.76998,0.6,-0.00109982,0.00304763,0.0023488,85.7801,-0.767831,995.8421476666666,2978.89297,79.5488464,105757944.54510045,4324631519.571883
2024-12-02 02:00:00,0.0,63.99172413793104,-1.3791379310344827,100.1,1.7179655172413792,-0.394126,19.2511,431.749,0.0,-0.0293871,159.999,3.58833,0.0,-0.00190429,0.00288318,0.00223547,72.0513,-1.32736,736.695718,2205.8263300000003,73.79005433333333,79176746.2737868,3294604131.3548636
2024-12-02 02:30:00,0.0,56.303999999999995,-1.2652666666666665,100.2,1.3339333333333334,-3.83484,19.1274,428.87,0.0,-0.475818,139.386,3.12529,0.0,-0.030833,0.00251173,0.00194666,62.9747,-21.4927,553.731773,1656.0813533333335,50.82938076666667,62896147.09554947,2811699532.885126
2024-12-02 03:00:00,0.0,57.79862068965517,-1.9880689655172412,100.2,1.1007586206896551,0.780428,18.9812,425.631,-0.3,0.141201,122.085,2.73762,-0.1,0.00914983,0.00219997,0.00170494,54.77,6.37746,614.8529703333334,1839.5833233333333,65.3709842,69896651.32079794,3072459980.7709565
