time,base_time,time_offset,day_of_year,file_records,used_records,chopper_LI_7500,detector_LI_7500,momentum_flux,qc_momentum_flux,flag_momentum_flux,sensible_heat_flux,qc_sensible_heat_flux,flag_sensible_heat_flux,latent_flux,qc_latent_flux,flag_latent_flux,co2_flux,qc_co2_flux,flag_co2_flux,h2o_flux,qc_h2o_flux,flag_h2o_flux,ch4_flux,qc_ch4_flux,flag_ch4_flux,co2_molar_density,qc_co2_molar_density,co2_molar_fraction,co2_mixing_ratio,co2_timelag,flag_co2_timelag,h2o_molar_density,qc_h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_timelag,flag_h2o_timelag,ch4_molar_density,qc_ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_timelag,flag_ch4_timelag,sonic_temperature,qc_sonic_temperature,air_temperature,qc_air_temperature,air_pressure,qc_air_pressure,air_density,qc_air_density,air_heat_capacity,qc_air_heat_capacity,air_molar_volume,evapotranspiration_flux,water_vapor_density,water_vapor_partial_pressure,water_vapor_partial_pressure_saturated,specific_humidity,relative_humidity,water_vapor_pressure_deficit,dew_point_temperature,wind_u_component,qc_wind_u_component,wind_v_component,qc_wind_v_component,wind_w_component,qc_wind_w_component,rotated_mean_u,rotated_mean_v,rotated_mean_w,mean_wind,qc_mean_wind,maximum_instantaneous_wind_speed,wind_direction_from_north,qc_wind_direction_from_north,first_rotation_angle,second_rotation_angle,friction_velocity,qc_friction_velocity,turbulent_kinetic_energy,Monin_Obukhov_length,Monin_Obukhov_stability_parameter,Bowen_ratio,scaling_temperature,uncorrected_momentum_flux,spectral_correction_momentum_flux,uncorrected_sensible_heat_flux,qc_uncorrected_sensible_heat_flux,spectral_correction_sensible_heat_flux,uncorrected_latent_heat_flux,qc_uncorrected_latent_heat_flux,spectral_correction_latent_heat_flux,uncorrected_co2_flux,qc_uncorrected_co2_flux,spectral_correction_co2_flux,uncorrected_h2o_flux,spectral_correction_h2o_flux,uncorrected_ch4_flux,qc_uncorrected_ch4_flux,spectral_correction_ch4_flux,hard_flags_spike_test,hard_flags_resolution,hard_flags_drop_out_test,hard_flags_absolute_limits,hard_flags_skewness_kurtosis,soft_flags_skewness_kurtosis,hard_flags_discontinuities_test,soft_flags_discontinuities_test,hard_flags_time_lag_test,soft_flags_time_lag_test,hard_flags_attack_angle_test,hard_flags_non_steady_wind,number_spikes_u,number_spikes_v,number_spikes_w,number_spikes_ts,number_spikes_co2,number_spikes_h2o,number_spikes_ch4,phase_lock_flag_LI_7500,sync_flag_LI_7500,mean_value_LI_7500,variance_u,qc_variance_u,variance_v,qc_variance_v,variance_w,qc_variance_w,variance_ts,qc_variance_ts,variance_co2,qc_variance_co2,variance_h2o,qc_variance_h2o,variance_ch4,qc_variance_ch4,covariance_w_ts_cov,covariance_w_co2_cov,covariance_w_h2o_cov,covariance_w_ch4_cov,co2_signal_strength_7500_mean,lat,lon,alt
2025-04-21 00:00:00,2025-04-21,2025-04-21 00:00:00,111.0,18000.0,18000.0,0.0,0.0,-0.00786231,8,2.0,-1.72857,0,1.0,-8.10867,8,2.0,2.39055,0,1.0,-0.182811,8,2.0,,1,0.0,17.5228,0,418.452,421.687,-0.1,0.0,321.293,0,7.67259,7.73191,0.0,1.0,,1,,,,9.0,293.978,0,289.472,0,100.78,0,1.20939,0,1009.61,0,0.0238804,-0.0118462,0.0057897,0.773453,1.8503101,0.0047873,41.8012,1.07686,276.44,0.654181,0,-0.104015,0,-0.060309,0,0.665139,3.71045e-14,1.59694e-15,0.665139,0,1.84871,187.775,0,350.966,-5.20223,0.0806292,0,0.223014,26.5888,0.0977856,0.213175,0.017558,-0.00775528,1.0138,-2.11391,0,1.02509,-6.87017,0,1.16107,2.19863,0,1.16107,-0.154889,1.16107,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800100099.0,800111099.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,1.0,16.0,5.0,2.0,1.0,4.0,,0.0,0.0,100.0,0.301886,0,0.138536,0,0.00560518,0,0.423346,0,0.102907,0,565.714,0,,1,-0.00173128,0.00219863,-0.154889,,102.443,39.422,-77.21,158.0
2025-04-21 00:30:00,2025-04-21,2025-04-21 00:30:00,111.0208,18000.0,18000.0,0.0,0.0,-0.00822334,0,1.0,-14.3822,0,1.0,12.6722,0,1.0,5.2458,0,1.0,0.28514,0,1.0,,1,0.0,18.3033,0,433.99,437.534,0.0,1.0,341.576,0,8.09914,8.16527,0.0,1.0,,1,,,,9.0,292.141,0,287.44,0,100.787,0,1.21782,0,1009.8,0,0.0237111,0.0184771,0.0061552,0.816508,1.6239301,0.00505427,50.2798,0.807421,277.209,0.226477,0,-0.034931,0,-0.0127838,0,0.229512,-3.47827e-14,1.26952e-15,0.229512,0,1.24153,186.485,0,351.232,-3.19303,0.0821736,0,0.191631,3.38308,0.768531,-1.13494,0.142322,-0.00797982,1.03052,-13.0497,0,1.05754,9.5667,0,1.37845,4.25604,0,1.37845,0.215262,1.37845,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800000099.0,801100099.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,4.0,5.0,5.0,5.0,5.0,10.0,,0.0,0.0,100.0,0.0953935,0,0.283483,0,0.00438553,0,0.994909,0,0.186832,0,382.955,0,,1,-0.0106116,0.00425604,0.215262,,102.326,39.422,-77.21,158.0
2025-04-21 01:00:00,2025-04-21,2025-04-21 01:00:00,111.0416,18000.0,18000.0,0.0,0.0,0.0181383,4,1.0,7.63283,8,2.0,-2.62912,8,2.0,-2.33309,8,2.0,-0.0590809,8,2.0,,1,0.0,18.7273,0,441.897,445.622,0.0,1.0,354.218,0,8.3583,8.42875,0.0,1.0,,1,,,,9.0,291.003,0,286.076,0,100.796,0,1.22362,0,1009.92,0,0.0235965,-0.00382844,0.00638301,0.842712,1.48601,0.00521651,56.7098,0.643295,277.66,0.0660897,0,0.0778404,0,-0.00882811,0,0.102493,6.28915e-14,-2.38372e-15,0.102493,0,1.34016,71.176,0,49.6674,-4.9412,0.121752,0,0.160978,-20.7355,-0.125389,-2.90318,-0.0507317,0.0169491,1.07016,7.0981,0,1.05492,-2.57445,0,1.1449,-2.36817,0,1.1449,-0.0578523,1.1449,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800000099.0,801001199.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,0.0,1.0,2.0,1.0,3.0,2.0,,0.0,0.0,100.0,0.269971,0,0.0487664,0,0.00321836,0,0.700254,0,0.182767,0,128.226,0,,1,0.00574396,-0.00236817,-0.0578523,,102.244,39.422,-77.21,158.0
2025-04-21 01:30:00,2025-04-21,2025-04-21 01:30:00,111.0624,18000.0,18000.0,0.0,0.0,0.0247887,4,1.0,-9.09654,8,2.0,4.48325,8,2.0,2.65201,8,2.0,0.100627,8,2.0,,1,0.0,19.7984,0,465.199,469.441,0.0,1.0,384.609,0,9.03709,9.1195,0.0,1.0,,1,,,,9.0,289.356,0,284.838,0,100.786,0,1.22849,0,1010.27,0,0.0234968,0.00652062,0.00693065,0.911053,1.3698001,0.0056416,66.5097,0.458751,278.779,0.0980156,0,0.188439,0,-0.0178763,0,0.213157,-4.66587e-14,2.51113e-15,0.213157,0,2.10335,116.713,0,62.5191,-4.81073,0.14205,0,0.336867,27.6328,0.094091,-2.029,0.0515975,0.0242912,1.02048,-8.63813,0,1.02566,4.24068,0,1.15162,2.70457,0,1.15162,0.0951823,1.15162,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800000099.0,800000099.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,100.0,0.313779,0,0.352961,0,0.00699306,0,1.20736,0,0.658507,0,229.12,0,,1,-0.00696005,0.00270457,0.0951823,,102.165,39.422,-77.21,158.0
2025-04-21 02:00:00,2025-04-21,2025-04-21 02:00:00,111.0833,18000.0,18000.0,0.0,0.0,0.0190851,4,1.0,2.3481,8,2.0,-5.09306,0,1.0,-3.86729,0,1.0,-0.114314,0,1.0,,1,0.0,19.5171,0,458.514,462.572,0.0,1.0,373.429,0,8.77293,8.85058,0.0,1.0,,1,,,,9.0,289.818,0,284.839,0,100.803,0,1.22882,0,1010.12,0,0.0234929,-0.00740755,0.0067292,0.884575,1.3699,0.00547615,64.5723,0.485324,278.354,0.292187,0,0.00070172,0,-0.0389965,0,0.294779,-8.2205e-15,-5.40089e-15,0.294779,0,2.39654,187.846,0,0.137602,-7.60199,0.124625,0,0.256393,-72.295,-0.0359638,-0.461039,-0.0151793,0.018505,1.03135,2.00716,0,1.02897,-4.64397,0,1.11087,-3.55079,0,1.11087,-0.104234,1.11087,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800000099.0,801100099.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,1.0,2.0,3.0,0.0,4.0,4.0,,0.0,0.0,100.0,0.324622,0,0.176055,0,0.0121085,0,1.96034,0,0.738161,0,920.373,0,,1,0.00161704,-0.00355079,-0.104234,,102.159,39.422,-77.21,158.0
2025-04-21 02:30:00,2025-04-21,2025-04-21 02:30:00,111.1041,18000.0,18000.0,0.0,0.0,0.021986,4,1.0,22.431,0,1.0,-11.9662,0,1.0,-8.7002,0,1.0,-0.268686,0,1.0,,1,0.0,19.3029,0,454.161,457.845,0.0,1.0,341.976,0,8.04606,8.11132,0.0,1.0,,1,,,,9.0,290.391,0,285.237,0,100.792,0,1.22732,0,1009.73,0,0.0235281,-0.0174108,0.00616241,0.81119895,1.40632,0.00502104,57.6825,0.595119,277.116,0.0975668,0,-0.0642006,0,-0.016593,0,0.117967,6.16996e-15,-2.16678e-15,0.117967,0,1.85711,244.421,0,326.654,-8.08589,0.133843,0,0.197621,-9.37275,-0.2774,-1.87452,-0.135236,0.0206796,1.06317,20.7304,0,1.05017,-11.2742,0,1.13856,-8.61002,0,1.13856,-0.253147,1.13856,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800000099.0,800000099.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,0.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,100.0,0.128598,0,0.25061,0,0.0160342,0,2.12858,0,0.67425,0,977.591,0,,1,0.0167281,-0.00861002,-0.253147,,102.181,39.422,-77.21,158.0
2025-04-21 03:00:00,2025-04-21,2025-04-21 03:00:00,111.1249,18000.0,18000.0,0.0,0.0,0.0218339,4,1.0,-58.8523,0,1.0,47.1554,0,1.0,24.516,0,1.0,1.05854,0,1.0,,1,0.0,19.2683,0,452.921,456.467,0.0,1.0,330.483,0,7.76834,7.82916,0.0,1.0,,1,,,,9.0,289.917,0,284.967,0,100.792,0,1.2286,0,1009.57,0,0.023506,0.0685931,0.00595531,0.783196,1.38151,0.00484722,56.6913,0.59831405,276.618,-0.0639272,0,0.0283437,0,-0.00857888,0,0.0704532,1.12723e-14,8.49214e-15,0.0704532,0,1.30807,353.633,0,156.089,-6.9941,0.133309,0,0.0991015,3.52959,0.736629,-1.24805,0.355923,0.0210007,1.03967,-53.4022,0,1.06194,35.5997,0,1.38317,19.6974,0,1.38317,0.799135,1.38317,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800100099.0,800111099.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,0.0,0.0,3.0,1.0,2.0,0.0,,0.0,0.0,100.0,0.0757569,0,0.108124,0,0.014322,0,1.58918,0,0.361492,0,555.898,0,,1,-0.0430538,0.0196974,0.799135,,102.154,39.422,-77.21,158.0
2025-04-21 03:30:00,2025-04-21,2025-04-21 03:30:00,111.1458,18000.0,18000.0,0.0,0.0,0.0144484,4,1.0,7.09568,0,1.0,-7.51831,0,1.0,-5.17703,0,1.0,-0.168673,0,1.0,,1,0.0,19.3254,0,453.328,456.802,0.0,1.0,324.215,0,7.60533,7.66361,0.0,1.0,,1,,,,9.0,289.476,0,284.367,0,100.787,0,1.23121,0,1009.47,0,0.0234576,-0.01093,0.00584236,0.766724,1.32774,0.00474521,57.7465,0.56101704,276.317,0.0200246,0,-0.0283305,0,-0.00899579,0,0.0358403,1.45424e-14,-1.42685e-15,0.0358403,0,0.997775,207.454,0,305.253,-14.5365,0.108329,0,0.0732535,-15.7077,-0.165524,-0.943787,-0.0527019,0.012623,1.14461,6.04211,0,1.10678,-6.36694,0,1.21742,-4.50833,0,1.21742,-0.142842,1.21742,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800000099.0,800101099.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,8.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,100.0,0.0492959,0,0.0905123,0,0.00669892,0,0.785318,0,0.308459,0,336.435,0,,1,0.00486143,-0.00450833,-0.142842,,102.107,39.422,-77.21,158.0
2025-04-21 04:00:00,2025-04-21,2025-04-21 04:00:00,111.1666,18000.0,18000.0,0.0,0.0,0.00791356,4,1.0,-7.46978,0,1.0,5.5557,0,1.0,5.4524,0,1.0,0.124557,0,1.0,,1,0.0,19.9432,0,466.731,470.426,0.0,1.0,335.637,0,7.85492,7.91711,0.0,1.0,,1,,,,9.0,288.416,0,283.658,0,100.77,0,1.23397,0,1009.59,0,0.023403,0.00807129,0.00604818,0.79175705,1.26661,0.00490141,62.51,0.474851,276.772,-0.127915,0,-0.0139439,0,0.000193495,0,0.128673,1.00266e-14,2.14615e-16,0.128673,0,1.15551,338.785,0,186.221,0.0861595,0.0800819,0,0.0766922,6.02744,0.431361,-1.34453,0.0748729,0.00769504,1.0284,-6.89606,0,1.04437,4.56056,0,1.27802,4.55063,0,1.27802,0.102246,1.27802,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800000099.0,800001099.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,0.0,0.0,6.0,14.0,2.0,2.0,,0.0,0.0,100.0,0.0611785,0,0.0889493,0,0.00325663,0,0.464157,0,0.293346,0,167.58,0,,1,-0.00553544,0.00455063,0.102246,,102.056,39.422,-77.21,158.0
2025-04-21 04:30:00,2025-04-21,2025-04-21 04:30:00,111.1874,18000.0,18000.0,0.0,0.0,0.0132867,4,1.0,4.21065,8,2.0,-7.41373,0,1.0,-7.53336,0,1.0,-0.166077,0,1.0,,1,0.0,20.2292,0,472.109,475.901,0.0,1.0,341.453,0,7.96881,8.03282,0.0,1.0,,1,,,,9.0,287.752,0,282.802,0,100.746,0,1.23736,0,1009.64,0,0.0233379,-0.0107618,0.00615298,0.803044,1.19603,0.00497269,67.1427,0.392983,276.973,-0.0359907,0,-0.0639809,0,-0.00998602,0,0.0740851,-2.02594e-14,-3.0279e-15,0.0740851,0,0.865353,332.087,0,240.641,-7.74654,0.103624,0,0.0677318,-23.1632,-0.112247,-0.567952,-0.0325258,0.0122024,1.08885,3.56472,0,1.06774,-6.48442,0,1.16222,-6.62185,0,1.16222,-0.14526,1.16222,,1,,800000099.0,800000099.0,800000099.0,800000099.0,800000099.0,810011099.0,899999999.0,899999999.0,89999.0,89999.0,89.0,89.0,0.0,0.0,1.0,6.0,3.0,6.0,,0.0,0.0,100.0,0.0547327,0,0.0770847,0,0.00364626,0,0.163651,0,0.279688,0,93.0494,2,,1,0.00285342,-0.00662185,-0.14526,,101.992,39.422,-77.21,158.0
