variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,5,100.0,0.0,100.0,0.0
P_P,2,5,100.0,0.0,100.0,0.0
P_P,3,5,100.0,0.0,100.0,0.0
P_P,4,5,100.0,0.0,100.0,0.0
P_P,5,5,100.0,0.0,100.0,0.0
P_H,0,4,75.0,25.0,25.0,0.0
P_H,1,4,75.0,25.0,25.0,0.0
P_H,2,4,75.0,25.0,25.0,0.0
P_H,3,4,75.0,25.0,25.0,0.0
P_H,4,4,75.0,25.0,25.0,0.0
P_H,5,4,75.0,25.0,25.0,0.0
P_aero,0,1,0.0,100.0,0.0,0.0
P_aero,1,1,0.0,100.0,0.0,0.0
P_aero,2,1,0.0,100.0,0.0,0.0
P_aero,3,1,0.0,100.0,0.0,0.0
P_aero,4,1,0.0,100.0,0.0,0.0
P_aero,5,1,0.0,100.0,0.0,0.0
T_T,1,5,100.0,0.0,100.0,0.0
T_T,2,5,100.0,0.0,100.0,0.0
T_T,3,5,100.0,0.0,100.0,0.0
T_T,4,5,100.0,0.0,100.0,0.0
T_T,5,5,100.0,0.0,100.0,0.0
T_H,0,5,100.0,0.0,80.0,0.0
T_H,1,5,100.0,0.0,80.0,0.0
T_H,2,5,100.0,0.0,80.0,0.0
T_H,3,4,100.0,0.0,100.0,0.0
T_H,4,3,100.0,0.0,100.0,0.0
T_H,5,3,100.0,0.0,100.0,0.0
T_aero,0,4,75.0,25.0,0.0,0.0
T_aero,1,4,75.0,25.0,0.0,0.0
T_aero,2,4,75.0,25.0,0.0,0.0
T_aero,3,4,75.0,25.0,0.0,0.0
T_aero,4,4,75.0,25.0,0.0,0.0
T_aero,5,4,75.0,25.0,0.0,0.0
H_P,0,4,75.0,25.0,25.0,0.0
H_P,1,4,75.0,25.0,25.0,0.0
H_P,2,4,75.0,25.0,25.0,0.0
H_P,3,4,75.0,25.0,25.0,0.0
H_P,4,4,75.0,25.0,25.0,0.0
H_P,5,4,75.0,25.0,25.0,0.0
H_T,0,5,100.0,0.0,80.0,0.0
H_T,1,5,100.0,0.0,80.0,0.0
H_T,2,5,100.0,0.0,80.0,0.0
H_T,3,5,100.0,0.0,80.0,0.0
H_T,4,5,100.0,0.0,80.0,0.0
H_T,5,5,100.0,0.0,80.0,0.0
H_H,1,5,100.0,0.0,100.0,0.0
H_H,2,5,100.0,0.0,100.0,0.0
H_H,3,5,100.0,0.0,100.0,0.0
H_H,4,5,100.0,0.0,100.0,0.0
H_H,5,5,100.0,0.0,100.0,0.0
H_aero,0,4,75.0,25.0,0.0,0.0
H_aero,1,4,75.0,25.0,0.0,0.0
H_aero,2,4,75.0,25.0,0.0,0.0
H_aero,3,4,75.0,25.0,0.0,0.0
H_aero,4,4,75.0,25.0,0.0,0.0
H_aero,5,4,75.0,25.0,0.0,0.0
aero_P,0,1,0.0,100.0,0.0,0.0
aero_P,1,1,0.0,100.0,0.0,0.0
aero_P,2,1,0.0,100.0,0.0,0.0
aero_P,3,1,0.0,100.0,0.0,0.0
aero_P,4,1,0.0,100.0,0.0,0.0
aero_P,5,1,0.0,100.0,0.0,0.0
aero_T,0,4,75.0,25.0,0.0,0.0
aero_T,1,4,75.0,25.0,0.0,0.0
aero_T,2,4,75.0,25.0,0.0,0.0
aero_T,3,4,75.0,25.0,0.0,0.0
aero_T,4,4,75.0,25.0,0.0,0.0
aero_T,5,4,75.0,25.0,0.0,0.0
aero_H,0,4,75.0,25.0,0.0,0.0
aero_H,1,4,75.0,25.0,0.0,0.0
aero_H,2,4,75.0,25.0,0.0,0.0
aero_H,3,4,75.0,25.0,0.0,0.0
aero_H,4,4,75.0,25.0,0.0,0.0
aero_H,5,4,75.0,25.0,0.0,0.0
aero_aero,1,5,100.0,0.0,100.0,0.0
aero_aero,2,5,100.0,0.0,100.0,0.0
aero_aero,3,5,100.0,0.0,100.0,0.0
aero_aero,4,5,100.0,0.0,100.0,0.0
aero_aero,5,5,100.0,0.0,100.0,0.0
P_T,0,4,25.0,75.0,25.0,0.0
P_T,1,4,25.0,75.0,25.0,0.0
P_T,2,4,50.0,50.0,25.0,0.0
P_T,3,4,50.0,50.0,25.0,0.0
P_T,4,4,50.0,50.0,25.0,0.0
P_T,5,4,50.0,50.0,25.0,0.0
T_P,0,4,25.0,75.0,25.0,0.0
T_P,1,4,25.0,75.0,25.0,0.0
T_P,2,4,25.0,75.0,25.0,0.0
T_P,3,4,25.0,75.0,25.0,0.0
T_P,4,4,25.0,75.0,25.0,0.0
T_P,5,4,25.0,75.0,25.0,0.0
