variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,17,100.0,0.0,100.0,0.0
P_P,2,17,100.0,0.0,94.12,0.0
P_P,3,17,100.0,0.0,76.47,0.0
P_P,4,16,100.0,0.0,68.75,0.0
P_P,5,16,100.0,0.0,62.5,0.0
P_H,0,9,55.56,44.44,0.0,0.0
P_H,1,9,55.56,44.44,0.0,0.0
P_H,2,10,50.0,50.0,0.0,0.0
P_H,3,10,50.0,50.0,0.0,0.0
P_H,4,11,54.55,45.45,0.0,0.0
P_H,5,11,54.55,45.45,0.0,0.0
P_aero,0,6,66.67,33.33,0.0,0.0
P_aero,1,6,66.67,33.33,0.0,0.0
P_aero,2,6,66.67,33.33,0.0,0.0
P_aero,3,8,50.0,50.0,0.0,0.0
P_aero,4,8,37.5,62.5,0.0,0.0
P_aero,5,8,25.0,75.0,0.0,0.0
T_T,1,17,100.0,0.0,100.0,0.0
T_T,2,17,100.0,0.0,100.0,0.0
T_T,3,17,100.0,0.0,100.0,0.0
T_T,4,17,100.0,0.0,100.0,0.0
T_T,5,17,100.0,0.0,100.0,0.0
T_H,0,14,100.0,0.0,64.29,0.0
T_H,1,14,100.0,0.0,64.29,0.0
T_H,2,14,100.0,0.0,64.29,0.0
T_H,3,14,100.0,0.0,64.29,0.0
T_H,4,14,100.0,0.0,64.29,0.0
T_H,5,14,100.0,0.0,64.29,0.0
T_aero,0,15,46.67,53.33,6.67,0.0
T_aero,1,15,46.67,53.33,6.67,0.0
T_aero,2,15,46.67,53.33,6.67,0.0
T_aero,3,15,46.67,53.33,6.67,0.0
T_aero,4,14,50.0,50.0,7.14,0.0
T_aero,5,15,46.67,53.33,6.67,0.0
H_P,0,9,55.56,44.44,0.0,0.0
H_P,1,8,50.0,50.0,0.0,0.0
H_P,2,8,50.0,50.0,0.0,0.0
H_P,3,7,42.86,57.14,0.0,0.0
H_P,4,7,42.86,57.14,0.0,0.0
H_P,5,7,42.86,57.14,0.0,0.0
H_T,0,14,100.0,0.0,64.29,0.0
H_T,1,14,100.0,0.0,64.29,0.0
H_T,2,14,100.0,0.0,64.29,0.0
H_T,3,14,100.0,0.0,64.29,0.0
H_T,4,14,100.0,0.0,64.29,0.0
H_T,5,14,100.0,0.0,64.29,0.0
H_H,1,17,100.0,0.0,100.0,0.0
H_H,2,17,100.0,0.0,100.0,0.0
H_H,3,17,100.0,0.0,100.0,0.0
H_H,4,17,100.0,0.0,100.0,0.0
H_H,5,17,100.0,0.0,100.0,0.0
H_aero,0,12,58.33,41.67,0.0,0.0
H_aero,1,13,61.54,38.46,7.69,0.0
H_aero,2,13,61.54,38.46,7.69,0.0
H_aero,3,13,61.54,38.46,7.69,0.0
H_aero,4,13,61.54,38.46,7.69,0.0
H_aero,5,13,61.54,38.46,7.69,0.0
aero_P,0,6,66.67,33.33,0.0,0.0
aero_P,1,7,71.43,28.57,0.0,0.0
aero_P,2,7,57.14,42.86,0.0,0.0
aero_P,3,7,57.14,42.86,0.0,0.0
aero_P,4,7,57.14,42.86,0.0,0.0
aero_P,5,7,57.14,42.86,0.0,0.0
aero_T,0,15,46.67,53.33,6.67,0.0
aero_T,1,15,46.67,53.33,6.67,0.0
aero_T,2,15,46.67,53.33,6.67,0.0
aero_T,3,15,46.67,53.33,0.0,0.0
aero_T,4,15,46.67,53.33,0.0,0.0
aero_T,5,15,46.67,53.33,0.0,0.0
aero_H,0,12,58.33,41.67,0.0,0.0
aero_H,1,12,58.33,41.67,0.0,0.0
aero_H,2,12,58.33,41.67,0.0,0.0
aero_H,3,12,58.33,41.67,0.0,0.0
aero_H,4,12,58.33,41.67,0.0,0.0
aero_H,5,12,58.33,41.67,0.0,0.0
aero_aero,1,17,100.0,0.0,100.0,0.0
aero_aero,2,17,100.0,0.0,100.0,0.0
aero_aero,3,17,100.0,0.0,100.0,0.0
aero_aero,4,17,100.0,0.0,94.12,0.0
aero_aero,5,17,100.0,0.0,94.12,0.0
P_T,0,10,50.0,50.0,0.0,0.0
P_T,1,10,50.0,50.0,0.0,0.0
P_T,2,10,50.0,50.0,0.0,0.0
P_T,3,10,50.0,50.0,0.0,0.0
P_T,4,10,50.0,50.0,0.0,0.0
P_T,5,10,50.0,50.0,0.0,0.0
T_P,0,10,50.0,50.0,0.0,0.0
T_P,1,10,50.0,50.0,0.0,0.0
T_P,2,11,63.64,36.36,0.0,0.0
T_P,3,11,63.64,36.36,0.0,0.0
T_P,4,11,63.64,36.36,0.0,0.0
T_P,5,11,63.64,36.36,0.0,0.0
