,variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
0,P_P,1,17,100.0,0.0,100.0,0.0
1,P_P,2,17,100.0,0.0,94.12,0.0
2,P_P,3,17,100.0,0.0,76.47,0.0
3,P_P,4,16,100.0,0.0,68.75,0.0
4,P_P,5,16,100.0,0.0,62.5,0.0
5,P_H,0,9,55.56,44.44,0.0,0.0
6,P_H,1,9,55.56,44.44,0.0,0.0
7,P_H,2,10,50.0,50.0,0.0,0.0
8,P_H,3,10,50.0,50.0,0.0,0.0
9,P_H,4,11,54.55,45.45,0.0,0.0
10,P_H,5,11,54.55,45.45,0.0,0.0
11,P_aero,0,6,66.67,33.33,0.0,0.0
12,P_aero,1,6,66.67,33.33,0.0,0.0
13,P_aero,2,6,66.67,33.33,0.0,0.0
14,P_aero,3,8,50.0,50.0,0.0,0.0
15,P_aero,4,8,37.5,62.5,0.0,0.0
16,P_aero,5,8,25.0,75.0,0.0,0.0
17,T_T,1,17,100.0,0.0,100.0,0.0
18,T_T,2,17,100.0,0.0,100.0,0.0
19,T_T,3,17,100.0,0.0,100.0,0.0
20,T_T,4,17,100.0,0.0,100.0,0.0
21,T_T,5,17,100.0,0.0,100.0,0.0
22,T_H,0,14,100.0,0.0,64.29,0.0
23,T_H,1,14,100.0,0.0,64.29,0.0
24,T_H,2,14,100.0,0.0,64.29,0.0
25,T_H,3,14,100.0,0.0,64.29,0.0
26,T_H,4,14,100.0,0.0,64.29,0.0
27,T_H,5,14,100.0,0.0,64.29,0.0
28,T_aero,0,15,46.67,53.33,6.67,0.0
29,T_aero,1,15,46.67,53.33,6.67,0.0
30,T_aero,2,15,46.67,53.33,6.67,0.0
31,T_aero,3,15,46.67,53.33,6.67,0.0
32,T_aero,4,14,50.0,50.0,7.14,0.0
33,T_aero,5,15,46.67,53.33,6.67,0.0
34,H_P,0,9,55.56,44.44,0.0,0.0
35,H_P,1,8,50.0,50.0,0.0,0.0
36,H_P,2,8,50.0,50.0,0.0,0.0
37,H_P,3,7,42.86,57.14,0.0,0.0
38,H_P,4,7,42.86,57.14,0.0,0.0
39,H_P,5,7,42.86,57.14,0.0,0.0
40,H_T,0,14,100.0,0.0,64.29,0.0
41,H_T,1,14,100.0,0.0,64.29,0.0
42,H_T,2,14,100.0,0.0,64.29,0.0
43,H_T,3,14,100.0,0.0,64.29,0.0
44,H_T,4,14,100.0,0.0,64.29,0.0
45,H_T,5,14,100.0,0.0,64.29,0.0
46,H_H,1,17,100.0,0.0,100.0,0.0
47,H_H,2,17,100.0,0.0,100.0,0.0
48,H_H,3,17,100.0,0.0,100.0,0.0
49,H_H,4,17,100.0,0.0,100.0,0.0
50,H_H,5,17,100.0,0.0,100.0,0.0
51,H_aero,0,12,58.33,41.67,0.0,0.0
52,H_aero,1,13,61.54,38.46,7.69,0.0
53,H_aero,2,13,61.54,38.46,7.69,0.0
54,H_aero,3,13,61.54,38.46,7.69,0.0
55,H_aero,4,13,61.54,38.46,7.69,0.0
56,H_aero,5,13,61.54,38.46,7.69,0.0
57,aero_P,0,6,66.67,33.33,0.0,0.0
58,aero_P,1,7,71.43,28.57,0.0,0.0
59,aero_P,2,7,57.14,42.86,0.0,0.0
60,aero_P,3,7,57.14,42.86,0.0,0.0
61,aero_P,4,7,57.14,42.86,0.0,0.0
62,aero_P,5,7,57.14,42.86,0.0,0.0
63,aero_T,0,15,46.67,53.33,6.67,0.0
64,aero_T,1,15,46.67,53.33,6.67,0.0
65,aero_T,2,15,46.67,53.33,6.67,0.0
66,aero_T,3,15,46.67,53.33,0.0,0.0
67,aero_T,4,15,46.67,53.33,0.0,0.0
68,aero_T,5,15,46.67,53.33,0.0,0.0
69,aero_H,0,12,58.33,41.67,0.0,0.0
70,aero_H,1,12,58.33,41.67,0.0,0.0
71,aero_H,2,12,58.33,41.67,0.0,0.0
72,aero_H,3,12,58.33,41.67,0.0,0.0
73,aero_H,4,12,58.33,41.67,0.0,0.0
74,aero_H,5,12,58.33,41.67,0.0,0.0
75,aero_aero,1,17,100.0,0.0,100.0,0.0
76,aero_aero,2,17,100.0,0.0,100.0,0.0
77,aero_aero,3,17,100.0,0.0,100.0,0.0
78,aero_aero,4,17,100.0,0.0,94.12,0.0
79,aero_aero,5,17,100.0,0.0,94.12,0.0
80,P_T,0,10,50.0,50.0,0.0,0.0
81,P_T,1,10,50.0,50.0,0.0,0.0
82,P_T,2,10,50.0,50.0,0.0,0.0
83,P_T,3,10,50.0,50.0,0.0,0.0
84,P_T,4,10,50.0,50.0,0.0,0.0
85,P_T,5,10,50.0,50.0,0.0,0.0
86,T_P,0,10,50.0,50.0,0.0,0.0
87,T_P,1,10,50.0,50.0,0.0,0.0
88,T_P,2,11,63.64,36.36,0.0,0.0
89,T_P,3,11,63.64,36.36,0.0,0.0
90,T_P,4,11,63.64,36.36,0.0,0.0
91,T_P,5,11,63.64,36.36,0.0,0.0
92,P_P,1,9,100.0,0.0,100.0,0.0
93,P_P,2,9,100.0,0.0,77.78,0.0
94,P_P,3,9,100.0,0.0,55.56,0.0
95,P_P,4,8,100.0,0.0,50.0,0.0
96,P_P,5,8,100.0,0.0,37.5,0.0
97,P_H,0,5,60.0,40.0,0.0,0.0
98,P_H,1,5,60.0,40.0,0.0,0.0
99,P_H,2,5,60.0,40.0,0.0,0.0
100,P_H,3,5,60.0,40.0,0.0,0.0
101,P_H,4,6,66.67,33.33,0.0,0.0
102,P_H,5,6,66.67,33.33,0.0,0.0
103,P_aero,2,1,100.0,0.0,0.0,0.0
104,P_aero,3,2,100.0,0.0,0.0,0.0
105,P_aero,4,2,100.0,0.0,0.0,0.0
106,P_aero,5,3,33.33,66.67,0.0,0.0
107,T_T,1,9,100.0,0.0,100.0,0.0
108,T_T,2,9,100.0,0.0,100.0,0.0
109,T_T,3,9,100.0,0.0,100.0,0.0
110,T_T,4,9,100.0,0.0,88.89,0.0
111,T_T,5,9,100.0,0.0,88.89,0.0
112,T_H,0,6,100.0,0.0,50.0,0.0
113,T_H,1,6,100.0,0.0,50.0,0.0
114,T_H,2,6,100.0,0.0,50.0,0.0
115,T_H,3,5,100.0,0.0,60.0,0.0
116,T_H,4,4,100.0,0.0,50.0,0.0
117,T_H,5,4,100.0,0.0,50.0,0.0
118,T_aero,0,8,62.5,37.5,12.5,0.0
119,T_aero,1,8,62.5,37.5,12.5,0.0
120,T_aero,2,8,62.5,37.5,12.5,0.0
121,T_aero,3,8,62.5,37.5,12.5,0.0
122,T_aero,4,8,50.0,50.0,12.5,0.0
123,T_aero,5,9,44.44,55.56,11.11,0.0
124,H_P,0,5,60.0,40.0,0.0,0.0
125,H_P,1,4,50.0,50.0,0.0,0.0
126,H_P,2,4,50.0,50.0,0.0,0.0
127,H_P,3,3,66.67,33.33,0.0,0.0
128,H_P,4,3,66.67,33.33,0.0,0.0
129,H_P,5,3,66.67,33.33,0.0,0.0
130,H_T,0,6,100.0,0.0,50.0,0.0
131,H_T,1,6,100.0,0.0,50.0,0.0
132,H_T,2,6,100.0,0.0,50.0,0.0
133,H_T,3,6,100.0,0.0,50.0,0.0
134,H_T,4,6,100.0,0.0,50.0,0.0
135,H_T,5,6,100.0,0.0,50.0,0.0
136,H_H,1,9,100.0,0.0,100.0,0.0
137,H_H,2,9,100.0,0.0,100.0,0.0
138,H_H,3,9,100.0,0.0,100.0,0.0
139,H_H,4,9,100.0,0.0,100.0,0.0
140,H_H,5,9,100.0,0.0,100.0,0.0
141,H_aero,1,6,100.0,0.0,16.67,0.0
142,H_aero,2,6,100.0,0.0,16.67,0.0
143,H_aero,3,6,100.0,0.0,16.67,0.0
144,H_aero,4,6,100.0,0.0,16.67,0.0
145,H_aero,5,6,100.0,0.0,16.67,0.0
146,H_aero,0,5,100.0,0.0,0.0,0.0
147,aero_P,1,1,100.0,0.0,0.0,0.0
148,aero_P,2,1,100.0,0.0,0.0,0.0
149,aero_P,3,1,100.0,0.0,0.0,0.0
150,aero_P,4,1,100.0,0.0,0.0,0.0
151,aero_P,5,1,100.0,0.0,0.0,0.0
152,aero_T,0,8,62.5,37.5,12.5,0.0
153,aero_T,1,7,71.43,28.57,14.29,0.0
154,aero_T,2,7,71.43,28.57,14.29,0.0
155,aero_T,3,7,71.43,28.57,0.0,0.0
156,aero_T,4,7,71.43,28.57,0.0,0.0
157,aero_T,5,7,71.43,28.57,0.0,0.0
158,aero_H,0,5,100.0,0.0,0.0,0.0
159,aero_H,1,5,100.0,0.0,0.0,0.0
160,aero_H,2,5,100.0,0.0,0.0,0.0
161,aero_H,3,5,100.0,0.0,0.0,0.0
162,aero_H,4,5,80.0,20.0,0.0,0.0
163,aero_H,5,5,100.0,0.0,0.0,0.0
164,aero_aero,1,9,100.0,0.0,100.0,0.0
165,aero_aero,2,9,100.0,0.0,88.89,0.0
166,aero_aero,3,9,100.0,0.0,88.89,0.0
167,aero_aero,4,9,100.0,0.0,66.67,0.0
168,aero_aero,5,9,100.0,0.0,66.67,0.0
169,P_T,0,4,0.0,100.0,0.0,0.0
170,P_T,1,4,0.0,100.0,0.0,0.0
171,P_T,2,4,25.0,75.0,0.0,0.0
172,P_T,3,4,25.0,75.0,0.0,0.0
173,P_T,4,4,25.0,75.0,0.0,0.0
174,P_T,5,4,25.0,75.0,0.0,0.0
175,T_P,2,5,40.0,60.0,0.0,0.0
176,T_P,3,5,60.0,40.0,0.0,0.0
177,T_P,4,5,60.0,40.0,0.0,0.0
178,T_P,5,5,60.0,40.0,0.0,0.0
179,T_P,0,4,0.0,100.0,0.0,0.0
180,T_P,1,4,0.0,100.0,0.0,0.0
