extended_start,extended_end,extended_duration_min,mean precipitation,P_P_coef,P_T_coef,P_H_coef,T_P_coef,T_T_coef,T_H_coef,H_P_coef,H_T_coef,H_H_coef,P_P_elem,P_T_elem,P_H_elem,T_P_elem,T_T_elem,T_H_elem,H_P_elem,H_T_elem,H_H_elem,cumulative_precipitation,P_aero_coef,T_aero_coef,H_aero_coef,aero_P_coef,aero_T_coef,aero_H_coef,aero_aero_coef,P_aero_elem,T_aero_elem,H_aero_elem,aero_P_elem,aero_T_elem,aero_H_elem,aero_aero_elem
2024-12-09 15:14:30,2024-12-09 16:44:30,90.0,1.06,"[0.0, 0.6917162310152735, 0.5012890888328425, 0.376701617078658, 0.2767869260692637, 0.2010618839235193]","[0.1413397194249758, 0.11033076862352939, 0.08857734489263759, 0.08676411651277767, 0.07811157676709718, 0.07974962811642844]","[-0.024548457975726353, -0.01979755764512903, -0.026395629733931735, -0.03682438019539006, -0.03505995275449241, -0.04038244829983999]","[0.1413397194249758, 0.10379230881118434, 0.0773935885863708, 0.06552418589335936, 0.0488426906212366, 0.03702418449478392]","[0.0, 0.8126116950336398, 0.6974881007280613, 0.6044342630170172, 0.5233341676042413, 0.44913815096109777]","[0.15228156866000606, 0.1262558253083521, 0.10046440794937393, 0.0880759722131589, 0.0728292830080522, 0.0627576191551516]","[-0.024548457975726353, 0.0071860969867121715, 0.031447824267003585, 0.046614018354914195, 0.053584221586234417, 0.05153853949953287]","[0.15228156866000606, 0.1207263707236394, 0.10139801782599805, 0.08066192833847015, 0.06795434869658953, 0.05953569194401002]","[0.0, 0.7960916137612202, 0.6759858145117243, 0.577501413656416, 0.4891579294503694, 0.41887525851236096]","[1, 2, 3]",[],"[0, 1]",[],"[1, 2, 3, 4, 5]",[1],"[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",0.7950000000000002,"[0.09824859870733275, 0.09143105879674117, 0.1028179587164291, 0.10732832890811013, 0.11263972216275184, 0.11357199356910802]","[0.015541180604911421, 0.01547863507416529, 0.01928286447677214, 0.021167425087068686, 0.026042612777697448, 0.028783449380596134]","[-0.03437128587687985, -0.03104588484270764, -0.03049785621502221, -0.02435614399513812, -0.02759718273016279, -0.03356719041695977]","[0.09824859870733275, 0.06119822252132854, 0.0300016056280973, 0.005759960644949942, -0.003642276066525489, -0.004756308238852971]","[0.015541180604911421, 0.021491256070828954, 0.0289202386961502, 0.028131916006264482, 0.030574524844274274, 0.03310689500496892]","[-0.03437128587687985, -0.02176504821853729, -0.016103162089153026, -0.011882736473300164, -0.009218686078781404, -0.0007515854992716071]","[0.0, 0.8363740117242919, 0.7369042314800782, 0.6494685638688442, 0.5756321842378522, 0.5238575684316721]","[0, 1, 2, 3, 4, 5]","[2, 3, 4]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[5],"[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]"
2024-12-11 01:58:00,2024-12-11 05:58:00,240.0,4.443697478991597,"[0.0, 0.9225918025924637, 0.7956117125176076, 0.6489365526854879, 0.5036488396677986, 0.3713387906720537]","[-0.008629275986066389, -0.017424808803493556, -0.018563969599065686, -0.017945922125421596, -0.015325918877817361, -0.013672293506267292]","[-0.01683398429770157, -0.018559048406990707, -0.018830558774506484, -0.01731125837984369, -0.01565016928984716, -0.014475470107526547]","[-0.008629275986066389, -0.0026920288124981915, -7.21953774654649e-05, 0.0026469533750260333, 0.005126878554479923, 0.009668927848476883]","[0.0, 0.8897614169796735, 0.8497933111791549, 0.8122795343782468, 0.7784888311062065, 0.7486763653168848]","[0.9406467786378527, 0.8920730003674758, 0.8510605600481437, 0.8135181605150705, 0.7789390969662852, 0.7472307381307577]","[-0.01683398429770157, -0.013634829397211348, -0.011031475414707727, -0.008844841249233393, -0.003498529326652075, 0.0008526283939719209]","[0.9406467786378527, 0.9337305815820252, 0.8850625659623407, 0.8448763717964709, 0.8083939174438154, 0.7756458325031556]","[0.0, 0.9302938522625888, 0.8849737382245805, 0.8439643029393133, 0.8074869153184733, 0.7735067725121307]","[1, 2, 3, 4, 5]",[],[],[],"[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",8.81333333333334,"[-0.02444780957055439, -0.02246974182881431, -0.02231748869156022, -0.0236199870230245, -0.026112909231476567, -0.026660254112939687]","[0.002225916792910516, 0.0006687117895537175, -0.000484598723749253, -0.0020473678729036574, -0.00443711180538376, -0.003985135976473848]","[0.00106090716097552, 0.0003935262351875562, -0.0008936408129042548, -0.0011691165735335596, -0.002043596013413342, -0.0021250172878853426]","[-0.02444780957055439, -0.02049468622272259, -0.015354183094883192, -0.010217543291434018, -0.007209432006216255, -0.003207905825589481]","[0.002225916792910516, -0.002280411808810193, -0.00229755852003261, -0.0018107143587179062, -0.002535154912196165, -0.00038954476162803063]","[0.00106090716097552, 0.0015975954132319585, 0.0020894311806492695, 0.001528866082124844, 0.000638790322368098, 0.002140749456748029]","[0.0, 0.9295698901863259, 0.8790108459886591, 0.8360316443326659, 0.7973990193601372, 0.7647427714401267]","[0, 1, 2, 3, 4, 5]",[],[],"[0, 1, 2, 3, 4, 5]",[],[],"[1, 2, 3, 4, 5]"
2024-12-11 06:32:30,2024-12-11 07:18:30,46.0,0.852173913043478,"[0.0, -0.031003942753156575, -0.047713337490590396, -0.038024737230296646, -0.025067327361468696, -0.009972301823437897]","[-0.5255510788082485, -0.004531969414264788, 0.05124940365517011, -0.007352300136810841, 0.06297723955700389, 0.03132141873826579]","[-0.46323622310939316, 0.0016657829586830474, 0.05975998451132204, -0.010082121519807568, 0.05845420486919238, 0.033401076837257446]","[-0.5255510788082485, 0.03158835652027486, 0.02998162502855852, 0.003396783257080257, 0.0010138309241963942, 0.0005999925109041429]","[0.0, -0.02267953863860615, -0.028873170966325613, -0.015812074303443308, -0.03199237358901928, -0.039209736485279985]","[0.9599095687393354, -0.02487365589117618, -0.036670095546337295, -0.015685496587063884, -0.03409587820414726, -0.05607549362781348]","[-0.46323622310939316, 0.045573870957565814, 0.021544367829590173, 0.01828596490001084, 0.007256179269629657, -0.011316210245980458]","[0.9599095687393354, -0.03814451225709936, -0.013057497890194614, -0.0180963326074919, -0.031415543133897286, -0.025930741172264106]","[0.0, -0.04046309450885614, -0.021581468415032536, -0.02015292302943773, -0.035778004640041015, -0.04420671456778991]","[1, 3]",[0],[0],"[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4]",0.3266666666666666,"[-0.10432032855226886, -0.09132592386798394, -0.056777838592773626, -0.03300806239406255, -0.032448991431493594, -0.040573138619147804]","[0.07115533863699545, 0.0465084138500729, 0.04666396976273329, 0.0012839038975110573, -0.01120797164399776, 0.014699750628402125]","[0.0537869733006137, 0.03209797361785285, 0.04683168411146768, -0.010404857525456043, -0.015118131627004306, 0.013491357887730003]","[-0.10432032855226886, 0.11046820313360975, 0.10139090457008776, 0.080537652897153, 0.06441219456087367, 0.07078585254009506]","[0.07115533863699545, -0.06849685391630263, -0.07794077069032644, -0.07583620675363388, -0.04997961729215808, -0.05385973206302636]","[0.0537869733006137, -0.044998576176725126, -0.05488631295063477, -0.05537508058199896, -0.03431105442331454, -0.0403511368025836]","[0.0, 0.6900283279140359, 0.5573567865068272, 0.4594292309711046, 0.3801356620272862, 0.32162685606555336]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[5],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]"
2024-12-11 07:13:30,2024-12-11 07:59:30,46.0,0.8458333333333335,"[0.0, -0.027403663344906504, -0.03381062231188198, -0.034795515152951165, -0.03344650892008013, -0.007948740480391965]","[0.0036877055443072628, -0.11412017079729794, -0.06958339887796267, -0.05218688870781663, -0.0470968397283245, -0.04639015037773632]","[-0.09357827877317992, -0.07285278018934767, -0.0522864671657312, -0.06396141991977931, -0.06102259436332063, -0.008390530984908936]","[0.0036877055443072628, -0.005151346909616892, -0.04052476389766739, -0.025902235648118176, -0.017868483879196165, -0.005724690611950545]","[0.0, 0.6954558509982052, 0.5513895509962284, 0.4276934044107504, 0.34864093076400726, 0.27786402395564075]","[0.7992454583666462, 0.6135441762141943, 0.4748636945332045, 0.37958005475556794, 0.3027241085367466, 0.2411261985412368]","[-0.09357827877317992, 0.012636798695376164, -0.024424511802569045, -0.009894208725026254, -0.025004379839957725, -0.010000435022485992]","[0.7992454583666462, 0.8442960055680896, 0.6459917892850691, 0.48774573345678457, 0.40233487991437, 0.3344881474982661]","[0.0, 0.6751871318816601, 0.5347544012690111, 0.4368154909976777, 0.34384149926171814, 0.2785107802830557]",[2],"[0, 1, 2, 3]","[0, 1, 2]","[0, 1, 2]","[1, 2, 3]","[0, 1, 2]","[0, 1, 2, 3]","[0, 1, 2, 3, 4]","[1, 2, 3]",0.3383333333333333,"[0.029557633981874058, -0.05059543937246987, 0.006539975401839572, 0.007809736012987269, -0.03832141749328259, -0.00046083955249419525]","[-0.026106894991579522, -0.03033933983036189, -0.023630711868612056, -0.025064362117250525, -0.002690271334273396, 0.008381071152083714]","[-0.02760620527394791, -0.02355092156270262, -0.024550512777457165, -0.03141002687446994, -0.01259298377797598, 0.009467673607106946]","[0.029557633981874058, -0.018997316253795672, -0.04870025374494466, 0.04641790497367528, -0.012461000981160496, -0.0419721044002323]","[-0.026106894991579522, -0.02496596970706828, -0.0547944615735501, -0.021405640732353435, -0.013023931907577745, -0.046210745828298226]","[-0.02760620527394791, -0.040412438517174624, -0.04510434581687358, -0.009172510801014132, -0.028931556407042206, -0.036300566678619445]","[0.0, -0.24842453677838536, -0.23662166443677024, 0.9080680969822041, -0.23557545065760163, -0.2239442137436524]",[],[],[],[],[],[],"[1, 2, 3, 4, 5]"
2024-12-11 08:40:00,2024-12-11 21:28:00,768.0,4.497883597883598,"[0.0, 0.7904633108546727, 0.6276461400315696, 0.5004709906476551, 0.39676680669288344, 0.3104900399510099]","[0.007986531651045238, 0.006675800035787823, 0.005414469903538236, 0.004575689176221281, 0.003984726538978061, 0.00409494822557634]","[0.010323264675171083, 0.00803560719741648, 0.006224923565023033, 0.005441781572434439, 0.0053273236885834074, 0.005991841521226931]","[0.007986531651045238, 0.011056310038715206, 0.013376888890585, 0.015975947721535613, 0.017930326206978733, 0.019559332960116877]","[0.0, 0.9902890400614097, 0.9831885450756992, 0.9770599065571216, 0.9710490065068883, 0.9657759541314106]","[0.9689676685331081, 0.9657915515098991, 0.9595659534936196, 0.9524702639149137, 0.9453320259653243, 0.9388563881644855]","[0.010323264675171083, 0.01218420081764358, 0.013415899578342098, 0.015217846401494704, 0.016852800439988685, 0.017494407073825297]","[0.9689676685331081, 0.9614952762073022, 0.9558974339250058, 0.9505663683890071, 0.9456378732027051, 0.9413618392290934]","[0.0, 0.9912286793368381, 0.9797482414487308, 0.9678426287550487, 0.9565443484231453, 0.9463063452382527]","[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",28.33666666666668,"[-0.00816955194581339, -0.007191651668194195, -0.00631952406516068, -0.006518844668871035, -0.006611691576711884, -0.006235136726165329]","[-0.03544326591483628, -0.034639974380149666, -0.03362216518432246, -0.032687956330738135, -0.0317815582462241, -0.030654133621044282]","[-0.036313194408567326, -0.035394716812665, -0.034275372878689404, -0.03309340033737299, -0.031835290143825065, -0.030657969468384106]","[-0.00816955194581339, -0.009896982525739322, -0.010897058761976658, -0.011869533667299108, -0.013368872706290719, -0.0160329936236073]","[-0.03544326591483628, -0.03515828771978477, -0.035126899678428275, -0.03527849498650096, -0.03562632055930247, -0.03599038771926294]","[-0.036313194408567326, -0.036532739912929484, -0.03627380930299452, -0.03606125075443003, -0.03593614583150568, -0.035814031593586475]","[0.0, 0.9685450113599059, 0.9328828482333473, 0.8981535931001956, 0.8651379370282093, 0.8344468812838965]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[1, 2, 3, 4, 5]"
2024-12-11 16:02:00,2024-12-12 02:38:00,636.0,3.961146496815288,"[0.0, 0.7447524243703773, 0.5156732533172012, 0.3517875629651181, 0.23711857975628697, 0.1550524880474864]","[-0.05060228032474564, -0.04791798097102534, -0.04407976716319783, -0.04074692433407473, -0.039392142409383685, -0.038719506215090814]","[-0.029952646908091393, -0.028477994085714116, -0.026621312414947283, -0.025180856182649557, -0.02422197342941308, -0.022564603896875618]","[-0.05060228032474564, -0.04544281402824983, -0.04147253069186835, -0.03843638419097915, -0.03656579473733689, -0.034967710224751654]","[0.0, 0.9847756145063019, 0.975252347846867, 0.9666546258082586, 0.9581479308234929, 0.9508790310176437]","[0.8814150630168731, 0.8717756885695516, 0.862896928929579, 0.8540599826449113, 0.8458852065594528, 0.8383578879891046]","[-0.029952646908091393, -0.031202213669173643, -0.031137843439259114, -0.03102920477330028, -0.03149012381464677, -0.031039292685036544]","[0.8814150630168731, 0.8797062667516348, 0.8787851600664699, 0.8777481745263646, 0.8772391324236917, 0.8765317756284259]","[0.0, 0.9828443028145315, 0.9702538595345778, 0.9578055370885982, 0.9467946808964909, 0.936356364115715]","[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",20.730000000000008,"[-0.02080834002341402, -0.020000744709980877, -0.018099536637685168, -0.018678142245411217, -0.016390507938798187, -0.014923106710109798]","[-0.02058239241821442, -0.019307235784452197, -0.01801127143492174, -0.01648401862695728, -0.015258961836314644, -0.014547429381396481]","[-0.03379377630523067, -0.033043344939085346, -0.032253634425464243, -0.031485604669127525, -0.030192357890662512, -0.02919974141809674]","[-0.02080834002341402, -0.019301249080905483, -0.01802641936170722, -0.016948510496283275, -0.016635850611399064, -0.018206088155133263]","[-0.02058239241821442, -0.019762910326138146, -0.018587150532381577, -0.017982434510387585, -0.017359996999011584, -0.016927752601134834]","[-0.03379377630523067, -0.033206319054424914, -0.03264676881416945, -0.03260478443364582, -0.03261218024841552, -0.03239556006977799]","[0.0, 0.9681821182005171, 0.9463341949690034, 0.9289182977771189, 0.9114908395327558, 0.8949856841043677]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]"
2024-12-16 00:26:30,2024-12-16 01:28:30,62.0,1.3806451612903226,"[0.0, -0.004391176945181013, -0.035676559453599356, -0.008288004855464503, -0.018985595140709778, -0.03397773246013313]","[-0.00025837239301184587, 0.01100969149054384, 0.0017665491666199334, 0.011127795598622986, -0.027501059353750183, -0.004498612083497237]","[0.109222324033757, 0.11661945199294647, 0.09383237920825005, 0.06652182686278031, 0.058785762050510296, 0.03902665830011507]","[-0.00025837239301184587, 0.023602542106229914, 0.014521041504491855, -0.0006124999961942892, -0.036280280609588635, -0.03606084573226928]","[0.0, 0.7862639949995976, 0.6866154842778368, 0.5827065636410315, 0.5107382088938576, 0.461142358245992]","[0.3075401714184254, 0.2633515064924492, 0.21508169288538412, 0.1844950898587436, 0.15259954579984736, 0.12447001864499026]","[0.109222324033757, -0.0804575787450444, -0.06068301591880688, -0.058567331105613636, -0.07208419819505933, -0.05316030585506546]","[0.3075401714184254, 0.25649254431126445, 0.211923725798747, 0.16719126274674875, 0.12814485215805882, 0.10685663010852721]","[0.0, 0.776446753093244, 0.6594411840982107, 0.5680174460583721, 0.4887165228661699, 0.4200440714438458]","[1, 2]",[],"[2, 3, 4, 5]",[],"[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",0.7133333333333332,"[-0.03699409628370774, -0.0441971429619002, -0.029642189521629655, -0.02240954860001805, 0.012434081885805975, 0.004795755318322495]","[-0.1735641743572743, -0.14209011638338803, -0.11654168586141252, -0.09624137889538552, -0.08789946354174007, -0.08190424975352109]","[-0.04339238846864516, -0.020138808092566053, -0.000916456826837182, 0.01723199984456222, 0.026902630984672226, 0.005705526657794755]","[-0.03699409628370774, 0.005805947639655601, -0.01314662124368215, -0.018664271704094012, 0.00657858410832242, 0.007083547590291418]","[-0.1735641743572743, -0.16777748851767293, -0.14644430688943305, -0.12618333403683085, -0.11586811500651263, -0.09421027030270275]","[-0.04339238846864516, -0.03700714917154036, -0.01636774587073471, -0.007770428703911605, -0.009979229574341662, -0.002073628083115231]","[0.0, 0.7597154457466259, 0.6372127434869866, 0.5393712641220396, 0.45746499679332175, 0.38844877426673796]",[],"[0, 1, 2, 3, 4, 5]",[],"[2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[3, 4, 5]","[1, 2, 3, 4, 5]"
2024-12-16 00:40:00,2024-12-16 03:36:00,176.0,1.244318181818182,"[0.0, 0.7237404331712045, 0.6224868032115052, 0.5077469536213042, 0.4273788420212031, 0.3557408802379918]","[-0.12254542715424421, -0.10812870173767224, -0.09683381910243448, -0.09074088805445936, -0.08546602494588303, -0.08300063800331477]","[0.014118416766446071, 0.016903520941830646, 0.020962839659543785, 0.0204766008531907, 0.025913403546550605, 0.025024455186211377]","[-0.12254542715424421, -0.09870017904466594, -0.0887703751916915, -0.07002087158886085, -0.058322583032494865, -0.04965337152720067]","[0.0, 0.8990540163347122, 0.8322436204194517, 0.7714199408039589, 0.7182250797188611, 0.6715188753049923]","[0.3834206699967714, 0.36059272637985196, 0.3408565191436437, 0.32397983852415896, 0.30690667659894877, 0.29115175317877523]","[0.014118416766446071, 0.015315809281613177, 0.014619282136856421, 0.014949099132413712, 0.019689135351572393, 0.017902481458888224]","[0.3834206699967714, 0.3431402646331365, 0.30585629347042226, 0.27337048628413263, 0.2419078668044428, 0.2144823654163296]","[0.0, 0.924738207218623, 0.8785426182822252, 0.8397304992069848, 0.8063935541329325, 0.7747887787592628]","[1, 2, 3, 4, 5]",[5],[],[],"[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",1.825,"[0.025479210631229376, 0.02020705345792349, 0.01585845631498609, 0.011182899713331484, 0.0031954321551371256, -0.005439443804792099]","[-0.02602654753185603, -0.030055879158888504, -0.03443231356129215, -0.03620169781471537, -0.037254018395933425, -0.0369462471947363]","[-0.019432618873147855, -0.015573147842298707, -0.008467472442621984, -0.0021022479980661534, 0.004892834283791848, 0.014381811829505401]","[0.025479210631229376, 0.023496422499984505, 0.024054257105500666, 0.020317047695704346, 0.018246076227263583, 0.01627148017787834]","[-0.02602654753185603, -0.019864339668406745, -0.014478388470688875, -0.005591633340582214, 0.0010349006062763122, 0.004689271199642306]","[-0.019432618873147855, -0.014655849701587936, -0.009703451369321209, -0.005995123241181487, -0.003354576507494561, 0.0006051913665486]","[0.0, 0.941020871641392, 0.8928831404025189, 0.8495784857532921, 0.8102180378761272, 0.7749278621326624]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]"
2024-12-16 02:52:00,2024-12-16 04:32:00,100.0,1.454,"[0.0, 0.7868451690302242, 0.6488801663413412, 0.5353409036022978, 0.4429570644350067, 0.3656308681393536]","[0.05324123292962219, 0.021904495453660324, 0.023473143683983577, 0.013881607844710805, 0.011181260960447692, 0.011090375912213037]","[0.02395133666118535, 0.015235702084214377, 0.008079324786831764, 0.0071536095672597964, 0.004702921938176863, 0.0004793998980304881]","[0.05324123292962219, 0.040724604435486936, 0.03476755531135746, 0.03505742233701462, 0.027427956110119663, 0.030125386984662213]","[0.0, 0.21071274334135773, 0.7266472508945248, 0.21004477030557364, 0.5835127926582445, 0.20121476027380536]","[0.5472084433216164, 0.5146083247626193, 0.4689341773633579, 0.4343089165010253, 0.4073419038382564, 0.37742549989358815]","[0.02395133666118535, 0.03174694744668214, 0.04155844057284103, 0.04619850741901998, 0.04720025960599248, 0.04584535254815395]","[0.5472084433216164, 0.44471696540030853, 0.4948659207690516, 0.44005307670192445, 0.4626254052700508, 0.4249523830851148]","[0.0, 0.8618560299588474, 0.7848373116631596, 0.7195649382724706, 0.6608179519026937, 0.6116517981842283]","[1, 2, 3, 4, 5]",[],[],[],"[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",1.2116666666666671,"[-0.03256946775395977, -0.022280756196820763, -0.012846912108564206, 0.0008074110583449235, 0.01000028658110985, 0.011289003508379962]","[-0.09344985383808366, -0.10651868471834679, -0.09222117128966163, -0.10012914669109091, -0.08240678521003768, -0.09146296785885383]","[-0.11276672378269856, -0.10724047091705569, -0.10019738331411389, -0.09385099710599185, -0.09029956404450293, -0.08832007658765613]","[-0.03256946775395977, -0.04949859221684095, -0.0676051499220816, -0.08195946894713012, -0.09080776570264723, -0.09680627413516263]","[-0.09344985383808366, -0.08224491624610412, -0.07366265970996473, -0.06459849960974288, -0.06122035134933291, -0.052996152736488694]","[-0.11276672378269856, -0.09941679032286373, -0.08935510273674856, -0.07544651535149394, -0.06133944092975157, -0.04833799128800896]","[0.0, 0.865584612637599, 0.7920040947905762, 0.7271997961794431, 0.6771906384686747, 0.6330567933098799]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]"
2024-12-16 04:37:00,2024-12-16 06:17:00,100.0,1.0470588235294118,"[0.0, 0.75751385944282, 0.6145469558211754, 0.5174948040462815, 0.43506044297327806, 0.37489579985028465]","[0.06953550699519076, 0.07288047375494398, 0.07444832516449425, 0.07725384954849816, 0.07505720642582202, 0.07187914022912693]","[0.06594564725548743, 0.06845343828553938, 0.07382207595730449, 0.08221415188794862, 0.08558956677333138, 0.07626225364990828]","[0.06953550699519076, 0.0750630464079839, 0.07155066312183583, 0.07336642164792702, 0.07059029686599512, 0.0711490824290813]","[0.0, 0.9258326051798224, 0.9523451795944046, 0.9206697330086322, 0.9343343360691159, 0.9167511745218698]","[0.9563644912166874, 0.9508473452946038, 0.9404546208539447, 0.9360509964898192, 0.9285695841742888, 0.9257072690226421]","[0.06594564725548743, 0.06838845421888802, 0.06822175102232907, 0.06856136652626066, 0.06845808338328112, 0.07107783160090263]","[0.9563644912166874, 0.9424346284095825, 0.948413383763477, 0.9388347370489535, 0.9370811467985846, 0.9285467385745472]","[0.0, 0.960878945299712, 0.9504212954690439, 0.9417331353935258, 0.9371800033706242, 0.929655220921481]","[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",0.8900000000000002,"[0.39393042844920795, 0.37654974750594244, 0.37433193447023677, 0.36182017455030135, 0.3509968129266104, 0.32808229287642654]","[0.11933892358887219, 0.11840832884262743, 0.11981381086937926, 0.1164078335744032, 0.11578127234283041, 0.11584094421676605]","[0.11196452751887546, 0.11503807779268108, 0.11486564139008884, 0.11398334982897419, 0.11610589823915225, 0.11557233310863697]","[0.39393042844920795, 0.39537444568988855, 0.40382338188341527, 0.4187517035322884, 0.4423916112263238, 0.4686551781347358]","[0.11933892358887219, 0.11442043238635773, 0.12334905247317199, 0.11891108336981487, 0.12013676550400602, 0.12431058098194012]","[0.11196452751887546, 0.11417719658133643, 0.11838534518388621, 0.12134132509053228, 0.12237878738386414, 0.12645572292894902]","[0.0, 0.8333518527681646, 0.7709543376963862, 0.7041057968402699, 0.6483606093317209, 0.6053404638370641]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]"
