period,start_time,end_time,duration_hours,avg_precip,P_P_coef,P_T_coef,P_H_coef,P_CO2_coef,P_aero_coef,T_P_coef,T_T_coef,T_H_coef,T_CO2_coef,T_aero_coef,H_P_coef,H_T_coef,H_H_coef,H_CO2_coef,H_aero_coef,CO2_P_coef,CO2_T_coef,CO2_H_coef,CO2_CO2_coef,CO2_aero_coef,aero_P_coef,aero_T_coef,aero_H_coef,aero_CO2_coef,aero_aero_coef,P_P_elem,P_T_elem,P_H_elem,P_CO2_elem,P_aero_elem,T_P_elem,T_T_elem,T_H_elem,T_CO2_elem,T_aero_elem,H_P_elem,H_T_elem,H_H_elem,H_CO2_elem,H_aero_elem,CO2_P_elem,CO2_T_elem,CO2_H_elem,CO2_CO2_elem,CO2_aero_elem,aero_P_elem,aero_T_elem,aero_H_elem,aero_CO2_elem,aero_aero_elem
evening,2024-12-02 16:00:00,2024-12-03 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.4497773291056769]","[-0.321918394408145, 0.22618291255682757]","[-0.3207783282440538, -0.3939302399541741]","[-0.45106441255589963, -0.2812395642458258]","[0.0, 0.0]","[-0.321918394408145, -0.20561723625276343]","[0.0, -0.053221606826113856]","[-0.12103921866641472, 0.11003591824171931]","[0.2347755655464769, 0.2366429277256292]","[0.0, 0.0]","[-0.3207783282440538, -0.18631341051440223]","[-0.12103921866641472, -0.12554879446922634]","[0.0, 0.5654340553041464]","[0.5531620278608257, 0.2732571124170541]","[0.0, 0.0]","[-0.45106441255589963, -0.300886021498924]","[0.2347755655464769, -0.16879018754055836]","[0.5531620278608257, 0.6939030557081936]","[0.0, 0.5036267432704551]",[],[],[],[],[],[],[1],[],"[0, 1]","[0, 1]",[],[],[1],[],[],[],[0],[],[1],[0],[],[0],[],"[0, 1]",[1]
evening,2024-12-03 16:00:00,2024-12-04 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.07251913280436997]","[-0.4409324609859455, 0.028355243429783916]","[-0.7146719599351289, -0.1985576390280726]","[0.06845132963656299, 0.09773448274197308]","[0.0, 0.0]","[-0.4409324609859455, 0.012430377372324102]","[0.0, -0.06526933193358467]","[0.3996731275442206, 0.10903578781042775]","[-0.07457030921999652, -0.023223055393821967]","[0.0, 0.0]","[-0.7146719599351289, 0.07462560081337619]","[0.3996731275442206, -0.06982875207718432]","[0.0, 0.20682038069035127]","[-0.24340625930650836, -0.21717725684775]","[0.0, 0.0]","[0.06845132963656299, 0.06697647585680086]","[-0.07457030921999652, 0.14473838991703414]","[-0.24340625930650836, -0.2361037113049533]","[0.0, 0.6857227706225009]",[],[],[],[],[],[],[1],[1],"[0, 1]","[0, 1]",[],[],[],[],[],[],"[0, 1]",[1],[1],"[0, 1]",[],"[0, 1]",[],"[0, 1]",[1]
evening,2024-12-04 16:00:00,2024-12-05 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.01835152279452018]","[0.7639147708192198, 0.0029650877728381385]","[-0.047657796396201074, -0.0338109213883472]","[0.7147382528118091, -0.006929588482192336]","[0.0, 0.0]","[0.7639147708192198, -0.013572667307002477]","[0.0, -0.01976556438881344]","[0.008802885469358016, -0.01577155126744201]","[0.7900532811308184, -0.035168390366802485]","[0.0, 0.0]","[-0.047657796396201074, -0.004525725095382159]","[0.008802885469358016, 0.016445094828319566]","[0.0, 0.443124237126414]","[-0.004707400210692062, -0.015358660388990067]","[0.0, 0.0]","[0.7147382528118091, 0.021554762146396667]","[0.7900532811308184, 0.01965814598985879]","[-0.004707400210692062, -0.06794556335433306]","[0.0, -0.0438664419562254]",[],[],[],[],[],[],[1],[],"[0, 1]","[0, 1]",[],[1],[1],[0],[1],[],"[0, 1]","[0, 1]",[1],[],[],"[0, 1]",[],[],[1]
evening,2024-12-05 16:00:00,2024-12-06 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.026933371116709313]","[0.3183419855888907, 0.16131043264148145]","[-0.7918913980978705, 0.022215753724406224]","[-0.7905206582378763, 0.06371656983748407]","[0.0, 0.0]","[0.3183419855888907, -0.020828740812127548]","[0.0, 0.3082779008932524]","[-0.21887659234780074, 0.04152370585484075]","[-0.2343337850812108, 0.08349215332593686]","[0.0, 0.0]","[-0.7918913980978705, -0.031532969159815176]","[-0.21887659234780074, -0.16216704790005843]","[0.0, -0.011213355783061521]","[0.9000661948822156, -0.027531132973934794]","[0.0, 0.0]","[-0.7905206582378763, -0.01195795756567441]","[-0.2343337850812108, -0.15064150867087805]","[0.9000661948822156, -0.013553762391572195]","[0.0, -0.045829378279399216]",[],[],[],[],[],[],[1],[1],"[0, 1]","[0, 1]",[],[],[1],[0],"[0, 1]",[],"[0, 1]","[0, 1]",[1],"[0, 1]",[],"[0, 1]","[0, 1]","[0, 1]",[1]
evening,2024-12-08 16:00:00,2024-12-09 02:00:00,10,0.006,"[0.0, -0.038114628926697584]","[0.18476369448371488, 0.009320612611891222]","[0.18060609677072162, 0.06637469009735408]","[-0.010438237834138518, -0.045349406595157106]","[0.37314120939624174, 0.008668094244709759]","[0.18476369448371488, -0.016449870128381887]","[0.0, -0.04749926587450619]","[0.36644454224082973, -0.03698971873478212]","[-0.12294464860541639, -0.1541309148663789]","[-0.052166488559769915, -0.04658054069955541]","[0.18060609677072162, -0.023898545404050436]","[0.36644454224082973, -0.06836596440069094]","[0.0, -0.07713873632205188]","[0.21912773879167075, 0.15516679518879237]","[0.00113152346873605, 0.05336015675548165]","[-0.010438237834138518, 0.12030689633289592]","[-0.12294464860541639, 0.12344229061953182]","[0.21912773879167075, -0.07285184062885781]","[0.0, 0.5024594746959173]","[0.3417847276296586, 0.39048748912687525]","[0.37314120939624174, 0.042797114824985064]","[-0.052166488559769915, 0.07129937266947924]","[0.00113152346873605, 0.0442302741623038]","[0.3417847276296586, 0.22187822101658217]","[0.0, 0.1580319922815778]",[],[],[],[],[],[1],[1],[0],[],[],[1],[0],[],[],[],[],[],[],[1],[1],[],[],[],[],[]
evening,2024-12-09 16:00:00,2024-12-10 02:00:00,10,0.021,"[0.0, -0.03879414786667458]","[0.1680138139069557, 0.03501760337489167]","[-0.3080673914891392, -0.19706027272273288]","[-0.21442805020874592, 0.024627576476825442]","[0.24987125439487615, 0.04148570527532352]","[0.1680138139069557, 0.024995155147842976]","[0.0, -0.02469610895720325]","[0.2802048261326964, -0.22670290030506232]","[-0.48699012224858435, 0.03407109028987133]","[0.3356417076968856, -0.0011844186637370658]","[-0.3080673914891392, 0.016261395162995247]","[0.2802048261326964, -0.01133591222391231]","[0.0, 0.010362421747030401]","[-0.18394793160658882, -0.0005664446669093812]","[-0.043100523819558624, -0.002670810007125308]","[-0.21442805020874592, -0.010077000541413623]","[-0.48699012224858435, -0.0027779802199404337]","[-0.18394793160658882, 0.5084127380151879]","[0.0, -0.0559777615340482]","[-0.6530929506646884, -0.03225719361632476]","[0.24987125439487615, -0.012063974349421762]","[0.3356417076968856, 0.021791033101282418]","[-0.043100523819558624, -0.5297267464617599]","[-0.6530929506646884, 0.021460998635307264]","[0.0, -0.0438664419562254]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[1],"[0, 1]",[],[],[],"[0, 1]",[1]
evening,2024-12-12 16:00:00,2024-12-13 02:00:00,10,0.0,"[0.0, 0.008224764701871388]","[-0.06648350564400181, 0.012645075124457688]","[0.13792748279987363, 0.05082387180853109]","[-0.05408475386081086, 0.015413393479037363]","[0.35192085928535427, 0.09180241444956883]","[-0.06648350564400181, -0.007304091799740203]","[0.0, -0.042885473175406745]","[-0.03000086200732242, 0.006953107685683599]","[-0.718694358985454, -0.22711398084081102]","[-0.27736274364024605, 0.01701248248370569]","[0.13792748279987363, 0.041877033423783905]","[-0.03000086200732242, 0.02879128236352669]","[0.0, 0.45324306873916864]","[0.03527759304332607, -0.008858843353767527]","[0.22559121673783358, -0.04877777896361487]","[-0.05408475386081086, 0.021034892205803676]","[-0.718694358985454, 0.1144436212423678]","[0.03527759304332607, 0.001267293778075551]","[0.0, 0.19562344710673008]","[0.2794224038558693, -0.02231348534286998]","[0.35192085928535427, 0.013046385372472474]","[-0.27736274364024605, 0.0673621910198319]","[0.22559121673783358, 0.039257696621046105]","[0.2794224038558693, 0.06938833775733698]","[0.0, -0.04440070983052916]",[],[],[1],[],[1],[],[1],[],"[0, 1]",[],[],[],[1],[],[],[],"[0, 1]",[],[1],[],[],[],[1],[],[1]
evening,2024-12-13 16:00:00,2024-12-14 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.1420517250932556]","[-0.014955087051878476, 0.0109380804930706]","[-0.14537953281294166, 0.0827764301264744]","[-0.22556543656119699, -0.011711713521852855]","[0.0, 0.0]","[-0.014955087051878476, 0.0007328844972166108]","[0.0, 0.6446410518878893]","[-0.0014600976293107323, 0.01627011505163166]","[0.07233773259728518, -0.11532938593718409]","[0.0, 0.0]","[-0.14537953281294166, -0.7045383646674301]","[-0.0014600976293107323, -0.014122055686555769]","[0.0, -0.032555030412200425]","[0.6733584131064293, -0.02463427852554717]","[0.0, 0.0]","[-0.22556543656119699, -0.540813934832054]","[0.07233773259728518, 0.03888415625380797]","[0.6733584131064293, -0.022108636019154613]","[0.0, -0.045829378279399216]",[],[],[],[],[],[],[],[],[],[],[],[],[1],[],[0],[],[1],[],[],[],[],[],"[0, 1]",[],[1]
evening,2024-12-14 16:00:00,2024-12-15 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.42299225833267956]","[0.10843401800180646, 0.23348704101607634]","[-0.27920386372504685, -0.23316911026274398]","[0.3582789209515154, -0.12191716635244022]","[0.0, 0.0]","[0.10843401800180646, 0.07100395488170004]","[0.0, 0.10075774190981104]","[-0.5564420317890793, -0.06460950662822358]","[-0.06454660882968118, 0.08055047867745403]","[0.0, 0.0]","[-0.27920386372504685, -0.13629982504672786]","[-0.5564420317890793, -0.412631721222316]","[0.0, 0.4769898742778768]","[0.027828501147052917, -0.009209528433982758]","[0.0, 0.0]","[0.3582789209515154, 0.18837635195020672]","[-0.06454660882968118, 0.057443287618131195]","[0.027828501147052917, -0.005518336843656184]","[0.0, -0.0438664419562254]",[],[],[],[],[],[],[1],[],[],[],[],[],[1],"[0, 1]","[0, 1]",[],[],"[0, 1]",[1],"[0, 1]",[],[],[0],[0],[1]
evening,2024-12-15 16:00:00,2024-12-16 02:00:00,10,0.125,"[0.0, 0.38096119523535615]","[-0.10249266654143539, 0.0013850733775271425]","[0.32875418818793783, 0.22706086197872818]","[0.4703469658370762, 0.28520424884025536]","[0.08380510740015049, 0.04339358271355371]","[-0.10249266654143539, -0.1803758712633418]","[0.0, 0.37814113137777733]","[-0.07064082279234837, -0.1672012578843715]","[-0.29430646574617386, -0.1692703535507355]","[-0.35326795742024336, -0.2086237656898772]","[0.32875418818793783, 0.6393616328923764]","[-0.07064082279234837, -0.04371941116136806]","[0.0, 0.27848330296140555]","[0.3169296416421106, 0.2520882782404696]","[0.16548213843495282, 0.10630042033713245]","[0.4703469658370762, 0.6412272915750403]","[-0.29430646574617386, -0.13031087655763826]","[0.3169296416421106, 0.3512705384935385]","[0.0, 0.48207973207632726]","[0.0890563820141135, 0.0846535795857568]","[0.08380510740015049, 0.0955532297916592]","[-0.35326795742024336, -0.15887299271671546]","[0.16548213843495282, -0.0022017637410322254]","[0.0890563820141135, 0.055157803695745064]","[0.0, 0.47993744020494067]",[],[],[0],[0],[],[],[1],[],[],[],[0],[],[1],[0],[],"[0, 1]",[],[0],[1],[],[],[],[],[],[1]
