CO2 on Temperature,Aerosols on Temperature,Specific Humidity on Temperature,Specific Humidity on Aerosols,CO2 on Temperature interval 1,Aerosols on Temperature interval 1,Specific Humidity on Temperature interval 1,Specific Humidity on Aerosols interval 1,CO2 on Temperature interval 2,Aerosols on Temperature interval 2,Specific Humidity on Temperature interval 2,Specific Humidity on Aerosols interval 2
[0.53087849],[-0.00431328],[-7.85950045],[1208.81428716],[3.0906659],[-0.0077619],[-19.02700537],[1040.79064639],[14.03789263],[0.00072916],[-8.51570141],[1332.64599752]
[-5.02808151],[-0.00528983],[4.13860159],[1194.82208844],[-6.09358945],[-0.00708518],[-1.19972095],[-921.51968117],[-3.39009769],[-0.0036496],[6.33944577],[1648.44637802]
[-6.37762117],[0.00291624],[-0.10624211],[639.88506302],[-8.32123811],[-0.000633],[-4.80158191],[458.62868332],[-5.0601025],[0.01053095],[1.81052676],[834.11620717]
[-5.15758778],[-0.00985699],[0.18498688],[-348.05663581],[-7.85102125],[-0.01279679],[-0.73584084],[-467.83533043],[-3.66367856],[-0.003719],[1.57199131],[-309.5491499]
[-1.15801211],[-0.00190672],[0.89849493],[-91.93065277],[-1.9202015],[-0.00869158],[-1.25455716],[-324.6654353],[-0.45077289],[0.00506329],[4.66662954],[294.68777516]
[-0.71887429],[-0.00076174],[-0.14210573],[-295.83766819],[-1.79707413],[-0.00580296],[-1.2357881],[-365.07386862],[0.35116965],[0.00565395],[1.31013266],[-42.19305599]
[-7.80797289],[0.001221],[1.34678575],[-84.4299789],[-9.64944566],[-0.0017975],[0.93044699],[-146.95659184],[-5.39382969],[0.00404278],[1.74924796],[-21.14291615]
[-2.15727852],[-0.00013316],[0.01921553],[674.82611283],[-3.79819326],[-0.00088638],[-0.84673229],[530.42599858],[-1.55012377],[0.00142417],[0.46281123],[952.21295549]
[-6.34812024],[0.00957025],[-2.01285384],[-291.87802164],[-8.08844102],[0.00668979],[-3.61361753],[-325.65792255],[-3.05340274],[0.01119361],[0.02052544],[-255.37602093]
[-0.61373848],[-0.00101702],[-0.51405925],[107.94175572],[-0.8816115],[-0.00134344],[-1.95994844],[-87.85274986],[-0.31852455],[-0.00076151],[-0.07394816],[510.76126632]
[0.32895753],[0.0015005],[-0.20110609],[25.82751781],[0.45397982],[0.0014848],[-0.34702002],[-7.80872905],[0.98253721],[0.00349208],[-0.21798974],[41.07330189]
[-0.3128199],[-0.00447714],[0.30124091],[-19.60565747],[-0.45846802],[-0.02329622],[0.20518402],[-50.39911054],[0.84663833],[-0.00142724],[1.21058019],[8.94537288]
[-0.24038716],[-0.00156737],[-0.49327051],[67.91338188],[-2.04698931],[-0.00345197],[-1.36136708],[-24.50955092],[0.63890623],[9.97649942e-05],[0.01295419],[143.81860497]
[6.25459553],[-0.0100427],[-1.85191963],[282.55879579],[3.47847228],[-0.01565217],[-3.32834691],[233.05626865],[19.63243561],[-0.00420931],[-1.52008154],[342.62211003]
[-0.11781388],[2.18097091e-05],[-0.3883905],[-39.82241901],[-0.46844163],[-0.00033075],[-2.04860898],[-771.02995774],[-0.02247602],[0.00058588],[0.25614738],[976.40227752]
[-7.69076191],[5.91564753e-05],[2.02500157],[-18.41908495],[-9.30335996],[-0.00054698],[1.31618383],[-250.78614862],[-7.11539711],[0.00211503],[2.54967655],[153.22585234]
[1.25122104],[-0.00247458],[-5.94307199],[534.56087003],[0.89026209],[-0.00677342],[-6.45415755],[171.34120024],[8.9184603],[-0.00042658],[-2.30127635],[729.02544268]
[-2.92119478],[-0.00049664],[2.21503625],[107.22945316],[-4.02716099],[-0.00136239],[1.50279505],[-217.91597001],[-1.65472285],[-0.00011978],[3.18819618],[404.37255855]
[0.33772826],[-6.54167989e-05],[1.49825113],[1890.5024226],[-0.22693103],[-0.00098273],[-0.42154229],[1500.98937656],[1.45184823],[0.00056284],[4.07976074],[2928.14188872]
[-0.12482372],[-0.00067794],[-0.54058683],[272.52852591],[-3.74277222],[-0.00184435],[-1.96777243],[174.9734205],[3.99531555],[-0.00029166],[0.51285609],[613.779972]
[0.29967315],[-0.00903841],[0.13579707],[-2.90864251],[-0.06279565],[-0.01533765],[-0.47696919],[-94.41880145],[1.25201637],[-0.00382048],[2.13141063],[29.29616229]
[0.13902649],[-0.00784043],[-2.06704981],[-17.11782087],[-3.21273662],[-0.02983516],[-2.73206648],[-32.05614945],[1.2008844],[0.02668968],[-0.55710169],[-7.15459673]
[-8.18918281],[0.0016357],[2.86826717],[-83.84617729],[-16.50320658],[-0.04384882],[-0.85893554],[-223.70955997],[1.97302768],[0.02390178],[7.79659898],[-36.5428067]
[-1.02152228],[0.0190929],[-4.52965018],[-46.10212523],[-2.09843466],[0.00392243],[-5.87630474],[-81.00214947],[-0.06420433],[0.03731776],[-3.22447577],[-0.44820969]
[-2.29148183],[-0.00828565],[1.7260052],[-259.56237811],[-2.9118043],[-0.01263454],[1.31669307],[-335.73146596],[0.19029676],[-0.00699074],[1.9636448],[-183.8721272]
[-1.12332946],[-0.00570086],[-1.21869584],[666.94013061],[-2.8791202],[-0.00780754],[-2.452424],[345.98180127],[0.70921246],[-0.00405606],[-0.32074747],[969.29254347]
[-1.94163571],[-0.00162343],[1.30320728],[-196.10698937],[-3.27127884],[-0.01588825],[-6.61084813],[-343.41077577],[-1.02830785],[0.00476343],[3.05355718],[-63.95625967]
[-3.81594631],[-0.00404866],[3.78258876],[-475.21307402],[-6.88912391],[-0.00879311],[2.81393231],[-758.6168676],[0.96399573],[0.00036944],[6.51158669],[-230.14433266]
[-1.26119213],[-0.0008371],[1.06631465],[667.02111973],[-3.95278302],[-0.00161903],[0.03412743],[200.37773215],[1.89676762],[-0.00041589],[2.0773567],[1045.51996113]
[-0.18816884],[0.0008103],[0.61132128],[453.10604998],[-0.72278339],[0.00030313],[-0.87068924],[305.23597257],[0.39168654],[0.00104832],[2.55046764],[678.29424611]
[-20.47198397],[0.00384954],[-5.03765209],[158.94306501],[-32.41740817],[-0.00036347],[-10.65455474],[-84.59584572],[-17.01155374],[0.02189282],[-3.23810952],[320.27274255]
[-4.63909666],[0.00158157],[5.16534921],[499.16915768],[-9.23263171],[-0.00080135],[3.52079711],[404.97257585],[-1.04505906],[0.00421763],[6.1945301],[562.92828658]
[-2.8130508],[-0.00668036],[0.11392772],[346.49893766],[-6.59488796],[-0.01168205],[-4.10627455],[-239.11440235],[1.37841828],[-0.00299288],[2.74263328],[657.72061956]
[-1.70934876],[-0.00140216],[1.31491641],[1073.45351285],[-2.76682495],[-0.0033906],[0.56815981],[735.79904459],[0.42275021],[-0.00024062],[2.93517861],[1425.62903383]
[2.22038804],[-0.00355551],[6.61680908],[-1125.49302102],[0.81412789],[-0.00583974],[5.38913139],[-1312.54397131],[4.80977256],[-0.00243567],[8.20389488],[-613.40138584]
[-0.25249251],[-0.00120015],[-2.13432081],[199.00093066],[-3.50396661],[-0.01188869],[-3.11283852],[101.52625945],[8.86341643],[0.00474505],[-0.23535557],[360.6348495]
[-4.15859016],[-0.00105159],[3.75243572],[-153.12832302],[-7.60720837],[-0.00865152],[-0.25950561],[-310.17471026],[3.39621466],[0.00104416],[5.60643941],[70.35798257]
[-0.05451709],[-0.00202652],[-0.95222222],[373.37072238],[-3.93325387],[-0.0083514],[-2.43815414],[255.44398702],[1.12052963],[-0.00024087],[5.31245456],[756.83174444]
[-14.57887779],[0.00906609],[-2.93762061],[585.73927235],[-20.34955877],[-0.00380649],[-12.38071118],[340.7917851],[-9.39356502],[0.02397301],[4.85955425],[711.03508825]
[-6.34136495],[0.00369153],[-0.22853077],[360.86854405],[-9.31524033],[0.00197442],[-1.25433364],[252.73030828],[-2.46935626],[0.00700331],[0.95867557],[449.14032629]
[8.85428342],[-0.00121522],[1.56253956],[196.28074665],[6.61306545],[-0.0073398],[-0.21243289],[69.89868825],[11.61391763],[0.00483046],[3.51877276],[317.65478718]
[1.12561255],[-0.00349787],[0.46016194],[-438.85960478],[-0.72717978],[-0.00445994],[-0.18063357],[-692.20675844],[5.56227176],[-0.0021336],[1.86247259],[-132.9112992]
[0.62911384],[0.00264849],[0.70714056],[1100.54800916],[0.30867138],[0.00193894],[-0.38270888],[771.09062426],[1.0198489],[0.00360413],[2.48814125],[1561.31930414]
[-5.43921108],[-0.0004478],[3.48097008],[-857.64458838],[-12.00567439],[-0.00603254],[1.45309264],[-1170.77684986],[-1.72799778],[0.00585284],[4.63789833],[-625.38364913]
[-0.94261022],[-0.00339258],[-0.90682832],[70.04331871],[-1.76815359],[-0.00993233],[-1.36744623],[-185.2868651],[0.82610113],[-0.00035743],[-0.34010823],[113.21730146]
[5.91557168],[0.00145302],[-1.92326403],[430.22918016],[2.50952756],[-0.00270063],[-5.23166114],[-353.06663771],[10.67105336],[0.00283982],[-0.6986869],[856.39698327]
[-2.09965269],[-0.0011973],[1.42385263],[-6.83187707],[-4.72818755],[-0.00855559],[-0.35985547],[-124.5716485],[6.91051586],[0.00102751],[8.34385679],[238.75950108]
[2.64904156],[-0.00913901],[-3.61120839],[427.77954004],[0.94139424],[-0.01000828],[-5.84897849],[276.71246856],[3.35274462],[-0.00525327],[-2.6101185],[680.01676465]
[4.99357127],[-0.00426924],[1.62182677],[-101.82590795],[1.75277655],[-0.00769115],[0.06139223],[-164.8877499],[8.26573318],[-0.00176059],[2.8600892],[16.42963817]
[-18.23640427],[-0.00509807],[1.65563059],[549.23218319],[-23.50852914],[-0.00796815],[0.05606039],[114.08847453],[-11.80737117],[-0.00249637],[3.64055735],[838.86536412]
[2.48792805],[-0.00293406],[1.11405459],[800.29568743],[2.01398174],[-0.00341117],[-0.02359282],[455.52011658],[4.19359068],[-0.00185664],[3.58995661],[1098.29395666]
[2.19104561],[0.01059515],[-5.07251835],[-121.53160585],[-0.46475876],[0.00457121],[-7.04640791],[-190.61711872],[8.26590142],[0.01163336],[-4.50268592],[-49.72289286]
[-9.19823156],[-0.00377807],[2.34217916],[-97.31885327],[-12.74600477],[-0.00944678],[-1.63297081],[-351.58836827],[-7.02621785],[-0.00153216],[4.21773696],[270.95726268]
[0.12541528],[0.00171745],[-2.66171658],[-110.54574444],[-6.18730658],[-0.0011959],[-5.25210813],[-150.50728357],[3.77702538],[0.00596888],[-1.26635236],[-84.07282942]
[0.21401297],[0.00233112],[-0.40371524],[133.07444269],[-0.38847619],[0.00057287],[-0.84372947],[76.30574173],[0.68838721],[0.00440285],[-0.02147038],[446.09738977]
[-11.93575164],[0.00873273],[1.42476531],[94.25125996],[-15.97665333],[-0.00046278],[-0.70676331],[32.29241882],[-6.3562931],[0.01781308],[3.84361156],[158.58089227]
[1.07948408],[-0.00191737],[2.49159165],[-223.2647858],[-3.176962],[-0.0025046],[1.37899138],[-383.804239],[2.37311415],[-0.00041332],[3.40453678],[-146.13039784]
[1.37173595],[0.00448853],[-0.36621071],[329.8206346],[-5.11348893],[0.00254389],[-4.70277732],[264.93230085],[6.14170351],[0.01039669],[1.29553145],[449.83737748]
[-6.16235138],[0.00390714],[2.50590058],[151.21365949],[-7.52133165],[-0.00219982],[2.23348071],[43.278687],[-4.77632318],[0.00680513],[3.86181732],[215.74263819]
[0.50547413],[0.00183398],[0.10682625],[806.00450371],[-2.67728983],[0.00049267],[-1.34640234],[-14.91869639],[6.21167372],[0.00530663],[0.5565562],[779.46249781]
[-1.00219923],[0.00043691],[-0.29444497],[222.24845182],[-1.79574644],[-0.00058876],[-0.91877844],[240.70919393],[0.82239015],[0.00203097],[0.49962976],[697.26192117]
[-6.92400061],[-0.00268902],[3.06641589],[-355.29396314],[-10.73033287],[-0.00483666],[2.06808734],[-827.42595206],[-4.6057728],[0.00180459],[3.89730007],[79.96365358]
[0.07064189],[-0.00099226],[-0.34943284],[98.88531597],[-0.12826183],[-0.0015176],[-0.78400986],[-150.48737424],[0.1073253],[-0.00024754],[0.28461279],[425.0755214]
[-6.51364666],[-0.00010911],[0.45174928],[-212.31499616],[-13.99585314],[-0.00298941],[-2.36643327],[-356.69192558],[-4.35713025],[0.00427193],[1.74613259],[-35.96020613]
[3.16982841],[-0.00066555],[-0.2276062],[405.1054987],[-7.91877143],[-0.00911458],[-4.13596079],[-43.57025812],[10.85792377],[0.00268952],[1.20565275],[1370.49300104]
[-0.50061709],[0.00147246],[-2.10719993],[92.20055052],[-0.69240768],[0.00203788],[-2.51286016],[-161.80960044],[0.07283086],[0.0076995],[-0.56773028],[264.32762629]
[0.07066454],[-0.00356845],[0.46875327],[-134.09286913],[-0.18025084],[-0.00465527],[-0.2679187],[-369.85360378],[0.25933027],[-0.0020264],[1.07511741],[78.34303383]
