time,base_time,time_offset,total_SA_conc,total_V_conc,total_SA_conc_AS,total_V_conc_AS,total_N_conc,qc_total_N_conc,sample_temperature,qc_sample_temperature,sample_temperature_std,sample_relative_humidity,qc_sample_relative_humidity,sample_relative_humidity_std,sample_flow_rate,qc_sample_flow_rate,sample_flow_rate_std,total_count,total_count_std,lat,lon,alt
2024-12-16 00:00:30,2024-12-16,2024-12-16 00:00:30,32049713.027797587,2072932242.5081077,71843185.32262085,8609484459.132437,391.08368,0,8.782034,0,0.25648722,73.01509,0,0.18359345,2.9825423,0,0.043863893,1166.4237,53.006622,38.838,-76.37,3.0
2024-12-16 00:01:30,2024-12-16,2024-12-16 00:01:30,32478656.397114724,1948921348.9285395,72761622.75676401,8035266228.839898,395.27032,0,8.6972885,0,0.24967661,73.12611,0,0.20245971,2.9815254,0,0.053861488,1178.5084,45.461987,38.838,-76.37,3.0
2024-12-16 00:02:30,2024-12-16,2024-12-16 00:02:30,34439861.92610068,2568553128.2770324,77825322.51058999,10790540523.209352,402.36273,0,8.714237,0,0.24996409,73.14323,0,0.19473094,2.984068,0,0.054713972,1200.678,40.455223,38.838,-76.37,3.0
2024-12-16 00:03:30,2024-12-16,2024-12-16 00:03:30,33113810.976750016,2007867639.4637592,74011369.04972589,8229955415.32368,403.72833,0,8.726666,0,0.24944383,73.21667,0,0.23570226,2.9816668,0,0.048310306,1203.7833,43.87106,38.838,-76.37,3.0
2024-12-16 00:04:30,2024-12-16,2024-12-16 00:04:30,34426381.409896776,2665040599.3584547,77822013.12234527,11232767582.676064,399.7342,0,8.739661,0,0.26475424,73.388985,0,0.25111073,2.9971187,0,0.04672493,1198.0509,49.6583,38.838,-76.37,3.0
2024-12-16 00:05:30,2024-12-16,2024-12-16 00:05:30,34094812.97667057,2314458814.6198435,76718338.47475289,9641973528.076094,406.5445,0,8.697119,0,0.26657942,73.626274,0,0.24029571,2.9861016,0,0.05671864,1213.983,48.069332,38.838,-76.37,3.0
2024-12-16 00:06:30,2024-12-16,2024-12-16 00:06:30,33743863.17338335,2110400078.6097007,75513718.83764249,8727867062.016018,411.74457,0,8.654915,0,0.24385583,73.651695,0,0.22131465,2.9844067,0,0.06352018,1228.8136,41.95941,38.838,-76.37,3.0
2024-12-16 00:07:30,2024-12-16,2024-12-16 00:07:30,34944290.336539164,2438887081.179853,78676982.89598337,10196051186.584883,416.54562,0,8.765085,0,0.24385583,73.72797,0,0.2393974,2.9871187,0,0.0554504,1244.2712,42.91056,38.838,-76.37,3.0
2024-12-16 00:08:30,2024-12-16,2024-12-16 00:08:30,34449321.03408509,2272995581.628709,77222502.13994181,9449155562.169386,417.7512,0,8.6765,0,0.26450473,73.825005,0,0.24874686,2.9838333,0,0.050302103,1246.5,49.102783,38.838,-76.37,3.0
2024-12-16 00:09:30,2024-12-16,2024-12-16 00:09:30,34457094.06642957,2357982209.66868,77042232.2689814,9805418839.686838,420.27228,0,8.714237,0,0.24996409,73.89746,0,0.23022166,2.9764407,0,0.0462404,1250.9153,53.33625,38.838,-76.37,3.0
2024-12-16 00:10:30,2024-12-16,2024-12-16 00:10:30,34917591.557812884,2460469229.731213,78255441.18793403,10230585292.96849,419.18134,0,8.75661,0,0.26230147,73.94831,0,0.20126003,2.9937289,0,0.050250117,1254.9153,41.24926,38.838,-76.37,3.0
2024-12-16 00:11:30,2024-12-16,2024-12-16 00:11:30,36341123.413101174,2989368097.50297,82113311.5313896,12578358251.07113,421.28033,0,8.739661,0,0.24823421,74.10085,0,0.21968612,2.9971187,0,0.054773796,1262.6271,54.948635,38.838,-76.37,3.0
2024-12-16 00:12:30,2024-12-16,2024-12-16 00:12:30,34725093.78083305,2250175170.139111,77934170.04621415,9293252904.532354,417.399,0,8.688644,0,0.26603466,74.16865,0,0.23177618,2.9701695,0,0.044091236,1239.7457,45.042953,38.838,-76.37,3.0
2024-12-16 00:13:30,2024-12-16,2024-12-16 00:13:30,35714469.92178154,2710920268.223256,80566201.3613915,11381607728.690046,418.98544,0,8.676666,0,0.2477678,74.576836,0,0.28336784,2.9865,0,0.047357637,1251.3,53.42855,38.838,-76.37,3.0
2024-12-16 00:14:30,2024-12-16,2024-12-16 00:14:30,34753162.93741743,2450787810.6643057,78150612.20954542,10225655357.097576,415.30118,0,8.6718645,0,0.24707423,74.80932,0,0.25496063,2.9852543,0,0.04563506,1239.7797,50.40987,38.838,-76.37,3.0
2024-12-16 00:15:30,2024-12-16,2024-12-16 00:15:30,34422736.75320735,2505590599.75462,77432852.00808549,10473937295.885994,408.91257,0,8.680339,0,0.24823421,74.9822,0,0.18336639,2.9894915,0,0.045451503,1222.4407,52.96346,38.838,-76.37,3.0
2024-12-16 00:16:30,2024-12-16,2024-12-16 00:16:30,34506666.42073083,2422781797.4230804,77830072.3310268,10176511660.414772,406.7591,0,8.6718645,0,0.24707423,75.03339,0,0.21702476,2.9815254,0,0.041977096,1212.7627,51.429512,38.838,-76.37,3.0
2024-12-16 00:17:30,2024-12-16,2024-12-16 00:17:30,33844077.96689247,2482735068.689177,75950878.81351793,10329898722.455164,404.28616,0,8.637966,0,0.25648722,74.97356,0,0.19134253,2.9855933,0,0.053306594,1207.0339,46.35565,38.838,-76.37,3.0
